candidate,office,district,party,county,precinct,votes,winner,page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,DeSoto,Horn Lake High School,16,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,DeSoto,Horn Lake High School,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,DeSoto,Horn Lake High School,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,DeSoto,Horn Lake High School,30,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,DeSoto,Horn Lake High School,11,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,DeSoto,Horn Lake High School,1103,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,DeSoto,Horn Lake High School,436,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,DeSoto,Horn Lake High School,19,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,DeSoto,Horn Lake High School,48,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,DeSoto,Horn Lake Intermediate,691,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,DeSoto,Horn Lake Intermediate,625,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,DeSoto,Horn Lake Intermediate,5,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,DeSoto,Horn Lake Intermediate,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,DeSoto,Horn Lake Intermediate,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,DeSoto,Horn Lake Intermediate,28,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,DeSoto,Horn Lake Intermediate,8,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,DeSoto,Horn Lake Intermediate,607,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,DeSoto,Horn Lake Intermediate,606,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,DeSoto,Horn Lake Intermediate,33,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,DeSoto,Horn Lake Intermediate,49,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,DeSoto,Horn Lake North,736,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,DeSoto,Horn Lake North,576,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,DeSoto,Horn Lake North,5,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,DeSoto,Horn Lake North,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,DeSoto,Horn Lake North,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,DeSoto,Horn Lake North,20,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,DeSoto,Horn Lake North,9,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,DeSoto,Horn Lake North,579,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,DeSoto,Horn Lake North,673,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,DeSoto,Horn Lake North,25,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,DeSoto,Horn Lake North,27,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,DeSoto,Horn Lake West,557,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,DeSoto,Horn Lake West,561,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,DeSoto,Horn Lake West,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,DeSoto,Horn Lake West,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,DeSoto,Horn Lake West,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,DeSoto,Horn Lake West,18,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,DeSoto,Horn Lake West,9,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,DeSoto,Horn Lake West,532,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,DeSoto,Horn Lake West,494,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,DeSoto,Horn Lake West,28,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,DeSoto,Horn Lake West,36,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,DeSoto,Ingrams Mill,263,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,DeSoto,Ingrams Mill,619,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,DeSoto,Ingrams Mill,13,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,DeSoto,Ingrams Mill,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,DeSoto,Ingrams Mill,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,DeSoto,Ingrams Mill,18,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,DeSoto,Ingrams Mill,5,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,DeSoto,Ingrams Mill,627,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,DeSoto,Ingrams Mill,213,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,DeSoto,Ingrams Mill,16,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,DeSoto,Ingrams Mill,24,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,DeSoto,Lake Cormorant,135,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,DeSoto,Lake Cormorant,269,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,DeSoto,Lake Cormorant,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,DeSoto,Lake Cormorant,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,DeSoto,Lake Cormorant,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,DeSoto,Lake Cormorant,6,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,DeSoto,Lake Cormorant,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,DeSoto,Lake Cormorant,269,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,DeSoto,Lake Cormorant,109,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,DeSoto,Lake Cormorant,6,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,DeSoto,Lake Cormorant,14,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,DeSoto,Lewisburg,577,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,DeSoto,Lewisburg,1971,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,DeSoto,Lewisburg,16,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,DeSoto,Lewisburg,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,DeSoto,Lewisburg,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,DeSoto,Lewisburg,47,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,DeSoto,Lewisburg,7,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,DeSoto,Lewisburg,1978,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,DeSoto,Lewisburg,474,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,DeSoto,Lewisburg,32,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,DeSoto,Lewisburg,61,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,DeSoto,Lewisburg East,43,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,DeSoto,Lewisburg East,369,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,DeSoto,Lewisburg East,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,DeSoto,Lewisburg East,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,DeSoto,Lewisburg East,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,DeSoto,Lewisburg East,9,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,DeSoto,Lewisburg East,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,DeSoto,Lewisburg East,364,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,DeSoto,Lewisburg East,39,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,DeSoto,Lewisburg East,5,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,DeSoto,Lewisburg East,10,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,DeSoto,Love,188,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,DeSoto,Love,906,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,DeSoto,Love,3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,DeSoto,Love,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,DeSoto,Love,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,DeSoto,Love,18,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,DeSoto,Love,3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,DeSoto,Love,892,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,DeSoto,Love,153,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,DeSoto,Love,13,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,DeSoto,Love,30,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,DeSoto,Miller,929,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,DeSoto,Miller,1764,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,DeSoto,Miller,17,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,DeSoto,Miller,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,DeSoto,Miller,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,DeSoto,Miller,69,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,DeSoto,Miller,7,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,DeSoto,Miller,1770,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,DeSoto,Miller,796,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,DeSoto,Miller,32,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,DeSoto,Miller,90,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,DeSoto,Mineral Wells,705,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,DeSoto,Mineral Wells,1422,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,DeSoto,Mineral Wells,9,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,DeSoto,Mineral Wells,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,DeSoto,Mineral Wells,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,DeSoto,Mineral Wells,52,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,DeSoto,Mineral Wells,10,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,DeSoto,Mineral Wells,1393,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,DeSoto,Mineral Wells,619,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,DeSoto,Mineral Wells,28,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,DeSoto,Mineral Wells,57,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,DeSoto,Nesbit East,423,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,DeSoto,Nesbit East,1010,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,DeSoto,Nesbit East,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,DeSoto,Nesbit East,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,DeSoto,Nesbit East,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,DeSoto,Nesbit East,30,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,DeSoto,Nesbit East,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,DeSoto,Nesbit East,989,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,DeSoto,Nesbit East,351,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,DeSoto,Nesbit East,18,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,DeSoto,Nesbit East,45,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,DeSoto,Nesbit West,306,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,DeSoto,Nesbit West,784,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,DeSoto,Nesbit West,6,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,DeSoto,Nesbit West,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,DeSoto,Nesbit West,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,DeSoto,Nesbit West,16,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,DeSoto,Nesbit West,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,DeSoto,Nesbit West,755,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,DeSoto,Nesbit West,260,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,DeSoto,Nesbit West,16,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,DeSoto,Nesbit West,42,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,DeSoto,Northwest Community College,880,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,DeSoto,Northwest Community College,1032,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,DeSoto,Northwest Community College,6,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,DeSoto,Northwest Community College,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,DeSoto,Northwest Community College,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,DeSoto,Northwest Community College,48,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,DeSoto,Northwest Community College,5,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,DeSoto,Northwest Community College,1052,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,DeSoto,Northwest Community College,777,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,DeSoto,Northwest Community College,27,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,DeSoto,Northwest Community College,51,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,DeSoto,Olive Branch North,709,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,DeSoto,Olive Branch North,1142,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,DeSoto,Olive Branch North,8,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,DeSoto,Olive Branch North,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,DeSoto,Olive Branch North,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,DeSoto,Olive Branch North,41,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,DeSoto,Olive Branch North,7,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,DeSoto,Olive Branch North,1154,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,DeSoto,Olive Branch North,636,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,DeSoto,Olive Branch North,23,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,DeSoto,Olive Branch North,42,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,DeSoto,Olive Branch South,550,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,DeSoto,Olive Branch South,1880,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,DeSoto,Olive Branch South,17,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,DeSoto,Olive Branch South,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,DeSoto,Olive Branch South,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,DeSoto,Olive Branch South,61,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,DeSoto,Olive Branch South,12,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,DeSoto,Olive Branch South,1872,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,DeSoto,Olive Branch South,482,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,DeSoto,Olive Branch South,32,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,DeSoto,Olive Branch South,73,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,DeSoto,Olive Branch West,278,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,DeSoto,Olive Branch West,514,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,DeSoto,Olive Branch West,2,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,DeSoto,Olive Branch West,0,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,DeSoto,Olive Branch West,0,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,DeSoto,Olive Branch West,11,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,DeSoto,Olive Branch West,0,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,DeSoto,Olive Branch West,528,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,DeSoto,Olive Branch West,234,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,DeSoto,Olive Branch West,4,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,DeSoto,Olive Branch West,12,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,DeSoto,Pleasant Hill North,491,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,DeSoto,Pleasant Hill North,1718,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,DeSoto,Pleasant Hill North,12,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,DeSoto,Pleasant Hill North,0,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
