page,county,precinct,office,district,party,candidate,votes,winner
3,Amite,Zion Hill,President,,Republican,Ben Carson,0,
3,Amite,Zion Hill,President,,Republican,Chris Christie,0,
3,Amite,Zion Hill,President,,Republican,Ted Cruz,80,
3,Amite,Zion Hill,President,,Republican,Carly Florina,0,
3,Amite,Zion Hill,President,,Republican,Lindsey Graham,0,
3,Amite,Zion Hill,President,,Republican,Mike Huckabee,0,
3,Amite,Zion Hill,President,,Republican,John R. Kaisch,5,
3,Amite,Zion Hill,President,,Republican,George Pataki,0,
3,Amite,Zion Hill,President,,Republican,Rand Paul,0,
3,Amite,Zion Hill,President,,Republican,Marco Rubio,3,
3,Amite,Zion Hill,President,,Republican,Rick Santorum,0,
3,Amite,Zion Hill,President,,Republican,Donald J. Trump,85,
3,Amite,Zion Hill,President,,Democrat,Hillary Clinton,35,
3,Amite,Zion Hill,President,,Democrat,"Roque ""Rocky"" De Le Fuente",0,
3,Amite,Zion Hill,President,,Democrat,Martin O'Mailey,2,
3,Amite,Zion Hill,President,,Democrat,Bernie Sanders,5,
3,Amite,Zion Hill,President,,Democrat,Willie Wilson,0,
3,Amite,Zion Hill,U.S. House,3,Republican,Jimmy Giles,14,
3,Amite,Zion Hill,U.S. House,3,Republican,Gregg Harper,154,
3,Amite,Zion Hill,U.S. House,3,Democrat,Dennis C. Quinn,16,
3,Amite,Zion Hill,U.S. House,3,Democrat,Nathan Stewart,19,
3,Amite,TOTAL,President,,Republican,Jeb Bush,20,
3,Amite,TOTAL,President,,Republican,Ben Carson,15,
3,Amite,TOTAL,President,,Republican,Chris Christie,2,
3,Amite,TOTAL,President,,Republican,Ted Cruz,888,
3,Amite,TOTAL,President,,Republican,Carly Florina,1,
3,Amite,TOTAL,President,,Republican,Lindsey Graham,1,
3,Amite,TOTAL,President,,Republican,Mike Huckabee,5,
3,Amite,TOTAL,President,,Republican,John R. Kaisch,134,
3,Amite,TOTAL,President,,Republican,George Pataki,0,
3,Amite,TOTAL,President,,Republican,Rand Paul,3,
3,Amite,TOTAL,President,,Republican,Marco Rubio,82,
3,Amite,TOTAL,President,,Republican,Rick Santorum,1,
3,Amite,TOTAL,President,,Republican,Donald J. Trump,1230,
3,Amite,TOTAL,President,,Democrat,Hillary Clinton,1304,WINNER
3,Amite,TOTAL,President,,Democrat,"Roque ""Rocky"" De Le Fuente",2,
3,Amite,TOTAL,President,,Democrat,Martin O'Mailey,7,
3,Amite,TOTAL,President,,Democrat,Bernie Sanders,132,
3,Amite,TOTAL,President,,Democrat,Willie Wilson,14,
3,Amite,TOTAL,U.S. House,3,Republican,Jimmy Giles,271,
3,Amite,TOTAL,U.S. House,3,Republican,Gregg Harper,2001,WINNER
3,Amite,TOTAL,U.S. House,3,Democrat,Dennis C. Quinn,794,
3,Amite,TOTAL,U.S. House,3,Democrat,Nathan Stewart,442,
