county,precinct,office,district,party,candidate,votes,winner
Warren,Redwood,Lieutenant Governor,,Democrat,Tim Johnson,10,
Warren,Redwood,Lieutenant Governor,,Republican,Tate Reeves,94,
Warren,Redwood,Lieutenant Governor,,Libertarian,Ron Williams,1,
Warren,Redwood,Lieutenant Governor,,Reform,Rosa B. Williams,1,
Warren,Redwood,Secretary of State,,Democrat,Charles E. Graham,11,
Warren,Redwood,Secretary of State,,Republican,Delbert Hosemann,95,
Warren,Redwood,Secretary of State,,Reform,Randy Walker,2,
Warren,Redwood,Attorney General,,Democrat,Jim Hood,40,
Warren,Redwood,Attorney General,,Republican,Mike Hurst,68,
Warren,Redwood,State Auditor,,Republican,Stacey E. Pickering,97,
Warren,Redwood,State Auditor,,Democrat,"Jocelyn ""Joce"" Pepper Pritchett",9,
Warren,Redwood,State Auditor,,Reform,Lajena Walley,2,
Warren,Redwood,State Treasurer,,Republican,Lynn Fitch,97,
Warren,Redwood,State Treasurer,,Reform,Viola V. McFarland,5,
Warren,Redwood,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,7,
Warren,Redwood,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,98,
Warren,Redwood,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,1,
Warren,Redwood,Commissioner of Insurance,,Republican,Mike Chaney,103,
Warren,Redwood,State Senate,23,Republican,Briggs Hopson,101,
Warren,Redwood,State House of Rep,54,Republican,Alex Monsour,97,
Warren,St Aloysius,Governor,,Republican,Phil Bryant,26,
Warren,St Aloysius,Governor,,Democrat,Robert Gray,102,
Warren,St Aloysius,Governor,,Reform,Shawn O'Hara,1,
Warren,St Aloysius,Lieutenant Governor,,Democrat,Tim Johnson,101,
Warren,St Aloysius,Lieutenant Governor,,Republican,Tate Reeves,16,
Warren,St Aloysius,Lieutenant Governor,,Libertarian,Ron Williams,0,
Warren,St Aloysius,Lieutenant Governor,,Reform,Rosa B. Williams,11,
Warren,St Aloysius,Secretary of State,,Democrat,Charles E. Graham,99,
Warren,St Aloysius,Secretary of State,,Republican,Delbert Hosemann,21,
Warren,St Aloysius,Secretary of State,,Reform,Randy Walker,9,
Warren,St Aloysius,Attorney General,,Democrat,Jim Hood,126,
Warren,St Aloysius,Attorney General,,Republican,Mike Hurst,3,
Warren,St Aloysius,State Auditor,,Republican,Stacey E. Pickering,24,
Warren,St Aloysius,State Auditor,,Democrat,"Jocelyn ""Joce"" Pepper Pritchett",96,
Warren,St Aloysius,State Auditor,,Reform,Lajena Walley,4,
Warren,St Aloysius,State Treasurer,,Republican,Lynn Fitch,41,
Warren,St Aloysius,State Treasurer,,Reform,Viola V. McFarland,62,
Warren,St Aloysius,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,118,
Warren,St Aloysius,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,7,
Warren,St Aloysius,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,3,
Warren,St Aloysius,Commissioner of Insurance,,Republican,Mike Chaney,90,
Warren,St Aloysius,State Senate,23,Republican,Briggs Hopson,88,
Warren,St Aloysius,State House of Rep,55,Democrat,Oscar Denton,127,
Warren,Tingleville,Governor,,Republican,Phil Bryant,350,
Warren,Tingleville,Governor,,Democrat,Robert Gray,333,
Warren,Tingleville,Governor,,Reform,Shawn O'Hara,9,
Warren,Tingleville,Lieutenant Governor,,Democrat,Tim Johnson,341,
Warren,Tingleville,Lieutenant Governor,,Republican,Tate Reeves,327,
Warren,Tingleville,Lieutenant Governor,,Libertarian,Ron Williams,7,
Warren,Tingleville,Lieutenant Governor,,Reform,Rosa B. Williams,17,
Warren,Tingleville,Secretary of State,,Democrat,Charles E. Graham,344,
Warren,Tingleville,Secretary of State,,Republican,Delbert Hosemann,330,
Warren,Tingleville,Secretary of State,,Reform,Randy Walker,16,
Warren,Tingleville,Attorney General,,Democrat,Jim Hood,482,
Warren,Tingleville,Attorney General,,Republican,Mike Hurst,210,
Warren,Tingleville,State Auditor,,Republican,Stacey E. Pickering,346,
Warren,Tingleville,State Auditor,,Democrat,"Jocelyn ""Joce"" Pepper Pritchett",332,
Warren,Tingleville,State Auditor,,Reform,Lajena Walley,11,
Warren,Tingleville,State Treasurer,,Republican,Lynn Fitch,405,
Warren,Tingleville,State Treasurer,,Reform,Viola V. McFarland,219,
Warren,Tingleville,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,356,
Warren,Tingleville,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,321,
Warren,Tingleville,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,10,
Warren,Tingleville,Commissioner of Insurance,,Republican,Mike Chaney,552,
Warren,Tingleville,State Senate,23,Republican,Briggs Hopson,535,
Warren,Tingleville,State House of Rep,54,Republican,Alex Monsour,224,
Warren,Tingleville,State House of Rep,55,Democrat,Oscar Denton,179,
Warren,Tingleville,State House of Rep,63,Democrat,Deborah Butler Dixon,177,
Warren,Vicksburg Junior High School,Governor,,Republican,Phil Bryant,347,
Warren,Vicksburg Junior High School,Governor,,Democrat,Robert Gray,469,
Warren,Vicksburg Junior High School,Governor,,Reform,Shawn O'Hara,11,
Warren,Vicksburg Junior High School,Lieutenant Governor,,Democrat,Tim Johnson,471,
Warren,Vicksburg Junior High School,Lieutenant Governor,,Republican,Tate Reeves,317,
Warren,Vicksburg Junior High School,Lieutenant Governor,,Libertarian,Ron Williams,12,
Warren,Vicksburg Junior High School,Lieutenant Governor,,Reform,Rosa B. Williams,21,
Warren,Vicksburg Junior High School,Secretary of State,,Democrat,Charles E. Graham,450,
Warren,Vicksburg Junior High School,Secretary of State,,Republican,Delbert Hosemann,346,
Warren,Vicksburg Junior High School,Secretary of State,,Reform,Randy Walker,25,
Warren,Vicksburg Junior High School,Attorney General,,Democrat,Jim Hood,651,
Warren,Vicksburg Junior High School,Attorney General,,Republican,Mike Hurst,176,
Warren,Vicksburg Junior High School,State Auditor,,Republican,Stacey E. Pickering,346,
Warren,Vicksburg Junior High School,State Auditor,,Democrat,"Jocelyn ""Joce"" Pepper Pritchett",332,
Warren,Vicksburg Junior High School,State Auditor,,Reform,Lajena Walley,11,
Warren,Vicksburg Junior High School,State Treasurer,,Republican,Lynn Fitch,428,
Warren,Vicksburg Junior High School,State Treasurer,,Reform,Viola V. McFarland,298,
Warren,Vicksburg Junior High School,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,502,
Warren,Vicksburg Junior High School,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,301,
Warren,Vicksburg Junior High School,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,19,
Warren,Vicksburg Junior High School,Commissioner of Insurance,,Republican,Mike Chaney,636,
Warren,Vicksburg Junior High School,State Senate,23,Republican,Briggs Hopson,623,
Warren,Vicksburg Junior High School,State House of Rep,54,Republican,Alex Monsour,28,
Warren,Vicksburg Junior High School,State House of Rep,55,Democrat,Oscar Denton,718,
Warren,YMCA,Governor,,Republican,Phil Bryant,245,
Warren,YMCA,Governor,,Democrat,Robert Gray,71,
Warren,YMCA,Governor,,Reform,Shawn O'Hara,5,
Warren,YMCA,Lieutenant Governor,,Democrat,Tim Johnson,75,
Warren,YMCA,Lieutenant Governor,,Republican,Tate Reeves,242,
Warren,YMCA,Lieutenant Governor,,Libertarian,Ron Williams,4,
Warren,YMCA,Lieutenant Governor,,Reform,Rosa B. Williams,2,
Warren,YMCA,Secretary of State,,Democrat,Charles E. Graham,68,
Warren,YMCA,Secretary of State,,Republican,Delbert Hosemann,250,
Warren,YMCA,Secretary of State,,Reform,Randy Walker,9,
Warren,YMCA,Attorney General,,Democrat,Jim Hood,181,
Warren,YMCA,Attorney General,,Republican,Mike Hurst,149,
Warren,YMCA,State Auditor,,Republican,Stacey E. Pickering,253,
Warren,YMCA,State Auditor,,Democrat,"Jocelyn ""Joce"" Pepper Pritchett",72,
Warren,YMCA,State Auditor,,Reform,Lajena Walley,1,
Warren,YMCA,State Treasurer,,Republican,Lynn Fitch,274,
Warren,YMCA,State Treasurer,,Reform,Viola V. McFarland,43,
Warren,YMCA,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,83,
Warren,YMCA,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,238,
Warren,YMCA,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,3,
Warren,YMCA,Commissioner of Insurance,,Republican,Mike Chaney,303,
Warren,YMCA,State Senate,23,Republican,Briggs Hopson,299,
Warren,YMCA,State House of Rep,54,Republican,Alex Monsour,0,
Warren,YMCA,State House of Rep,55,Democrat,Oscar Denton,261,
Warren,Yokena,Governor,,Republican,Phil Bryant,241,
Warren,Yokena,Governor,,Democrat,Robert Gray,64,
Warren,Yokena,Governor,,Reform,Shawn O'Hara,4,
Warren,Yokena,Lieutenant Governor,,Democrat,Tim Johnson,59,
Warren,Yokena,Lieutenant Governor,,Republican,Tate Reeves,234,
Warren,Yokena,Lieutenant Governor,,Libertarian,Ron Williams,8,
Warren,Yokena,Lieutenant Governor,,Reform,Rosa B. Williams,6,
Warren,Yokena,Secretary of State,,Democrat,Charles E. Graham,59,
Warren,Yokena,Secretary of State,,Republican,Delbert Hosemann,241,
Warren,Yokena,Secretary of State,,Reform,Randy Walker,7,
Warren,Yokena,Attorney General,,Democrat,Jim Hood,152,
Warren,Yokena,Attorney General,,Republican,Mike Hurst,157,
Warren,Yokena,State Auditor,,Republican,Stacey E. Pickering,244,
Warren,Yokena,State Auditor,,Democrat,"Jocelyn ""Joce"" Pepper Pritchett",58,
Warren,Yokena,State Auditor,,Reform,Lajena Walley,6,
Warren,Yokena,State Treasurer,,Republican,Lynn Fitch,49,
Warren,Yokena,State Treasurer,,Reform,Viola V. McFarland,44,
Warren,Yokena,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,62,
Warren,Yokena,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,231,
Warren,Yokena,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,7,
Warren,Yokena,Commissioner of Insurance,,Republican,Mike Chaney,286,
Warren,Yokena,State Senate,23,Republican,Briggs Hopson,278,
Warren,Yokena,State House of Rep,85,Democrat,"America ""Chuck"" Middleton",230,
Warren,,Governor,,Republican,Phil Bryant,7641,1
Warren,,Governor,,Democrat,Robert Gray,4196,
Warren,,Governor,,Reform,Shawn O'Hara,141,
Warren,,Lieutenant Governor,,Democrat,Tim Johnson,4437,
Warren,,Lieutenant Governor,,Republican,Tate Reeves,7083,1
Warren,,Lieutenant Governor,,Libertarian,Ron Williams,193,
Warren,,Lieutenant Governor,,Reform,Rosa B. Williams,198,
Warren,,Secretary of State,,Democrat,Charles E. Graham,4134,
Warren,,Secretary of State,,Republican,Delbert Hosemann,7551,1
Warren,,Secretary of State,,Reform,Randy Walker,257,
Warren,,Attorney General,,Democrat,Jim Hood,7186,1
Warren,,Attorney General,,Republican,Mike Hurst,4781,
Warren,,State Auditor,,Republican,Stacey E. Pickering,7506,1
Warren,,State Auditor,,Democrat,"Jocelyn ""Joce"" Pepper Pritchett",4233,
Warren,,State Auditor,,Reform,Lajena Walley,115,
Warren,,State Treasurer,,Republican,Lynn Fitch,8304,1
Warren,,State Treasurer,,Reform,Viola V. McFarland,2724,
Warren,,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,4581,
Warren,,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,7058,1
Warren,,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,178,
Warren,,Commissioner of Insurance,,Republican,Mike Chaney,10213,1
Warren,,State Senate,23,Republican,Briggs Hopson,10081,1
Warren,,State House of Rep,54,Republican,Alex Monsour,4424,1
Warren,,State House of Rep,55,Democrat,Oscar Denton,4678,1
Warren,,State House of Rep,63,Democrat,Deborah Butler Dixon,177,1
Warren,,State House of Rep,85,Democrat,"America ""Chuck"" Middleton",1082,1
