candidate,office,district,party,county,precinct,votes
Jo Jorgensen,President,,L,Hinds,Pinehaven,15
Brock Pierce,President,,IND,Hinds,Pinehaven,2
Kanye West,President,,IND,Hinds,Pinehaven,8
Mike Espy,U.S. Senate,,D,Hinds,Pinehaven,1198
Cindy Hyde-Smith,U.S. Senate,,R,Hinds,Pinehaven,1042
Jimmy L Edwards,U.S. Senate,,L,Hinds,Pinehaven,36
Brian Flowers,U.S. House,2,R,Hinds,Pinehaven,1122
Bennie G Thompson,U.S. House,2,D,Hinds,Pinehaven,1147
Joseph R. Biden,President,,D,Hinds,Pocahontas,313
Donald J. Trump,President,,R,Hinds,Pocahontas,185
Don Blankenship,President,,AC,Hinds,Pocahontas,0
Brian Carroll,President,,AS,Hinds,Pocahontas,0
Phil Collins,President,,IND,Hinds,Pocahontas,0
Howie Hawkins,President,,G,Hinds,Pocahontas,1
Jo Jorgensen,President,,L,Hinds,Pocahontas,1
Brock Pierce,President,,IND,Hinds,Pocahontas,0
Kanye West,President,,IND,Hinds,Pocahontas,0
Mike Espy,U.S. Senate,,D,Hinds,Pocahontas,319
Cindy Hyde-Smith,U.S. Senate,,R,Hinds,Pocahontas,176
Jimmy L Edwards,U.S. Senate,,L,Hinds,Pocahontas,3
Brian Flowers,U.S. House,2,R,Hinds,Pocahontas,183
Bennie G Thompson,U.S. House,2,D,Hinds,Pocahontas,318
Joseph R. Biden,President,,D,Hinds,Precinct 01,555
Donald J. Trump,President,,R,Hinds,Precinct 01,111
Don Blankenship,President,,AC,Hinds,Precinct 01,1
Brian Carroll,President,,AS,Hinds,Precinct 01,2
Phil Collins,President,,IND,Hinds,Precinct 01,0
Howie Hawkins,President,,G,Hinds,Precinct 01,2
Jo Jorgensen,President,,L,Hinds,Precinct 01,6
Brock Pierce,President,,IND,Hinds,Precinct 01,0
Kanye West,President,,IND,Hinds,Precinct 01,4
Mike Espy,U.S. Senate,,D,Hinds,Precinct 01,581
Cindy Hyde-Smith,U.S. Senate,,R,Hinds,Precinct 01,94
Jimmy L Edwards,U.S. Senate,,L,Hinds,Precinct 01,8
Dorothy Dot Benford,U.S. House,3,D,Hinds,Precinct 01,519
Michael Guest,U.S. House,3,R,Hinds,Precinct 01,149
Joseph R. Biden,President,,D,Hinds,Precinct 02,150
Donald J. Trump,President,,R,Hinds,Precinct 02,12
Don Blankenship,President,,AC,Hinds,Precinct 02,0
Brian Carroll,President,,AS,Hinds,Precinct 02,0
Phil Collins,President,,IND,Hinds,Precinct 02,0
Howie Hawkins,President,,G,Hinds,Precinct 02,0
Jo Jorgensen,President,,L,Hinds,Precinct 02,1
Brock Pierce,President,,IND,Hinds,Precinct 02,0
Kanye West,President,,IND,Hinds,Precinct 02,4
Mike Espy,U.S. Senate,,D,Hinds,Precinct 02,156
Cindy Hyde-Smith,U.S. Senate,,R,Hinds,Precinct 02,9
Jimmy L Edwards,U.S. Senate,,L,Hinds,Precinct 02,1
Brian Flowers,U.S. House,2,R,Hinds,Precinct 02,13
Bennie G Thompson,U.S. House,2,D,Hinds,Precinct 02,150
Joseph R. Biden,President,,D,Hinds,Precinct 04,335
Donald J. Trump,President,,R,Hinds,Precinct 04,4
Don Blankenship,President,,AC,Hinds,Precinct 04,0
Brian Carroll,President,,AS,Hinds,Precinct 04,0
Phil Collins,President,,IND,Hinds,Precinct 04,1
Howie Hawkins,President,,G,Hinds,Precinct 04,0
Jo Jorgensen,President,,L,Hinds,Precinct 04,0
Brock Pierce,President,,IND,Hinds,Precinct 04,0
Kanye West,President,,IND,Hinds,Precinct 04,4
Mike Espy,U.S. Senate,,D,Hinds,Precinct 04,339
Cindy Hyde-Smith,U.S. Senate,,R,Hinds,Precinct 04,9
Jimmy L Edwards,U.S. Senate,,L,Hinds,Precinct 04,0
Brian Flowers,U.S. House,2,R,Hinds,Precinct 04,11
Bennie G Thompson,U.S. House,2,D,Hinds,Precinct 04,335
Joseph R. Biden,President,,D,Hinds,Precinct 06,371
Donald J. Trump,President,,R,Hinds,Precinct 06,64
Don Blankenship,President,,AC,Hinds,Precinct 06,0
Brian Carroll,President,,AS,Hinds,Precinct 06,1
Phil Collins,President,,IND,Hinds,Precinct 06,1
Howie Hawkins,President,,G,Hinds,Precinct 06,2
Jo Jorgensen,President,,L,Hinds,Precinct 06,0
Brock Pierce,President,,IND,Hinds,Precinct 06,2
Kanye West,President,,IND,Hinds,Precinct 06,7
Mike Espy,U.S. Senate,,D,Hinds,Precinct 06,388
Cindy Hyde-Smith,U.S. Senate,,R,Hinds,Precinct 06,60
Jimmy L Edwards,U.S. Senate,,L,Hinds,Precinct 06,4
Brian Flowers,U.S. House,2,R,Hinds,Precinct 06,70
Bennie G Thompson,U.S. House,2,D,Hinds,Precinct 06,377
Joseph R. Biden,President,,D,Hinds,Precinct 08,388
Donald J. Trump,President,,R,Hinds,Precinct 08,216
Don Blankenship,President,,AC,Hinds,Precinct 08,0
Brian Carroll,President,,AS,Hinds,Precinct 08,1
Phil Collins,President,,IND,Hinds,Precinct 08,3
Howie Hawkins,President,,G,Hinds,Precinct 08,2
Jo Jorgensen,President,,L,Hinds,Precinct 08,8
