candidate,office,district,party,county,precinct,votes,winner,page,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Marshall,5 Potts Camp,472,,3,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,Marshall,5 Potts Camp,2,,3,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,Marshall,5 Potts Camp,0,,3,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,Marshall,5 Potts Camp,0,,3,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,Marshall,5 Potts Camp,2,,3,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,Marshall,5 Potts Camp,0,,3,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,Marshall,5 Potts Camp,506,,3,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,Marshall,5 Potts Camp,231,,3,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,Marshall,5 Potts Camp,13,,3,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,Marshall,5 Potts Camp,16,,3,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Marshall,5 South Holly springs,1035,,4,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Marshall,5 South Holly springs,617,,4,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,Marshall,5 South Holly springs,1,,4,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,Marshall,5 South Holly springs,1,,4,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,Marshall,5 South Holly springs,3,,4,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,Marshall,5 South Holly springs,15,,4,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,Marshall,5 South Holly springs,10,,4,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,Marshall,5 South Holly springs,663,,4,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,Marshall,5 South Holly springs,831,,4,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,Marshall,5 South Holly springs,49,,4,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,Marshall,5 South Holly springs,27,,4,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Marshall,5 Waterford,217,,4,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Marshall,5 Waterford,278,,4,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,Marshall,5 Waterford,4,,4,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,Marshall,5 Waterford,1,,4,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,Marshall,5 Waterford,0,,4,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,Marshall,5 Waterford,6,,4,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,Marshall,5 Waterford,2,,4,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,Marshall,5 Waterford,283,,4,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,Marshall,5 Waterford,187,,4,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,Marshall,5 Waterford,8,,4,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,Marshall,5 Waterford,12,,4,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Marshall,,8023,TRUE,4,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Marshall,,6587,,4,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,Marshall,,58,,4,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,Marshall,,9,,4,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,Marshall,,12,,4,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,Marshall,,95,,4,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,Marshall,,55,,4,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,Marshall,,6697,TRUE,4,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,Marshall,,6514,,4,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,Marshall,,317,,4,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,Marshall,,300,,4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
