candidate,office,district,party,county,precinct,votes,winner,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,11
Rick Santorum,President,,Republican,Itawamba,Evergreen,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Itawamba,Evergreen,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Itawamba,Evergreen,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roque ""Rocky"" De Le Fuente",President,,Democrat,Itawamba,Evergreen,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin O'Mailey,President,,Democrat,Itawamba,Evergreen,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernie Sanders,President,,Democrat,Itawamba,Evergreen,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willie Wilson,President,,Democrat,Itawamba,Evergreen,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Clever,U.S. House,1,Republican,Itawamba,Evergreen,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S. House,1,Republican,Itawamba,Evergreen,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S. House,1,Democrat,Itawamba,Evergreen,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeb Bush,President,,Republican,Itawamba,Fairview-Pleasanton,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Carson,President,,Republican,Itawamba,Fairview-Pleasanton,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Christie,President,,Republican,Itawamba,Fairview-Pleasanton,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ted Cruz,President,,Republican,Itawamba,Fairview-Pleasanton,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carly Florina,President,,Republican,Itawamba,Fairview-Pleasanton,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindsey Graham,President,,Republican,Itawamba,Fairview-Pleasanton,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Huckabee,President,,Republican,Itawamba,Fairview-Pleasanton,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John R. Kasich,President,,Republican,Itawamba,Fairview-Pleasanton,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Pataki,President,,Republican,Itawamba,Fairview-Pleasanton,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rand Paul,President,,Republican,Itawamba,Fairview-Pleasanton,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marco Rubio,President,,Republican,Itawamba,Fairview-Pleasanton,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rick Santorum,President,,Republican,Itawamba,Fairview-Pleasanton,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Itawamba,Fairview-Pleasanton,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Itawamba,Fairview-Pleasanton,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roque ""Rocky"" De Le Fuente",President,,Democrat,Itawamba,Fairview-Pleasanton,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin O'Mailey,President,,Democrat,Itawamba,Fairview-Pleasanton,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernie Sanders,President,,Democrat,Itawamba,Fairview-Pleasanton,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willie Wilson,President,,Democrat,Itawamba,Fairview-Pleasanton,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Clever,U.S. House,1,Republican,Itawamba,Fairview-Pleasanton,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S. House,1,Republican,Itawamba,Fairview-Pleasanton,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S. House,1,Democrat,Itawamba,Fairview-Pleasanton,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeb Bush,President,,Republican,Itawamba,Fawn Grove,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Carson,President,,Republican,Itawamba,Fawn Grove,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Christie,President,,Republican,Itawamba,Fawn Grove,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ted Cruz,President,,Republican,Itawamba,Fawn Grove,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carly Florina,President,,Republican,Itawamba,Fawn Grove,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindsey Graham,President,,Republican,Itawamba,Fawn Grove,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Huckabee,President,,Republican,Itawamba,Fawn Grove,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John R. Kasich,President,,Republican,Itawamba,Fawn Grove,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Pataki,President,,Republican,Itawamba,Fawn Grove,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rand Paul,President,,Republican,Itawamba,Fawn Grove,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marco Rubio,President,,Republican,Itawamba,Fawn Grove,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rick Santorum,President,,Republican,Itawamba,Fawn Grove,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Itawamba,Fawn Grove,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Itawamba,Fawn Grove,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roque ""Rocky"" De Le Fuente",President,,Democrat,Itawamba,Fawn Grove,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin O'Mailey,President,,Democrat,Itawamba,Fawn Grove,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernie Sanders,President,,Democrat,Itawamba,Fawn Grove,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willie Wilson,President,,Democrat,Itawamba,Fawn Grove,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Clever,U.S. House,1,Republican,Itawamba,Fawn Grove,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S. House,1,Republican,Itawamba,Fawn Grove,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S. House,1,Democrat,Itawamba,Fawn Grove,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeb Bush,President,,Republican,Itawamba,Friendship,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Carson,President,,Republican,Itawamba,Friendship,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Christie,President,,Republican,Itawamba,Friendship,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ted Cruz,President,,Republican,Itawamba,Friendship,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carly Florina,President,,Republican,Itawamba,Friendship,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindsey Graham,President,,Republican,Itawamba,Friendship,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Huckabee,President,,Republican,Itawamba,Friendship,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John R. Kasich,President,,Republican,Itawamba,Friendship,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Pataki,President,,Republican,Itawamba,Friendship,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rand Paul,President,,Republican,Itawamba,Friendship,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marco Rubio,President,,Republican,Itawamba,Friendship,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rick Santorum,President,,Republican,Itawamba,Friendship,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Itawamba,Friendship,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Itawamba,Friendship,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roque ""Rocky"" De Le Fuente",President,,Democrat,Itawamba,Friendship,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin O'Mailey,President,,Democrat,Itawamba,Friendship,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernie Sanders,President,,Democrat,Itawamba,Friendship,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willie Wilson,President,,Democrat,Itawamba,Friendship,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Clever,U.S. House,1,Republican,Itawamba,Friendship,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S. House,1,Republican,Itawamba,Friendship,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S. House,1,Democrat,Itawamba,Friendship,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeb Bush,President,,Republican,Itawamba,Friendship 1D,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Carson,President,,Republican,Itawamba,Friendship 1D,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Christie,President,,Republican,Itawamba,Friendship 1D,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ted Cruz,President,,Republican,Itawamba,Friendship 1D,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carly Florina,President,,Republican,Itawamba,Friendship 1D,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindsey Graham,President,,Republican,Itawamba,Friendship 1D,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Huckabee,President,,Republican,Itawamba,Friendship 1D,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John R. Kasich,President,,Republican,Itawamba,Friendship 1D,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Pataki,President,,Republican,Itawamba,Friendship 1D,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rand Paul,President,,Republican,Itawamba,Friendship 1D,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marco Rubio,President,,Republican,Itawamba,Friendship 1D,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rick Santorum,President,,Republican,Itawamba,Friendship 1D,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Itawamba,Friendship 1D,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Itawamba,Friendship 1D,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roque ""Rocky"" De Le Fuente",President,,Democrat,Itawamba,Friendship 1D,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin O'Mailey,President,,Democrat,Itawamba,Friendship 1D,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernie Sanders,President,,Democrat,Itawamba,Friendship 1D,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willie Wilson,President,,Democrat,Itawamba,Friendship 1D,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Clever,U.S. House,1,Republican,Itawamba,Friendship 1D,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S. House,1,Republican,Itawamba,Friendship 1D,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S. House,1,Democrat,Itawamba,Friendship 1D,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeb Bush,President,,Republican,Itawamba,Friendship 4D,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Carson,President,,Republican,Itawamba,Friendship 4D,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Christie,President,,Republican,Itawamba,Friendship 4D,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ted Cruz,President,,Republican,Itawamba,Friendship 4D,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carly Florina,President,,Republican,Itawamba,Friendship 4D,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindsey Graham,President,,Republican,Itawamba,Friendship 4D,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Huckabee,President,,Republican,Itawamba,Friendship 4D,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John R. Kasich,President,,Republican,Itawamba,Friendship 4D,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Pataki,President,,Republican,Itawamba,Friendship 4D,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rand Paul,President,,Republican,Itawamba,Friendship 4D,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marco Rubio,President,,Republican,Itawamba,Friendship 4D,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rick Santorum,President,,Republican,Itawamba,Friendship 4D,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Itawamba,Friendship 4D,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Itawamba,Friendship 4D,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roque ""Rocky"" De Le Fuente",President,,Democrat,Itawamba,Friendship 4D,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin O'Mailey,President,,Democrat,Itawamba,Friendship 4D,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernie Sanders,President,,Democrat,Itawamba,Friendship 4D,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willie Wilson,President,,Democrat,Itawamba,Friendship 4D,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Clever,U.S. House,1,Republican,Itawamba,Friendship 4D,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S. House,1,Republican,Itawamba,Friendship 4D,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S. House,1,Democrat,Itawamba,Friendship 4D,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeb Bush,President,,Republican,Itawamba,Friendship 5D,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Carson,President,,Republican,Itawamba,Friendship 5D,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Christie,President,,Republican,Itawamba,Friendship 5D,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ted Cruz,President,,Republican,Itawamba,Friendship 5D,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carly Florina,President,,Republican,Itawamba,Friendship 5D,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindsey Graham,President,,Republican,Itawamba,Friendship 5D,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Huckabee,President,,Republican,Itawamba,Friendship 5D,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John R. Kasich,President,,Republican,Itawamba,Friendship 5D,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Pataki,President,,Republican,Itawamba,Friendship 5D,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rand Paul,President,,Republican,Itawamba,Friendship 5D,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marco Rubio,President,,Republican,Itawamba,Friendship 5D,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rick Santorum,President,,Republican,Itawamba,Friendship 5D,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Itawamba,Friendship 5D,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Itawamba,Friendship 5D,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roque ""Rocky"" De Le Fuente",President,,Democrat,Itawamba,Friendship 5D,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin O'Mailey,President,,Democrat,Itawamba,Friendship 5D,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernie Sanders,President,,Democrat,Itawamba,Friendship 5D,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willie Wilson,President,,Democrat,Itawamba,Friendship 5D,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Clever,U.S. House,1,Republican,Itawamba,Friendship 5D,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S. House,1,Republican,Itawamba,Friendship 5D,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S. House,1,Democrat,Itawamba,Friendship 5D,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeb Bush,President,,Republican,Itawamba,Greenwood,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Carson,President,,Republican,Itawamba,Greenwood,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Christie,President,,Republican,Itawamba,Greenwood,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ted Cruz,President,,Republican,Itawamba,Greenwood,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carly Florina,President,,Republican,Itawamba,Greenwood,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindsey Graham,President,,Republican,Itawamba,Greenwood,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Huckabee,President,,Republican,Itawamba,Greenwood,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John R. Kasich,President,,Republican,Itawamba,Greenwood,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Pataki,President,,Republican,Itawamba,Greenwood,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rand Paul,President,,Republican,Itawamba,Greenwood,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marco Rubio,President,,Republican,Itawamba,Greenwood,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rick Santorum,President,,Republican,Itawamba,Greenwood,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Itawamba,Greenwood,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Itawamba,Greenwood,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roque ""Rocky"" De Le Fuente",President,,Democrat,Itawamba,Greenwood,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin O'Mailey,President,,Democrat,Itawamba,Greenwood,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernie Sanders,President,,Democrat,Itawamba,Greenwood,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willie Wilson,President,,Democrat,Itawamba,Greenwood,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Clever,U.S. House,1,Republican,Itawamba,Greenwood,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S. House,1,Republican,Itawamba,Greenwood,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S. House,1,Democrat,Itawamba,Greenwood,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeb Bush,President,,Republican,Itawamba,Icdc,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Carson,President,,Republican,Itawamba,Icdc,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Christie,President,,Republican,Itawamba,Icdc,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ted Cruz,President,,Republican,Itawamba,Icdc,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carly Florina,President,,Republican,Itawamba,Icdc,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindsey Graham,President,,Republican,Itawamba,Icdc,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Huckabee,President,,Republican,Itawamba,Icdc,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John R. Kasich,President,,Republican,Itawamba,Icdc,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Pataki,President,,Republican,Itawamba,Icdc,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rand Paul,President,,Republican,Itawamba,Icdc,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marco Rubio,President,,Republican,Itawamba,Icdc,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rick Santorum,President,,Republican,Itawamba,Icdc,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Itawamba,Icdc,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Itawamba,Icdc,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roque ""Rocky"" De Le Fuente",President,,Democrat,Itawamba,Icdc,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin O'Mailey,President,,Democrat,Itawamba,Icdc,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernie Sanders,President,,Democrat,Itawamba,Icdc,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willie Wilson,President,,Democrat,Itawamba,Icdc,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Clever,U.S. House,1,Republican,Itawamba,Icdc,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S. House,1,Republican,Itawamba,Icdc,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S. House,1,Democrat,Itawamba,Icdc,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeb Bush,President,,Republican,Itawamba,James Creek,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Carson,President,,Republican,Itawamba,James Creek,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Christie,President,,Republican,Itawamba,James Creek,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ted Cruz,President,,Republican,Itawamba,James Creek,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carly Florina,President,,Republican,Itawamba,James Creek,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindsey Graham,President,,Republican,Itawamba,James Creek,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Huckabee,President,,Republican,Itawamba,James Creek,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John R. Kasich,President,,Republican,Itawamba,James Creek,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Pataki,President,,Republican,Itawamba,James Creek,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rand Paul,President,,Republican,Itawamba,James Creek,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marco Rubio,President,,Republican,Itawamba,James Creek,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rick Santorum,President,,Republican,Itawamba,James Creek,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Itawamba,James Creek,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Itawamba,James Creek,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roque ""Rocky"" De Le Fuente",President,,Democrat,Itawamba,James Creek,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin O'Mailey,President,,Democrat,Itawamba,James Creek,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernie Sanders,President,,Democrat,Itawamba,James Creek,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willie Wilson,President,,Democrat,Itawamba,James Creek,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Clever,U.S. House,1,Republican,Itawamba,James Creek,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S. House,1,Republican,Itawamba,James Creek,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S. House,1,Democrat,Itawamba,James Creek,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeb Bush,President,,Republican,Itawamba,Kirkville,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Carson,President,,Republican,Itawamba,Kirkville,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Christie,President,,Republican,Itawamba,Kirkville,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ted Cruz,President,,Republican,Itawamba,Kirkville,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carly Florina,President,,Republican,Itawamba,Kirkville,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindsey Graham,President,,Republican,Itawamba,Kirkville,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Huckabee,President,,Republican,Itawamba,Kirkville,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John R. Kasich,President,,Republican,Itawamba,Kirkville,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Pataki,President,,Republican,Itawamba,Kirkville,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rand Paul,President,,Republican,Itawamba,Kirkville,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marco Rubio,President,,Republican,Itawamba,Kirkville,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rick Santorum,President,,Republican,Itawamba,Kirkville,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Itawamba,Kirkville,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Itawamba,Kirkville,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roque ""Rocky"" De Le Fuente",President,,Democrat,Itawamba,Kirkville,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin O'Mailey,President,,Democrat,Itawamba,Kirkville,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernie Sanders,President,,Democrat,Itawamba,Kirkville,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willie Wilson,President,,Democrat,Itawamba,Kirkville,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Clever,U.S. House,1,Republican,Itawamba,Kirkville,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S. House,1,Republican,Itawamba,Kirkville,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S. House,1,Democrat,Itawamba,Kirkville,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeb Bush,President,,Republican,Itawamba,Mantachie,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Carson,President,,Republican,Itawamba,Mantachie,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
