candidate,office,district,party,county,precinct,votes,winner,,,,,,,,,,,,,,,,,,,,,,,2
"Roque ""Rocky"" De Le Fuente",President,,Democrat,Jefferson Davis,Hebron 52,1,,,,,,,,,,,,,,,,,,,,,,,,
Martin O'Mailey,President,,Democrat,Jefferson Davis,Hebron 52,0,,,,,,,,,,,,,,,,,,,,,,,,
Bernie Sanders,President,,Democrat,Jefferson Davis,Hebron 52,4,,,,,,,,,,,,,,,,,,,,,,,,
Willie Wilson,President,,Democrat,Jefferson Davis,Hebron 52,0,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Giles,U.S. House,3,Republican,Jefferson Davis,Hebron 52,2,,,,,,,,,,,,,,,,,,,,,,,,
Greg Harper,U.S. House,3,Republican,Jefferson Davis,Hebron 52,33,,,,,,,,,,,,,,,,,,,,,,,,
Dennis C.Quinn,U.S. House,3,Democrat,Jefferson Davis,Hebron 52,16,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Stewart,U.S. House,3,Democrat,Jefferson Davis,Hebron 52,5,,,,,,,,,,,,,,,,,,,,,,,,
Jeb Bush,President,,Republican,Jefferson Davis,Melba 34,0,,,,,,,,,,,,,,,,,,,,,,,,
Ben Carson,President,,Republican,Jefferson Davis,Melba 34,0,,,,,,,,,,,,,,,,,,,,,,,,
Chris Christie,President,,Republican,Jefferson Davis,Melba 34,0,,,,,,,,,,,,,,,,,,,,,,,,
Ted Cruz,President,,Republican,Jefferson Davis,Melba 34,3,,,,,,,,,,,,,,,,,,,,,,,,
Carly Florina,President,,Republican,Jefferson Davis,Melba 34,0,,,,,,,,,,,,,,,,,,,,,,,,
Lindsey Graham,President,,Republican,Jefferson Davis,Melba 34,0,,,,,,,,,,,,,,,,,,,,,,,,
Mike Huckabee,President,,Republican,Jefferson Davis,Melba 34,0,,,,,,,,,,,,,,,,,,,,,,,,
John R. Kasich,President,,Republican,Jefferson Davis,Melba 34,0,,,,,,,,,,,,,,,,,,,,,,,,
George Pataki,President,,Republican,Jefferson Davis,Melba 34,0,,,,,,,,,,,,,,,,,,,,,,,,
Rand Paul,President,,Republican,Jefferson Davis,Melba 34,0,,,,,,,,,,,,,,,,,,,,,,,,
Marco Rubio,President,,Republican,Jefferson Davis,Melba 34,0,,,,,,,,,,,,,,,,,,,,,,,,
Rick Santorum,President,,Republican,Jefferson Davis,Melba 34,0,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Jefferson Davis,Melba 34,21,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Jefferson Davis,Melba 34,6,,,,,,,,,,,,,,,,,,,,,,,,
"Roque ""Rocky"" De Le Fuente",President,,Democrat,Jefferson Davis,Melba 34,1,,,,,,,,,,,,,,,,,,,,,,,,
Martin O'Mailey,President,,Democrat,Jefferson Davis,Melba 34,0,,,,,,,,,,,,,,,,,,,,,,,,
Bernie Sanders,President,,Democrat,Jefferson Davis,Melba 34,3,,,,,,,,,,,,,,,,,,,,,,,,
Willie Wilson,President,,Democrat,Jefferson Davis,Melba 34,1,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Giles,U.S. House,3,Republican,Jefferson Davis,Melba 34,6,,,,,,,,,,,,,,,,,,,,,,,,
Greg Harper,U.S. House,3,Republican,Jefferson Davis,Melba 34,17,,,,,,,,,,,,,,,,,,,,,,,,
Dennis C.Quinn,U.S. House,3,Democrat,Jefferson Davis,Melba 34,4,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Stewart,U.S. House,3,Democrat,Jefferson Davis,Melba 34,5,,,,,,,,,,,,,,,,,,,,,,,,
Jeb Bush,President,,Republican,Jefferson Davis,Mt Carmel 42,0,,,,,,,,,,,,,,,,,,,,,,,,
Ben Carson,President,,Republican,Jefferson Davis,Mt Carmel 42,1,,,,,,,,,,,,,,,,,,,,,,,,
Chris Christie,President,,Republican,Jefferson Davis,Mt Carmel 42,0,,,,,,,,,,,,,,,,,,,,,,,,
Ted Cruz,President,,Republican,Jefferson Davis,Mt Carmel 42,0,,,,,,,,,,,,,,,,,,,,,,,,
Carly Florina,President,,Republican,Jefferson Davis,Mt Carmel 42,0,,,,,,,,,,,,,,,,,,,,,,,,
Lindsey Graham,President,,Republican,Jefferson Davis,Mt Carmel 42,0,,,,,,,,,,,,,,,,,,,,,,,,
Mike Huckabee,President,,Republican,Jefferson Davis,Mt Carmel 42,0,,,,,,,,,,,,,,,,,,,,,,,,
John R. Kasich,President,,Republican,Jefferson Davis,Mt Carmel 42,1,,,,,,,,,,,,,,,,,,,,,,,,
George Pataki,President,,Republican,Jefferson Davis,Mt Carmel 42,0,,,,,,,,,,,,,,,,,,,,,,,,
Rand Paul,President,,Republican,Jefferson Davis,Mt Carmel 42,0,,,,,,,,,,,,,,,,,,,,,,,,
Marco Rubio,President,,Republican,Jefferson Davis,Mt Carmel 42,0,,,,,,,,,,,,,,,,,,,,,,,,
Rick Santorum,President,,Republican,Jefferson Davis,Mt Carmel 42,0,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Jefferson Davis,Mt Carmel 42,6,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Jefferson Davis,Mt Carmel 42,89,,,,,,,,,,,,,,,,,,,,,,,,
"Roque ""Rocky"" De Le Fuente",President,,Democrat,Jefferson Davis,Mt Carmel 42,0,,,,,,,,,,,,,,,,,,,,,,,,
Martin O'Mailey,President,,Democrat,Jefferson Davis,Mt Carmel 42,0,,,,,,,,,,,,,,,,,,,,,,,,
Bernie Sanders,President,,Democrat,Jefferson Davis,Mt Carmel 42,5,,,,,,,,,,,,,,,,,,,,,,,,
Willie Wilson,President,,Democrat,Jefferson Davis,Mt Carmel 42,0,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Giles,U.S. House,3,Republican,Jefferson Davis,Mt Carmel 42,0,,,,,,,,,,,,,,,,,,,,,,,,
Greg Harper,U.S. House,3,Republican,Jefferson Davis,Mt Carmel 42,8,,,,,,,,,,,,,,,,,,,,,,,,
Dennis C.Quinn,U.S. House,3,Democrat,Jefferson Davis,Mt Carmel 42,58,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Stewart,U.S. House,3,Democrat,Jefferson Davis,Mt Carmel 42,28,,,,,,,,,,,,,,,,,,,,,,,,
Jeb Bush,President,,Republican,Jefferson Davis,North East Prenstiss 43,0,,,,,,,,,,,,,,,,,,,,,,,,
Ben Carson,President,,Republican,Jefferson Davis,North East Prenstiss 43,1,,,,,,,,,,,,,,,,,,,,,,,,
Chris Christie,President,,Republican,Jefferson Davis,North East Prenstiss 43,0,,,,,,,,,,,,,,,,,,,,,,,,
Ted Cruz,President,,Republican,Jefferson Davis,North East Prenstiss 43,38,,,,,,,,,,,,,,,,,,,,,,,,
Carly Florina,President,,Republican,Jefferson Davis,North East Prenstiss 43,0,,,,,,,,,,,,,,,,,,,,,,,,
Lindsey Graham,President,,Republican,Jefferson Davis,North East Prenstiss 43,0,,,,,,,,,,,,,,,,,,,,,,,,
Mike Huckabee,President,,Republican,Jefferson Davis,North East Prenstiss 43,0,,,,,,,,,,,,,,,,,,,,,,,,
John R. Kasich,President,,Republican,Jefferson Davis,North East Prenstiss 43,1,,,,,,,,,,,,,,,,,,,,,,,,
George Pataki,President,,Republican,Jefferson Davis,North East Prenstiss 43,0,,,,,,,,,,,,,,,,,,,,,,,,
Rand Paul,President,,Republican,Jefferson Davis,North East Prenstiss 43,0,,,,,,,,,,,,,,,,,,,,,,,,
Marco Rubio,President,,Republican,Jefferson Davis,North East Prenstiss 43,1,,,,,,,,,,,,,,,,,,,,,,,,
Rick Santorum,President,,Republican,Jefferson Davis,North East Prenstiss 43,0,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Jefferson Davis,North East Prenstiss 43,45,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Jefferson Davis,North East Prenstiss 43,216,,,,,,,,,,,,,,,,,,,,,,,,
"Roque ""Rocky"" De Le Fuente",President,,Democrat,Jefferson Davis,North East Prenstiss 43,0,,,,,,,,,,,,,,,,,,,,,,,,
Martin O'Mailey,President,,Democrat,Jefferson Davis,North East Prenstiss 43,0,,,,,,,,,,,,,,,,,,,,,,,,
Bernie Sanders,President,,Democrat,Jefferson Davis,North East Prenstiss 43,16,,,,,,,,,,,,,,,,,,,,,,,,
Willie Wilson,President,,Democrat,Jefferson Davis,North East Prenstiss 43,2,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Giles,U.S. House,3,Republican,Jefferson Davis,North East Prenstiss 43,11,,,,,,,,,,,,,,,,,,,,,,,,
Greg Harper,U.S. House,3,Republican,Jefferson Davis,North East Prenstiss 43,74,,,,,,,,,,,,,,,,,,,,,,,,
Dennis C.Quinn,U.S. House,3,Democrat,Jefferson Davis,North East Prenstiss 43,125,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Stewart,U.S. House,3,Democrat,Jefferson Davis,North East Prenstiss 43,71,,,,,,,,,,,,,,,,,,,,,,,,
Jeb Bush,President,,Republican,Jefferson Davis,North West Prentiss 53,0,,,,,,,,,,,,,,,,,,,,,,,,
Ben Carson,President,,Republican,Jefferson Davis,North West Prentiss 53,0,,,,,,,,,,,,,,,,,,,,,,,,
Chris Christie,President,,Republican,Jefferson Davis,North West Prentiss 53,0,,,,,,,,,,,,,,,,,,,,,,,,
Ted Cruz,President,,Republican,Jefferson Davis,North West Prentiss 53,13,,,,,,,,,,,,,,,,,,,,,,,,
Carly Florina,President,,Republican,Jefferson Davis,North West Prentiss 53,0,,,,,,,,,,,,,,,,,,,,,,,,
Lindsey Graham,President,,Republican,Jefferson Davis,North West Prentiss 53,0,,,,,,,,,,,,,,,,,,,,,,,,
Mike Huckabee,President,,Republican,Jefferson Davis,North West Prentiss 53,0,,,,,,,,,,,,,,,,,,,,,,,,
John R. Kasich,President,,Republican,Jefferson Davis,North West Prentiss 53,1,,,,,,,,,,,,,,,,,,,,,,,,
George Pataki,President,,Republican,Jefferson Davis,North West Prentiss 53,0,,,,,,,,,,,,,,,,,,,,,,,,
Rand Paul,President,,Republican,Jefferson Davis,North West Prentiss 53,0,,,,,,,,,,,,,,,,,,,,,,,,
Marco Rubio,President,,Republican,Jefferson Davis,North West Prentiss 53,4,,,,,,,,,,,,,,,,,,,,,,,,
Rick Santorum,President,,Republican,Jefferson Davis,North West Prentiss 53,0,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Jefferson Davis,North West Prentiss 53,25,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Jefferson Davis,North West Prentiss 53,117,,,,,,,,,,,,,,,,,,,,,,,,
"Roque ""Rocky"" De Le Fuente",President,,Democrat,Jefferson Davis,North West Prentiss 53,0,,,,,,,,,,,,,,,,,,,,,,,,
Martin O'Mailey,President,,Democrat,Jefferson Davis,North West Prentiss 53,0,,,,,,,,,,,,,,,,,,,,,,,,
Bernie Sanders,President,,Democrat,Jefferson Davis,North West Prentiss 53,6,,,,,,,,,,,,,,,,,,,,,,,,
Willie Wilson,President,,Democrat,Jefferson Davis,North West Prentiss 53,0,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Giles,U.S. House,3,Republican,Jefferson Davis,North West Prentiss 53,5,,,,,,,,,,,,,,,,,,,,,,,,
Greg Harper,U.S. House,3,Republican,Jefferson Davis,North West Prentiss 53,38,,,,,,,,,,,,,,,,,,,,,,,,
Dennis C.Quinn,U.S. House,3,Democrat,Jefferson Davis,North West Prentiss 53,54,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Stewart,U.S. House,3,Democrat,Jefferson Davis,North West Prentiss 53,40,,,,,,,,,,,,,,,,,,,,,,,,
Jeb Bush,President,,Republican,Jefferson Davis,Red House 55,0,,,,,,,,,,,,,,,,,,,,,,,,
Ben Carson,President,,Republican,Jefferson Davis,Red House 55,0,,,,,,,,,,,,,,,,,,,,,,,,
Chris Christie,President,,Republican,Jefferson Davis,Red House 55,0,,,,,,,,,,,,,,,,,,,,,,,,
Ted Cruz,President,,Republican,Jefferson Davis,Red House 55,11,,,,,,,,,,,,,,,,,,,,,,,,
Carly Florina,President,,Republican,Jefferson Davis,Red House 55,0,,,,,,,,,,,,,,,,,,,,,,,,
Lindsey Graham,President,,Republican,Jefferson Davis,Red House 55,0,,,,,,,,,,,,,,,,,,,,,,,,
Mike Huckabee,President,,Republican,Jefferson Davis,Red House 55,0,,,,,,,,,,,,,,,,,,,,,,,,
John R. Kasich,President,,Republican,Jefferson Davis,Red House 55,4,,,,,,,,,,,,,,,,,,,,,,,,
George Pataki,President,,Republican,Jefferson Davis,Red House 55,0,,,,,,,,,,,,,,,,,,,,,,,,
Rand Paul,President,,Republican,Jefferson Davis,Red House 55,0,,,,,,,,,,,,,,,,,,,,,,,,
Marco Rubio,President,,Republican,Jefferson Davis,Red House 55,1,,,,,,,,,,,,,,,,,,,,,,,,
Rick Santorum,President,,Republican,Jefferson Davis,Red House 55,0,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Jefferson Davis,Red House 55,29,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Jefferson Davis,Red House 55,104,,,,,,,,,,,,,,,,,,,,,,,,
"Roque ""Rocky"" De Le Fuente",President,,Democrat,Jefferson Davis,Red House 55,0,,,,,,,,,,,,,,,,,,,,,,,,
Martin O'Mailey,President,,Democrat,Jefferson Davis,Red House 55,0,,,,,,,,,,,,,,,,,,,,,,,,
Bernie Sanders,President,,Democrat,Jefferson Davis,Red House 55,14,,,,,,,,,,,,,,,,,,,,,,,,
Willie Wilson,President,,Democrat,Jefferson Davis,Red House 55,1,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Giles,U.S. House,3,Republican,Jefferson Davis,Red House 55,7,,,,,,,,,,,,,,,,,,,,,,,,
Greg Harper,U.S. House,3,Republican,Jefferson Davis,Red House 55,37,,,,,,,,,,,,,,,,,,,,,,,,
Dennis C.Quinn,U.S. House,3,Democrat,Jefferson Davis,Red House 55,59,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Stewart,U.S. House,3,Democrat,Jefferson Davis,Red House 55,35,,,,,,,,,,,,,,,,,,,,,,,,
Jeb Bush,President,,Republican,Jefferson Davis,Son's Academy 25,0,,,,,,,,,,,,,,,,,,,,,,,,
Ben Carson,President,,Republican,Jefferson Davis,Son's Academy 25,0,,,,,,,,,,,,,,,,,,,,,,,,
Chris Christie,President,,Republican,Jefferson Davis,Son's Academy 25,0,,,,,,,,,,,,,,,,,,,,,,,,
Ted Cruz,President,,Republican,Jefferson Davis,Son's Academy 25,19,,,,,,,,,,,,,,,,,,,,,,,,
Carly Florina,President,,Republican,Jefferson Davis,Son's Academy 25,0,,,,,,,,,,,,,,,,,,,,,,,,
Lindsey Graham,President,,Republican,Jefferson Davis,Son's Academy 25,0,,,,,,,,,,,,,,,,,,,,,,,,
Mike Huckabee,President,,Republican,Jefferson Davis,Son's Academy 25,0,,,,,,,,,,,,,,,,,,,,,,,,
John R. Kasich,President,,Republican,Jefferson Davis,Son's Academy 25,0,,,,,,,,,,,,,,,,,,,,,,,,
George Pataki,President,,Republican,Jefferson Davis,Son's Academy 25,0,,,,,,,,,,,,,,,,,,,,,,,,
Rand Paul,President,,Republican,Jefferson Davis,Son's Academy 25,0,,,,,,,,,,,,,,,,,,,,,,,,
Marco Rubio,President,,Republican,Jefferson Davis,Son's Academy 25,1,,,,,,,,,,,,,,,,,,,,,,,,
Rick Santorum,President,,Republican,Jefferson Davis,Son's Academy 25,0,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Jefferson Davis,Son's Academy 25,15,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Jefferson Davis,Son's Academy 25,76,,,,,,,,,,,,,,,,,,,,,,,,
"Roque ""Rocky"" De Le Fuente",President,,Democrat,Jefferson Davis,Son's Academy 25,0,,,,,,,,,,,,,,,,,,,,,,,,
Martin O'Mailey,President,,Democrat,Jefferson Davis,Son's Academy 25,2,,,,,,,,,,,,,,,,,,,,,,,,
Bernie Sanders,President,,Democrat,Jefferson Davis,Son's Academy 25,7,,,,,,,,,,,,,,,,,,,,,,,,
Willie Wilson,President,,Democrat,Jefferson Davis,Son's Academy 25,0,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Giles,U.S. House,3,Republican,Jefferson Davis,Son's Academy 25,1,,,,,,,,,,,,,,,,,,,,,,,,
Greg Harper,U.S. House,3,Republican,Jefferson Davis,Son's Academy 25,32,,,,,,,,,,,,,,,,,,,,,,,,
Dennis C.Quinn,U.S. House,3,Democrat,Jefferson Davis,Son's Academy 25,46,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Stewart,U.S. House,3,Democrat,Jefferson Davis,Son's Academy 25,20,,,,,,,,,,,,,,,,,,,,,,,,
Jeb Bush,President,,Republican,Jefferson Davis,South Prentiss 12,1,,,,,,,,,,,,,,,,,,,,,,,,
Ben Carson,President,,Republican,Jefferson Davis,South Prentiss 12,8,,,,,,,,,,,,,,,,,,,,,,,,
Chris Christie,President,,Republican,Jefferson Davis,South Prentiss 12,0,,,,,,,,,,,,,,,,,,,,,,,,
Ted Cruz,President,,Republican,Jefferson Davis,South Prentiss 12,54,,,,,,,,,,,,,,,,,,,,,,,,
Carly Florina,President,,Republican,Jefferson Davis,South Prentiss 12,0,,,,,,,,,,,,,,,,,,,,,,,,
Lindsey Graham,President,,Republican,Jefferson Davis,South Prentiss 12,0,,,,,,,,,,,,,,,,,,,,,,,,
Mike Huckabee,President,,Republican,Jefferson Davis,South Prentiss 12,0,,,,,,,,,,,,,,,,,,,,,,,,
John R. Kasich,President,,Republican,Jefferson Davis,South Prentiss 12,13,,,,,,,,,,,,,,,,,,,,,,,,
George Pataki,President,,Republican,Jefferson Davis,South Prentiss 12,0,,,,,,,,,,,,,,,,,,,,,,,,
Rand Paul,President,,Republican,Jefferson Davis,South Prentiss 12,0,,,,,,,,,,,,,,,,,,,,,,,,
Marco Rubio,President,,Republican,Jefferson Davis,South Prentiss 12,14,,,,,,,,,,,,,,,,,,,,,,,,
Rick Santorum,President,,Republican,Jefferson Davis,South Prentiss 12,1,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Jefferson Davis,South Prentiss 12,122,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Jefferson Davis,South Prentiss 12,91,,,,,,,,,,,,,,,,,,,,,,,,
"Roque ""Rocky"" De Le Fuente",President,,Democrat,Jefferson Davis,South Prentiss 12,4,,,,,,,,,,,,,,,,,,,,,,,,
Martin O'Mailey,President,,Democrat,Jefferson Davis,South Prentiss 12,0,,,,,,,,,,,,,,,,,,,,,,,,
Bernie Sanders,President,,Democrat,Jefferson Davis,South Prentiss 12,23,,,,,,,,,,,,,,,,,,,,,,,,
Willie Wilson,President,,Democrat,Jefferson Davis,South Prentiss 12,0,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Giles,U.S. House,3,Republican,Jefferson Davis,South Prentiss 12,20,,,,,,,,,,,,,,,,,,,,,,,,
Greg Harper,U.S. House,3,Republican,Jefferson Davis,South Prentiss 12,183,,,,,,,,,,,,,,,,,,,,,,,,
Dennis C.Quinn,U.S. House,3,Democrat,Jefferson Davis,South Prentiss 12,67,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Stewart,U.S. House,3,Democrat,Jefferson Davis,South Prentiss 12,32,,,,,,,,,,,,,,,,,,,,,,,,
Jeb Bush,President,,Republican,Jefferson Davis,South Prentiss 13,0,,,,,,,,,,,,,,,,,,,,,,,,
Ben Carson,President,,Republican,Jefferson Davis,South Prentiss 13,1,,,,,,,,,,,,,,,,,,,,,,,,
Chris Christie,President,,Republican,Jefferson Davis,South Prentiss 13,2,,,,,,,,,,,,,,,,,,,,,,,,
Ted Cruz,President,,Republican,Jefferson Davis,South Prentiss 13,20,,,,,,,,,,,,,,,,,,,,,,,,
Carly Florina,President,,Republican,Jefferson Davis,South Prentiss 13,0,,,,,,,,,,,,,,,,,,,,,,,,
Lindsey Graham,President,,Republican,Jefferson Davis,South Prentiss 13,0,,,,,,,,,,,,,,,,,,,,,,,,
Mike Huckabee,President,,Republican,Jefferson Davis,South Prentiss 13,0,,,,,,,,,,,,,,,,,,,,,,,,
John R. Kasich,President,,Republican,Jefferson Davis,South Prentiss 13,6,,,,,,,,,,,,,,,,,,,,,,,,
George Pataki,President,,Republican,Jefferson Davis,South Prentiss 13,0,,,,,,,,,,,,,,,,,,,,,,,,
Rand Paul,President,,Republican,Jefferson Davis,South Prentiss 13,0,,,,,,,,,,,,,,,,,,,,,,,,
Marco Rubio,President,,Republican,Jefferson Davis,South Prentiss 13,13,,,,,,,,,,,,,,,,,,,,,,,,
Rick Santorum,President,,Republican,Jefferson Davis,South Prentiss 13,0,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Jefferson Davis,South Prentiss 13,37,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Jefferson Davis,South Prentiss 13,135,,,,,,,,,,,,,,,,,,,,,,,,
"Roque ""Rocky"" De Le Fuente",President,,Democrat,Jefferson Davis,South Prentiss 13,0,,,,,,,,,,,,,,,,,,,,,,,,
Martin O'Mailey,President,,Democrat,Jefferson Davis,South Prentiss 13,0,,,,,,,,,,,,,,,,,,,,,,,,
Bernie Sanders,President,,Democrat,Jefferson Davis,South Prentiss 13,23,,,,,,,,,,,,,,,,,,,,,,,,
Willie Wilson,President,,Democrat,Jefferson Davis,South Prentiss 13,3,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Giles,U.S. House,3,Republican,Jefferson Davis,South Prentiss 13,8,,,,,,,,,,,,,,,,,,,,,,,,
Greg Harper,U.S. House,3,Republican,Jefferson Davis,South Prentiss 13,69,,,,,,,,,,,,,,,,,,,,,,,,
Dennis C.Quinn,U.S. House,3,Democrat,Jefferson Davis,South Prentiss 13,88,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Stewart,U.S. House,3,Democrat,Jefferson Davis,South Prentiss 13,47,,,,,,,,,,,,,,,,,,,,,,,,
Jeb Bush,President,,Republican,Jefferson Davis,Whiting 56,0,,,,,,,,,,,,,,,,,,,,,,,,
Ben Carson,President,,Republican,Jefferson Davis,Whiting 56,0,,,,,,,,,,,,,,,,,,,,,,,,
Chris Christie,President,,Republican,Jefferson Davis,Whiting 56,0,,,,,,,,,,,,,,,,,,,,,,,,
Ted Cruz,President,,Republican,Jefferson Davis,Whiting 56,2,,,,,,,,,,,,,,,,,,,,,,,,
Carly Florina,President,,Republican,Jefferson Davis,Whiting 56,0,,,,,,,,,,,,,,,,,,,,,,,,
Lindsey Graham,President,,Republican,Jefferson Davis,Whiting 56,0,,,,,,,,,,,,,,,,,,,,,,,,
Mike Huckabee,President,,Republican,Jefferson Davis,Whiting 56,0,,,,,,,,,,,,,,,,,,,,,,,,
John R. Kasich,President,,Republican,Jefferson Davis,Whiting 56,0,,,,,,,,,,,,,,,,,,,,,,,,
George Pataki,President,,Republican,Jefferson Davis,Whiting 56,0,,,,,,,,,,,,,,,,,,,,,,,,
Rand Paul,President,,Republican,Jefferson Davis,Whiting 56,0,,,,,,,,,,,,,,,,,,,,,,,,
Marco Rubio,President,,Republican,Jefferson Davis,Whiting 56,0,,,,,,,,,,,,,,,,,,,,,,,,
Rick Santorum,President,,Republican,Jefferson Davis,Whiting 56,0,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Jefferson Davis,Whiting 56,7,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Jefferson Davis,Whiting 56,139,,,,,,,,,,,,,,,,,,,,,,,,
"Roque ""Rocky"" De Le Fuente",President,,Democrat,Jefferson Davis,Whiting 56,0,,,,,,,,,,,,,,,,,,,,,,,,
Martin O'Mailey,President,,Democrat,Jefferson Davis,Whiting 56,0,,,,,,,,,,,,,,,,,,,,,,,,
Bernie Sanders,President,,Democrat,Jefferson Davis,Whiting 56,10,,,,,,,,,,,,,,,,,,,,,,,,
Willie Wilson,President,,Democrat,Jefferson Davis,Whiting 56,0,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Giles,U.S. House,3,Republican,Jefferson Davis,Whiting 56,0,,,,,,,,,,,,,,,,,,,,,,,,
Greg Harper,U.S. House,3,Republican,Jefferson Davis,Whiting 56,8,,,,,,,,,,,,,,,,,,,,,,,,
Dennis C.Quinn,U.S. House,3,Democrat,Jefferson Davis,Whiting 56,82,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Stewart,U.S. House,3,Democrat,Jefferson Davis,Whiting 56,40,,,,,,,,,,,,,,,,,,,,,,,,
Jeb Bush,President,,Republican,Jefferson Davis,Williamson Mill 44,0,,,,,,,,,,,,,,,,,,,,,,,,
Ben Carson,President,,Republican,Jefferson Davis,Williamson Mill 44,0,,,,,,,,,,,,,,,,,,,,,,,,
Chris Christie,President,,Republican,Jefferson Davis,Williamson Mill 44,0,,,,,,,,,,,,,,,,,,,,,,,,
Ted Cruz,President,,Republican,Jefferson Davis,Williamson Mill 44,33,,,,,,,,,,,,,,,,,,,,,,,,
Carly Florina,President,,Republican,Jefferson Davis,Williamson Mill 44,0,,,,,,,,,,,,,,,,,,,,,,,,
Lindsey Graham,President,,Republican,Jefferson Davis,Williamson Mill 44,0,,,,,,,,,,,,,,,,,,,,,,,,
Mike Huckabee,President,,Republican,Jefferson Davis,Williamson Mill 44,1,,,,,,,,,,,,,,,,,,,,,,,,
John R. Kasich,President,,Republican,Jefferson Davis,Williamson Mill 44,12,,,,,,,,,,,,,,,,,,,,,,,,
George Pataki,President,,Republican,Jefferson Davis,Williamson Mill 44,0,,,,,,,,,,,,,,,,,,,,,,,,
Rand Paul,President,,Republican,Jefferson Davis,Williamson Mill 44,0,,,,,,,,,,,,,,,,,,,,,,,,
Marco Rubio,President,,Republican,Jefferson Davis,Williamson Mill 44,2,,,,,,,,,,,,,,,,,,,,,,,,
Rick Santorum,President,,Republican,Jefferson Davis,Williamson Mill 44,1,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Jefferson Davis,Williamson Mill 44,60,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Jefferson Davis,Williamson Mill 44,55,,,,,,,,,,,,,,,,,,,,,,,,
"Roque ""Rocky"" De Le Fuente",President,,Democrat,Jefferson Davis,Williamson Mill 44,0,,,,,,,,,,,,,,,,,,,,,,,,
Martin O'Mailey,President,,Democrat,Jefferson Davis,Williamson Mill 44,0,,,,,,,,,,,,,,,,,,,,,,,,
Bernie Sanders,President,,Democrat,Jefferson Davis,Williamson Mill 44,6,,,,,,,,,,,,,,,,,,,,,,,,
Willie Wilson,President,,Democrat,Jefferson Davis,Williamson Mill 44,3,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Giles,U.S. House,3,Republican,Jefferson Davis,Williamson Mill 44,6,,,,,,,,,,,,,,,,,,,,,,,,
Greg Harper,U.S. House,3,Republican,Jefferson Davis,Williamson Mill 44,102,,,,,,,,,,,,,,,,,,,,,,,,
Dennis C.Quinn,U.S. House,3,Democrat,Jefferson Davis,Williamson Mill 44,42,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Stewart,U.S. House,3,Democrat,Jefferson Davis,Williamson Mill 44,12,,,,,,,,,,,,,,,,,,,,,,,,
Jeb Bush,President,,Republican,Jefferson Davis,Total,2,,,,,,,,,,,,,,,,,,,,,,,,
