candidate,office,district,party,county,precinct,votes,winner,page
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lauderdale,560 - South Nellieburg,19,,5
Roger Gerrard,U.S. House,3,Independent,Lauderdale,560 - South Nellieburg,4,,5
Barbara Dale Washer,U.S. House,3,Reform,Lauderdale,560 - South Nellieburg,4,,5
Travis W. Childers,U.S. Senate,,Democrat,Lauderdale,563 - Valley,11,,5
Thad Cochran,U.S. Senate,,Republican,Lauderdale,563 - Valley,48,,5
Shawn O'Hara,U.S. Senate,,Reform,Lauderdale,563 - Valley,1,,5
Gregg Harper,U.S. House,3,Republican,Lauderdale,563 - Valley,48,,5
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lauderdale,563 - Valley,12,,5
Roger Gerrard,U.S. House,3,Independent,Lauderdale,563 - Valley,1,,5
Barbara Dale Washer,U.S. House,3,Reform,Lauderdale,563 - Valley,0,,5
Travis W. Childers,U.S. Senate,,Democrat,Lauderdale,564 - Vimville,106,,5
Thad Cochran,U.S. Senate,,Republican,Lauderdale,564 - Vimville,386,,5
Shawn O'Hara,U.S. Senate,,Reform,Lauderdale,564 - Vimville,10,,5
Gregg Harper,U.S. House,3,Republican,Lauderdale,564 - Vimville,403,,5
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lauderdale,564 - Vimville,86,,5
Roger Gerrard,U.S. House,3,Independent,Lauderdale,564 - Vimville,7,,5
Barbara Dale Washer,U.S. House,3,Reform,Lauderdale,564 - Vimville,2,,5
Travis W. Childers,U.S. Senate,,Democrat,Lauderdale,565 - Whynot,36,,5
Thad Cochran,U.S. Senate,,Republican,Lauderdale,565 - Whynot,176,,5
Shawn O'Hara,U.S. Senate,,Reform,Lauderdale,565 - Whynot,2,,5
Gregg Harper,U.S. House,3,Republican,Lauderdale,565 - Whynot,191,,5
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lauderdale,565 - Whynot,16,,5
Roger Gerrard,U.S. House,3,Independent,Lauderdale,565 - Whynot,4,,5
Barbara Dale Washer,U.S. House,3,Reform,Lauderdale,565 - Whynot,1,,5
Travis W. Childers,U.S. Senate,,Democrat,Lauderdale,567 - Zero,67,,5
Thad Cochran,U.S. Senate,,Republican,Lauderdale,567 - Zero,358,,5
Shawn O'Hara,U.S. Senate,,Reform,Lauderdale,567 - Zero,10,,5
Gregg Harper,U.S. House,3,Republican,Lauderdale,567 - Zero,386,,5
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lauderdale,567 - Zero,45,,5
Roger Gerrard,U.S. House,3,Independent,Lauderdale,567 - Zero,7,,5
Barbara Dale Washer,U.S. House,3,Reform,Lauderdale,567 - Zero,5,,5
Travis W. Childers,U.S. Senate,,Democrat,Lauderdale,583 - Mt Gilead,41,,5
Thad Cochran,U.S. Senate,,Republican,Lauderdale,583 - Mt Gilead,167,,5
Shawn O'Hara,U.S. Senate,,Reform,Lauderdale,583 - Mt Gilead,5,,5
Gregg Harper,U.S. House,3,Republican,Lauderdale,583 - Mt Gilead,176,,5
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lauderdale,583 - Mt Gilead,34,,5
Roger Gerrard,U.S. House,3,Independent,Lauderdale,583 - Mt Gilead,3,,5
Barbara Dale Washer,U.S. House,3,Reform,Lauderdale,583 - Mt Gilead,0,,5
Travis W. Childers,U.S. Senate,,Democrat,Lauderdale,Total,4109,,5
Thad Cochran,U.S. Senate,,Republican,Lauderdale,Total,10359,WINNER,5
Shawn O'Hara,U.S. Senate,,Reform,Lauderdale,Total,234,,5
Gregg Harper,U.S. House,3,Republican,Lauderdale,Total,10640,WINNER,5
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lauderdale,Total,3592,,5
Roger Gerrard,U.S. House,3,Independent,Lauderdale,Total,264,,5
Barbara Dale Washer,U.S. House,3,Reform,Lauderdale,Total,115,,5
