county,precinct,office,district,candidate,party,votes,winner
Jasper,Louin,Commissioner of Insurance,,Mike Chaney,R,207,
Jasper,Louin,Commissioner of Insurance,,Barbara Dale Washer,Reform,10,
Jasper,Montrose,Commissioner of Insurance,,Louis Fondren,D,102,
Jasper,Montrose,Commissioner of Insurance,,Mike Chaney,R,119,
Jasper,Montrose,Commissioner of Insurance,,Barbara Dale Washer,Reform,10,
Jasper,Bay Springs Beat 4,Commissioner of Insurance,,Louis Fondren,D,346,
Jasper,Bay Springs Beat 4,Commissioner of Insurance,,Mike Chaney,R,294,
Jasper,Bay Springs Beat 4,Commissioner of Insurance,,Barbara Dale Washer,Reform,16,
Jasper,Stringer,Commissioner of Insurance,,Louis Fondren,D,93,
Jasper,Stringer,Commissioner of Insurance,,Mike Chaney,R,616,
Jasper,Stringer,Commissioner of Insurance,,Barbara Dale Washer,Reform,21,
Jasper,Heidelberg Beat 5,Commissioner of Insurance,,Louis Fondren,D,565,
Jasper,Heidelberg Beat 5,Commissioner of Insurance,,Mike Chaney,R,141,
Jasper,Heidelberg Beat 5,Commissioner of Insurance,,Barbara Dale Washer,Reform,24,
Jasper,Claiborne,Commissioner of Insurance,,Louis Fondren,D,127,
Jasper,Claiborne,Commissioner of Insurance,,Mike Chaney,R,110,
Jasper,Claiborne,Commissioner of Insurance,,Barbara Dale Washer,Reform,8,
Jasper,Philadelphia,Commissioner of Insurance,,Louis Fondren,D,160,
Jasper,Philadelphia,Commissioner of Insurance,,Mike Chaney,R,68,
Jasper,Philadelphia,Commissioner of Insurance,,Barbara Dale Washer,Reform,11,
Jasper,Beat 1 Antioch 2 Judicial,Governor,,Johnny L. DuPree,D,29,
Jasper,Beat 1 Antioch 2 Judicial,Governor,,Phil Bryant,R,209,
Jasper,Beat 1 Holders - Waldrup 1,Governor,,Johnny L. DuPree,D,127,
Jasper,Beat 1 Holders - Waldrup 1,Governor,,Phil Bryant,R,20,
Jasper,Beat 1 Holders - Waldrup 2,Governor,,Johnny L. DuPree,D,153,
Jasper,Beat 1 Holders - Waldrup 2,Governor,,Phil Bryant,R,190,
Jasper,Moss First,Governor,,Johnny L. DuPree,D,2,
Jasper,Moss First,Governor,,Phil Bryant,R,34,
Jasper,Moss Second,Governor,,Johnny L. DuPree,D,148,
Jasper,Moss Second,Governor,,Phil Bryant,R,394,
Jasper,Palestine,Governor,,Johnny L. DuPree,D,51,
Jasper,Palestine,Governor,,Phil Bryant,R,8,
Jasper,Paulding,Governor,,Johnny L. DuPree,D,472,
Jasper,Paulding,Governor,,Phil Bryant,R,136,
Jasper,Fellowship,Governor,,Johnny L. DuPree,D,19,
Jasper,Fellowship,Governor,,Phil Bryant,R,53,
Jasper,Midway,Governor,,Johnny L. DuPree,D,154,
Jasper,Midway,Governor,,Phil Bryant,R,79,
Jasper,Rose Hill,Governor,,Johnny L. DuPree,D,156,
Jasper,Rose Hill,Governor,,Phil Bryant,R,170,
Jasper,Vossburg,Governor,,Johnny L. DuPree,D,239,
Jasper,Vossburg,Governor,,Phil Bryant,R,30,
Jasper,Bay Springs Beat 3,Governor,,Johnny L. DuPree,D,293,
Jasper,Bay Springs Beat 3,Governor,,Phil Bryant,R,290,
Jasper,Louin,Governor,,Johnny L. DuPree,D,232,
Jasper,Louin,Governor,,Phil Bryant,R,205,
Jasper,Montrose,Governor,,Johnny L. DuPree,D,114,
Jasper,Montrose,Governor,,Phil Bryant,R,125,
Jasper,Bay Springs Beat 4,Governor,,Johnny L. DuPree,D,402,
Jasper,Bay Springs Beat 4,Governor,,Phil Bryant,R,265,
Jasper,Stringer,Governor,,Johnny L. DuPree,D,97,
Jasper,Stringer,Governor,,Phil Bryant,R,642,
Jasper,Heidelberg Beat 5,Governor,,Johnny L. DuPree,D,666,
Jasper,Heidelberg Beat 5,Governor,,Phil Bryant,R,116,
Jasper,Claiborne,Governor,,Johnny L. DuPree,D,151,
Jasper,Claiborne,Governor,,Phil Bryant,R,99,
Jasper,Philadelphia,Governor,,Johnny L. DuPree,D,184,
Jasper,Philadelphia,Governor,,Phil Bryant,R,59,
Jasper,Beat 1 Antioch 2 Judicial,Lieutenant Governor,,Tate Reeves,R,223,
Jasper,Beat 1 Antioch 2 Judicial,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,13,
Jasper,Beat 1 Holders - Waldrup 1,Lieutenant Governor,,Tate Reeves,R,58,
Jasper,Beat 1 Holders - Waldrup 1,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,34,
Jasper,Beat 1 Holders - Waldrup 2,Lieutenant Governor,,Tate Reeves,R,244,
Jasper,Beat 1 Holders - Waldrup 2,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,77,
Jasper,Moss First,Lieutenant Governor,,Tate Reeves,R,32,
Jasper,Moss First,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,4,
Jasper,Moss Second,Lieutenant Governor,,Tate Reeves,R,453,
Jasper,Moss Second,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,66,
Jasper,Palestine,Lieutenant Governor,,Tate Reeves,R,27,
Jasper,Palestine,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,22,
Jasper,Paulding,Lieutenant Governor,,Tate Reeves,R,306,
Jasper,Paulding,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,220,
Jasper,Fellowship,Lieutenant Governor,,Tate Reeves,R,61,
Jasper,Fellowship,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,8,
Jasper,Midway,Lieutenant Governor,,Tate Reeves,R,133,
Jasper,Midway,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,61,
Jasper,Rose Hill,Lieutenant Governor,,Tate Reeves,R,208,
Jasper,Rose Hill,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,69,
