candidate,office,district,party,county,precinct,votes,winner,
Perry E. Lee,State Senate,35,R,Copiah,Carpenter,X,,
Perry E. Lee,State Senate,35,R,Copiah,Crystal Springs East,1095,,
Perry E. Lee,State Senate,35,R,Copiah,Crystal Springs North,9,,
Perry E. Lee,State Senate,35,R,Copiah,Crystal Springs South,7,,
Perry E. Lee,State Senate,35,R,Copiah,Crystal Springs West,X,,
Perry E. Lee,State Senate,35,R,Copiah,Dentville,X,,
Perry E. Lee,State Senate,35,R,Copiah,Georgetown North,X,,
Perry E. Lee,State Senate,35,R,Copiah,Georgetown South,X,,
Perry E. Lee,State Senate,35,R,Copiah,Hazlehurst East,X,,
Perry E. Lee,State Senate,35,R,Copiah,Hazlehurst North,X,,
Perry E. Lee,State Senate,35,R,Copiah,Hazlehurst South,X,,
Perry E. Lee,State Senate,35,R,Copiah,Hazlehurst West,X,,
Perry E. Lee,State Senate,35,R,Copiah,Martinsville,X,,
Perry E. Lee,State Senate,35,R,Copiah,Shady Grove,X,,
Perry E. Lee,State Senate,35,R,Copiah,Stronghope Union,X,,
Perry E. Lee,State Senate,35,R,Copiah,Wesson,X,,
Perry E. Lee,State Senate,35,R,Copiah,Gallman,X,,
Perry E. Lee,State Senate,35,R,Copiah,TOTAL,1111,,
Albert Butler,State Senate,36,D,Copiah,Beauregard,391,,
Albert Butler,State Senate,36,D,Copiah,Centerpoint,521,,
Albert Butler,State Senate,36,D,Copiah,Carpenter,134,,
Albert Butler,State Senate,36,D,Copiah,Crystal Springs East,X,,
Albert Butler,State Senate,36,D,Copiah,Crystal Springs North,235,,
Albert Butler,State Senate,36,D,Copiah,Crystal Springs South,846,,
Albert Butler,State Senate,36,D,Copiah,Crystal Springs West,532,,
Albert Butler,State Senate,36,D,Copiah,Dentville,120,,
Albert Butler,State Senate,36,D,Copiah,Georgetown North,162,,
Albert Butler,State Senate,36,D,Copiah,Georgetown South,223,,
Albert Butler,State Senate,36,D,Copiah,Hazlehurst East,624,,
Albert Butler,State Senate,36,D,Copiah,Hazlehurst North,158,,
Albert Butler,State Senate,36,D,Copiah,Hazlehurst South,306,,
Albert Butler,State Senate,36,D,Copiah,Hazlehurst West,860,,
Albert Butler,State Senate,36,D,Copiah,Martinsville,232,,
Albert Butler,State Senate,36,D,Copiah,Shady Grove,269,,
Albert Butler,State Senate,36,D,Copiah,Stronghope Union,237,,
Albert Butler,State Senate,36,D,Copiah,Wesson,367,,
Albert Butler,State Senate,36,D,Copiah,Gallman,945,,
Albert Butler,State Senate,36,D,Copiah,TOTAL,7162,,
Tom Weathersby,State House,62,R,Copiah,Beauregard,414,,
Tom Weathersby,State House,62,R,Copiah,Centerpoint,X,,
Tom Weathersby,State House,62,R,Copiah,Carpenter,X,,
Tom Weathersby,State House,62,R,Copiah,Crystal Springs East,916,,
Tom Weathersby,State House,62,R,Copiah,Crystal Springs North,6,,
Tom Weathersby,State House,62,R,Copiah,Crystal Springs South,7,,
Tom Weathersby,State House,62,R,Copiah,Crystal Springs West,253,,
Tom Weathersby,State House,62,R,Copiah,Dentville,X,,
Tom Weathersby,State House,62,R,Copiah,Georgetown North,69,,
Tom Weathersby,State House,62,R,Copiah,Georgetown South,42,,
Tom Weathersby,State House,62,R,Copiah,Hazlehurst East,3,,
Tom Weathersby,State House,62,R,Copiah,Hazlehurst North,X,,
Tom Weathersby,State House,62,R,Copiah,Hazlehurst South,X,,
Tom Weathersby,State House,62,R,Copiah,Hazlehurst West,X,,
Tom Weathersby,State House,62,R,Copiah,Martinsville,54,,
Tom Weathersby,State House,62,R,Copiah,Shady Grove,273,,
Tom Weathersby,State House,62,R,Copiah,Stronghope Union,267,,
Tom Weathersby,State House,62,R,Copiah,Wesson,224,,
Tom Weathersby,State House,62,R,Copiah,Gallman,117,,
Tom Weathersby,State House,62,R,Copiah,TOTAL,2645,,
Greg Holloway,State House,76,R,Copiah,Beauregard,7,,
Greg Holloway,State House,76,R,Copiah,Centerpoint,533,,
Greg Holloway,State House,76,R,Copiah,Carpenter,139,,
Greg Holloway,State House,76,R,Copiah,Crystal Springs East,240,,
Greg Holloway,State House,76,R,Copiah,Crystal Springs North,252,,
Greg Holloway,State House,76,R,Copiah,Crystal Springs South,859,,
Greg Holloway,State House,76,R,Copiah,Crystal Springs West,297,,
Greg Holloway,State House,76,R,Copiah,Dentville,129,,
Greg Holloway,State House,76,R,Copiah,Georgetown North,60,,
Greg Holloway,State House,76,R,Copiah,Georgetown South,X,,
Greg Holloway,State House,76,R,Copiah,Hazlehurst East,639,,
Greg Holloway,State House,76,R,Copiah,Hazlehurst North,163,,
Greg Holloway,State House,76,R,Copiah,Hazlehurst South,317,,
Greg Holloway,State House,76,R,Copiah,Hazlehurst West,906,,
Greg Holloway,State House,76,R,Copiah,Martinsville,194,,
Greg Holloway,State House,76,R,Copiah,Shady Grove,X,,
Greg Holloway,State House,76,R,Copiah,Stronghope Union,X,,
Greg Holloway,State House,76,R,Copiah,Wesson,X,,
Greg Holloway,State House,76,R,Copiah,Gallman,868,,
Greg Holloway,State House,76,R,Copiah,TOTAL,5603,,
Cindy Shivers Bryan,State House,91,R,Copiah,Beauregard,X,,
Bob Evans,State House,91,D,Copiah,Beauregard,X,,
Cindy Shivers Bryan,State House,91,R,Copiah,Centerpoint,X,,
Bob Evans,State House,91,D,Copiah,Centerpoint,X,,
Cindy Shivers Bryan,State House,91,R,Copiah,Carpenter,X,,
Bob Evans,State House,91,D,Copiah,Carpenter,X,,
Cindy Shivers Bryan,State House,91,R,Copiah,Crystal Springs East,X,,
Bob Evans,State House,91,D,Copiah,Crystal Springs East,X,,
Cindy Shivers Bryan,State House,91,R,Copiah,Crystal Springs North,X,,
Bob Evans,State House,91,D,Copiah,Crystal Springs North,X,,
Cindy Shivers Bryan,State House,91,R,Copiah,Crystal Springs South,X,,
Bob Evans,State House,91,D,Copiah,Crystal Springs South,X,,
Cindy Shivers Bryan,State House,91,R,Copiah,Crystal Springs West,X,,
Bob Evans,State House,91,D,Copiah,Crystal Springs West,X,,
Cindy Shivers Bryan,State House,91,R,Copiah,Dentville,X,,
Bob Evans,State House,91,D,Copiah,Dentville,X,,
Cindy Shivers Bryan,State House,91,R,Copiah,Georgetown North,11,,
Bob Evans,State House,91,D,Copiah,Georgetown North,21,,
Cindy Shivers Bryan,State House,91,R,Copiah,Georgetown South,135,,
Bob Evans,State House,91,D,Copiah,Georgetown South,85,,
Cindy Shivers Bryan,State House,91,R,Copiah,Hazlehurst East,X,,
Bob Evans,State House,91,D,Copiah,Hazlehurst East,X,,
Cindy Shivers Bryan,State House,91,R,Copiah,Hazlehurst North,X,,
Bob Evans,State House,91,D,Copiah,Hazlehurst North,X,,
Cindy Shivers Bryan,State House,91,R,Copiah,Hazlehurst South,X,,
Bob Evans,State House,91,D,Copiah,Hazlehurst South,X,,
Cindy Shivers Bryan,State House,91,R,Copiah,Hazlehurst West,X,,
Bob Evans,State House,91,D,Copiah,Hazlehurst West,X,,
Cindy Shivers Bryan,State House,91,R,Copiah,Martinsville,X,,
Bob Evans,State House,91,D,Copiah,Martinsville,X,,
Cindy Shivers Bryan,State House,91,R,Copiah,Shady Grove,X,,
Bob Evans,State House,91,D,Copiah,Shady Grove,X,,
Cindy Shivers Bryan,State House,91,R,Copiah,Stronghope Union,7,,
Bob Evans,State House,91,D,Copiah,Stronghope Union,0,,
Cindy Shivers Bryan,State House,91,R,Copiah,Wesson,X,,
Bob Evans,State House,91,D,Copiah,Wesson,X,,
Cindy Shivers Bryan,State House,91,R,Copiah,Gallman,X,,
Bob Evans,State House,91,D,Copiah,Gallman,X,,
Cindy Shivers Bryan,State House,91,R,Copiah,TOTAL,153,,
Bob Evans,State House,91,D,Copiah,TOTAL,106,,
Becky Currie,State House,92,R,Copiah,Beauregard,2,,
Ken Dale Sullivan,State House,92,D,Copiah,Beauregard,0,,
Becky Currie,State House,92,R,Copiah,Centerpoint,X,,
Ken Dale Sullivan,State House,92,D,Copiah,Centerpoint,X,,
Becky Currie,State House,92,R,Copiah,Carpenter,X,,
Ken Dale Sullivan,State House,92,D,Copiah,Carpenter,X,,
Becky Currie,State House,92,R,Copiah,Crystal Springs East,X,,
Ken Dale Sullivan,State House,92,D,Copiah,Crystal Springs East,X,,
Becky Currie,State House,92,R,Copiah,Crystal Springs North,X,,
Ken Dale Sullivan,State House,92,D,Copiah,Crystal Springs North,X,,
Becky Currie,State House,92,R,Copiah,Crystal Springs South,X,,
Ken Dale Sullivan,State House,92,D,Copiah,Crystal Springs South,X,,
Becky Currie,State House,92,R,Copiah,Crystal Springs West,X,,
Ken Dale Sullivan,State House,92,D,Copiah,Crystal Springs West,X,,
Becky Currie,State House,92,R,Copiah,Dentville,X,,
Ken Dale Sullivan,State House,92,D,Copiah,Dentville,X,,
Becky Currie,State House,92,R,Copiah,Georgetown North,X,,
Ken Dale Sullivan,State House,92,D,Copiah,Georgetown North,X,,
Becky Currie,State House,92,R,Copiah,Georgetown South,X,,
Ken Dale Sullivan,State House,92,D,Copiah,Georgetown South,X,,
Becky Currie,State House,92,R,Copiah,Hazlehurst East,X,,
Ken Dale Sullivan,State House,92,D,Copiah,Hazlehurst East,X,,
Becky Currie,State House,92,R,Copiah,Hazlehurst North,X,,
Ken Dale Sullivan,State House,92,D,Copiah,Hazlehurst North,X,,
Becky Currie,State House,92,R,Copiah,Hazlehurst South,X,,
Ken Dale Sullivan,State House,92,D,Copiah,Hazlehurst South,X,,
Becky Currie,State House,92,R,Copiah,Hazlehurst West,X,,
Ken Dale Sullivan,State House,92,D,Copiah,Hazlehurst West,X,,
Becky Currie,State House,92,R,Copiah,Martinsville,X,,
Ken Dale Sullivan,State House,92,D,Copiah,Martinsville,X,,
Becky Currie,State House,92,R,Copiah,Shady Grove,X,,
Ken Dale Sullivan,State House,92,D,Copiah,Shady Grove,X,,
Becky Currie,State House,92,R,Copiah,Stronghope Union,X,,
Ken Dale Sullivan,State House,92,D,Copiah,Stronghope Union,X,,
Becky Currie,State House,92,R,Copiah,Wesson,114,,
Ken Dale Sullivan,State House,92,D,Copiah,Wesson,103,,
Becky Currie,State House,92,R,Copiah,Gallman,X,,
Ken Dale Sullivan,State House,92,D,Copiah,Gallman,X,,
Becky Currie,State House,92,R,Copiah,TOTAL,116,,
Ken Dale Sullivan,State House,92,D,Copiah,TOTAL,103,,
