candidate,office,district,party,county,votes
Michael Herrington,US House,4,D,Pike,
Jason Vitosky,US House,4,D,Pike,
Barack Obama,US President,,D,Pontotoc,334
"Albert N. Gore, Jr. ",U.S. Senate,,D,Pontotoc,226
Will Oatis,U.S. Senate,,D,Pontotoc,29
Roger Weiner,U.S. Senate,,D,Pontotoc,91
Brad Morris,US House,1,D,Pontotoc,311
Heather McTeer,US House,2,D,Pontotoc,
Bennie G. Thompson,US House,2,D,Pontotoc,
Crystal Biggs,US House,3,D,Pontotoc,
Michael Herrington,US House,4,D,Pontotoc,
Jason Vitosky,US House,4,D,Pontotoc,
Barack Obama,US President,,D,Prentiss,241
"Albert N. Gore, Jr. ",U.S. Senate,,D,Prentiss,195
Will Oatis,U.S. Senate,,D,Prentiss,28
Roger Weiner,U.S. Senate,,D,Prentiss,67
Brad Morris,US House,1,D,Prentiss,277
Heather McTeer,US House,2,D,Prentiss,
Bennie G. Thompson,US House,2,D,Prentiss,
Crystal Biggs,US House,3,D,Prentiss,
Michael Herrington,US House,4,D,Prentiss,
Jason Vitosky,US House,4,D,Prentiss,
Barack Obama,US President,,D,Quitman,1218
"Albert N. Gore, Jr. ",U.S. Senate,,D,Quitman,492
Will Oatis,U.S. Senate,,D,Quitman,150
Roger Weiner,U.S. Senate,,D,Quitman,466
Brad Morris,US House,1,D,Quitman,
Heather McTeer,US House,2,D,Quitman,202
Bennie G. Thompson,US House,2,D,Quitman,1134
Crystal Biggs,US House,3,D,Quitman,
Michael Herrington,US House,4,D,Quitman,
Jason Vitosky,US House,4,D,Quitman,
Barack Obama,US President,,D,Rankin,1720
"Albert N. Gore, Jr. ",U.S. Senate,,D,Rankin,867
Will Oatis,U.S. Senate,,D,Rankin,299
Roger Weiner,U.S. Senate,,D,Rankin,468
Brad Morris,US House,1,D,Rankin,
Heather McTeer,US House,2,D,Rankin,
Bennie G. Thompson,US House,2,D,Rankin,
Crystal Biggs,US House,3,D,Rankin,1534
Michael Herrington,US House,4,D,Rankin,
Jason Vitosky,US House,4,D,Rankin,
Barack Obama,US President,,D,Scott,813
"Albert N. Gore, Jr. ",U.S. Senate,,D,Scott,498
Will Oatis,U.S. Senate,,D,Scott,70
Roger Weiner,U.S. Senate,,D,Scott,179
Brad Morris,US House,1,D,Scott,
Heather McTeer,US House,2,D,Scott,
Bennie G. Thompson,US House,2,D,Scott,
Crystal Biggs,US House,3,D,Scott,684
Michael Herrington,US House,4,D,Scott,
Jason Vitosky,US House,4,D,Scott,
Barack Obama,US President,,D,Sharkey,811
"Albert N. Gore, Jr. ",U.S. Senate,,D,Sharkey,323
Will Oatis,U.S. Senate,,D,Sharkey,53
Roger Weiner,U.S. Senate,,D,Sharkey,246
Brad Morris,US House,1,D,Sharkey,
Heather McTeer,US House,2,D,Sharkey,80
Bennie G. Thompson,US House,2,D,Sharkey,772
Crystal Biggs,US House,3,D,Sharkey,
Michael Herrington,US House,4,D,Sharkey,
Jason Vitosky,US House,4,D,Sharkey,
Barack Obama,US President,,D,Simpson,941
"Albert N. Gore, Jr. ",U.S. Senate,,D,Simpson,352
Will Oatis,U.S. Senate,,D,Simpson,410
Roger Weiner,U.S. Senate,,D,Simpson,164
Brad Morris,US House,1,D,Simpson,
Heather McTeer,US House,2,D,Simpson,
Bennie G. Thompson,US House,2,D,Simpson,
Crystal Biggs,US House,3,D,Simpson,825
Michael Herrington,US House,4,D,Simpson,
Jason Vitosky,US House,4,D,Simpson,
Barack Obama,US President,,D,Smith,394
"Albert N. Gore, Jr. ",U.S. Senate,,D,Smith,200
Will Oatis,U.S. Senate,,D,Smith,122
Roger Weiner,U.S. Senate,,D,Smith,77
Brad Morris,US House,1,D,Smith,
Heather McTeer,US House,2,D,Smith,
Bennie G. Thompson,US House,2,D,Smith,375
Crystal Biggs,US House,3,D,Smith,
Michael Herrington,US House,4,D,Smith,
Jason Vitosky,US House,4,D,Smith,
Barack Obama,US President,,D,Stone,219
"Albert N. Gore, Jr. ",U.S. Senate,,D,Stone,96
Will Oatis,U.S. Senate,,D,Stone,87
Roger Weiner,U.S. Senate,,D,Stone,49
Brad Morris,US House,1,D,Stone,
Heather McTeer,US House,2,D,Stone,
Bennie G. Thompson,US House,2,D,Stone,
Crystal Biggs,US House,3,D,Stone,
Michael Herrington,US House,4,D,Stone,157
Jason Vitosky,US House,4,D,Stone,63
Barack Obama,US President,,D,Sunflower,2714
"Albert N. Gore, Jr. ",U.S. Senate,,D,Sunflower,1223
Will Oatis,U.S. Senate,,D,Sunflower,557
Roger Weiner,U.S. Senate,,D,Sunflower,658
Brad Morris,US House,1,D,Sunflower,
Heather McTeer,US House,2,D,Sunflower,494
Bennie G. Thompson,US House,2,D,Sunflower,2347
Crystal Biggs,US House,3,D,Sunflower,
Michael Herrington,US House,4,D,Sunflower,
Jason Vitosky,US House,4,D,Sunflower,
Barack Obama,US President,,D,Tallahatchie,1550
"Albert N. Gore, Jr. ",U.S. Senate,,D,Tallahatchie,614
Will Oatis,U.S. Senate,,D,Tallahatchie,142
Roger Weiner,U.S. Senate,,D,Tallahatchie,577
Brad Morris,US House,1,D,Tallahatchie,
Heather McTeer,US House,2,D,Tallahatchie,195
Bennie G. Thompson,US House,2,D,Tallahatchie,1464
Crystal Biggs,US House,3,D,Tallahatchie,
Michael Herrington,US House,4,D,Tallahatchie,
Jason Vitosky,US House,4,D,Tallahatchie,
Barack Obama,US President,,D,Tate,536
"Albert N. Gore, Jr. ",U.S. Senate,,D,Tate,358
Will Oatis,U.S. Senate,,D,Tate,55
Roger Weiner,U.S. Senate,,D,Tate,89
Brad Morris,US House,1,D,Tate,432
Heather McTeer,US House,2,D,Tate,
Bennie G. Thompson,US House,2,D,Tate,
Crystal Biggs,US House,3,D,Tate,
Michael Herrington,US House,4,D,Tate,
Jason Vitosky,US House,4,D,Tate,
Barack Obama,US President,,D,Tippah,169
"Albert N. Gore, Jr. ",U.S. Senate,,D,Tippah,140
Will Oatis,U.S. Senate,,D,Tippah,15
Roger Weiner,U.S. Senate,,D,Tippah,39
Brad Morris,US House,1,D,Tippah,175
Heather McTeer,US House,2,D,Tippah,
Bennie G. Thompson,US House,2,D,Tippah,
Crystal Biggs,US House,3,D,Tippah,
Michael Herrington,US House,4,D,Tippah,
Jason Vitosky,US House,4,D,Tippah,
Barack Obama,US President,,D,Tishomingo,226
"Albert N. Gore, Jr. ",U.S. Senate,,D,Tishomingo,184
Will Oatis,U.S. Senate,,D,Tishomingo,18
Roger Weiner,U.S. Senate,,D,Tishomingo,47
Brad Morris,US House,1,D,Tishomingo,229
Heather McTeer,US House,2,D,Tishomingo,
Bennie G. Thompson,US House,2,D,Tishomingo,
Crystal Biggs,US House,3,D,Tishomingo,
Michael Herrington,US House,4,D,Tishomingo,
Jason Vitosky,US House,4,D,Tishomingo,
Barack Obama,US President,,D,Tunica,571
"Albert N. Gore, Jr. ",U.S. Senate,,D,Tunica,318
Will Oatis,U.S. Senate,,D,Tunica,76
Roger Weiner,U.S. Senate,,D,Tunica,98
Brad Morris,US House,1,D,Tunica,
Heather McTeer,US House,2,D,Tunica,23
Bennie G. Thompson,US House,2,D,Tunica,568
Crystal Biggs,US House,3,D,Tunica,
Michael Herrington,US House,4,D,Tunica,
Jason Vitosky,US House,4,D,Tunica,
Barack Obama,US President,,D,Union,374
"Albert N. Gore, Jr. ",U.S. Senate,,D,Union,273
Will Oatis,U.S. Senate,,D,Union,19
Roger Weiner,U.S. Senate,,D,Union,85
Brad Morris,US House,1,D,Union,345
Heather McTeer,US House,2,D,Union,
Bennie G. Thompson,US House,2,D,Union,
Crystal Biggs,US House,3,D,Union,
Michael Herrington,US House,4,D,Union,
Jason Vitosky,US House,4,D,Union,
Barack Obama,US President,,D,Walthall,487
"Albert N. Gore, Jr. ",U.S. Senate,,D,Walthall,238
Will Oatis,U.S. Senate,,D,Walthall,87
Roger Weiner,U.S. Senate,,D,Walthall,125
Brad Morris,US House,1,D,Walthall,
Heather McTeer,US House,2,D,Walthall,
Bennie G. Thompson,US House,2,D,Walthall,
Crystal Biggs,US House,3,D,Walthall,394
Michael Herrington,US House,4,D,Walthall,
Jason Vitosky,US House,4,D,Walthall,
Barack Obama,US President,,D,Warren,2761
"Albert N. Gore, Jr. ",U.S. Senate,,D,Warren,1490
Will Oatis,U.S. Senate,,D,Warren,348
Roger Weiner,U.S. Senate,,D,Warren,527
Brad Morris,US House,1,D,Warren,
Heather McTeer,US House,2,D,Warren,423
Bennie G. Thompson,US House,2,D,Warren,2504
Crystal Biggs,US House,3,D,Warren,
Michael Herrington,US House,4,D,Warren,
Jason Vitosky,US House,4,D,Warren,
Barack Obama,US President,,D,Washington,4643
"Albert N. Gore, Jr. ",U.S. Senate,,D,Washington,2325
Will Oatis,U.S. Senate,,D,Washington,443
Roger Weiner,U.S. Senate,,D,Washington,817
Brad Morris,US House,1,D,Washington,
Heather McTeer,US House,2,D,Washington,649
Bennie G. Thompson,US House,2,D,Washington,4246
Crystal Biggs,US House,3,D,Washington,
Michael Herrington,US House,4,D,Washington,
Jason Vitosky,US House,4,D,Washington,
Barack Obama,US President,,D,Wayne,752
"Albert N. Gore, Jr. ",U.S. Senate,,D,Wayne,364
Will Oatis,U.S. Senate,,D,Wayne,260
Roger Weiner,U.S. Senate,,D,Wayne,136
Brad Morris,US House,1,D,Wayne,
Heather McTeer,US House,2,D,Wayne,
Bennie G. Thompson,US House,2,D,Wayne,
Crystal Biggs,US House,3,D,Wayne,
Michael Herrington,US House,4,D,Wayne,653
Jason Vitosky,US House,4,D,Wayne,96
Barack Obama,US President,,D,Webster,264
"Albert N. Gore, Jr. ",U.S. Senate,,D,Webster,180
Will Oatis,U.S. Senate,,D,Webster,27
Roger Weiner,U.S. Senate,,D,Webster,43
Brad Morris,US House,1,D,Webster,228
Heather McTeer,US House,2,D,Webster,
Bennie G. Thompson,US House,2,D,Webster,
Crystal Biggs,US House,3,D,Webster,
Michael Herrington,US House,4,D,Webster,
Jason Vitosky,US House,4,D,Webster,
Barack Obama,US President,,D,Wilkinson,327
"Albert N. Gore, Jr. ",U.S. Senate,,D,Wilkinson,208
Will Oatis,U.S. Senate,,D,Wilkinson,33
Roger Weiner,U.S. Senate,,D,Wilkinson,46
Brad Morris,US House,1,D,Wilkinson,
Heather McTeer,US House,2,D,Wilkinson,
Bennie G. Thompson,US House,2,D,Wilkinson,
Crystal Biggs,US House,3,D,Wilkinson,264
Michael Herrington,US House,4,D,Wilkinson,
Jason Vitosky,US House,4,D,Wilkinson,
Barack Obama,US President,,D,Winston,935
"Albert N. Gore, Jr. ",U.S. Senate,,D,Winston,632
Will Oatis,U.S. Senate,,D,Winston,97
Roger Weiner,U.S. Senate,,D,Winston,150
Brad Morris,US House,1,D,Winston,793
Heather McTeer,US House,2,D,Winston,
Bennie G. Thompson,US House,2,D,Winston,
Crystal Biggs,US House,3,D,Winston,
Michael Herrington,US House,4,D,Winston,
Jason Vitosky,US House,4,D,Winston,
Barack Obama,US President,,D,Yalobusha,1082
"Albert N. Gore, Jr. ",U.S. Senate,,D,Yalobusha,543
Will Oatis,U.S. Senate,,D,Yalobusha,251
Roger Weiner,U.S. Senate,,D,Yalobusha,280
Brad Morris,US House,1,D,Yalobusha,
Heather McTeer,US House,2,D,Yalobusha,180
Bennie G. Thompson,US House,2,D,Yalobusha,938
Crystal Biggs,US House,3,D,Yalobusha,
Michael Herrington,US House,4,D,Yalobusha,
Jason Vitosky,US House,4,D,Yalobusha,
Barack Obama,US President,,D,Yazoo,2032
"Albert N. Gore, Jr. ",U.S. Senate,,D,Yazoo,897
Will Oatis,U.S. Senate,,D,Yazoo,266
Roger Weiner,U.S. Senate,,D,Yazoo,331
Brad Morris,US House,1,D,Yazoo,
Heather McTeer,US House,2,D,Yazoo,149
Bennie G. Thompson,US House,2,D,Yazoo,1993
Crystal Biggs,US House,3,D,Yazoo,
Michael Herrington,US House,4,D,Yazoo,
Jason Vitosky,US House,4,D,Yazoo,
Barack Obama,US President,,D,2012 Primary Totals,97304
"Albert N. Gore, Jr. ",U.S. Senate,,D,2012 Primary Totals,49157
Will Oatis,U.S. Senate,,D,2012 Primary Totals,16300
Roger Weiner,U.S. Senate,,D,2012 Primary Totals,21131
Brad Morris,US House,1,D,2012 Primary Totals,11120
Heather McTeer,US House,2,D,2012 Primary Totals,7040
Bennie G. Thompson,US House,2,D,2012 Primary Totals,49083
Crystal Biggs,US House,3,D,2012 Primary Totals,15291
Michael Herrington,US House,4,D,2012 Primary Totals,8988
Jason Vitosky,US House,4,D,2012 Primary Totals,1743
Michelle Bachmann,President,,R,Adams,5
Newt Gingrich,President,,R,Adams,759
Jon Huntsman,President,,R,Adams,1
Gary Johnson,President,,R,Adams,2
Ron Paul,President,,R,Adams,80
Rick Perry,President,,R,Adams,3
Mitt Romney,President,,R,Adams,768
Rick Santorum,President,,R,Adams,614
E. Allen Hathcock,U.S. Senate,,R,Adams,65
Robert Maloney,U.S. Senate,,R,Adams,102
Roger F. Wicker,U.S. Senate,,R,Adams,1969
Robert Estes,US House,1,R,Adams,
Allen Nunnelee,US House,1,R,Adams,
Henry Ross,US House,1,R,Adams,
Bill Marcy,US House,2,R,Adams,
Robert Allen,US House,3,R,Adams,130
Gregg Harper,US House,3,R,Adams,1996
Cindy Burleson,US House,4,R,Adams,
Steven Palazzo,US House,4,R,Adams,
Ron Vincent,US House,4,R,Adams,
Michelle Bachmann,President,,R,Alcorn,13
Newt Gingrich,President,,R,Alcorn,1024
Jon Huntsman,President,,R,Alcorn,2
Gary Johnson,President,,R,Alcorn,6
Ron Paul,President,,R,Alcorn,136
Rick Perry,President,,R,Alcorn,14
Mitt Romney,President,,R,Alcorn,921
Rick Santorum,President,,R,Alcorn,1127
E. Allen Hathcock,U.S. Senate,,R,Alcorn,182
Robert Maloney,U.S. Senate,,R,Alcorn,198
Roger F. Wicker,U.S. Senate,,R,Alcorn,2709
Robert Estes,US House,1,R,Alcorn,219
Allen Nunnelee,US House,1,R,Alcorn,1540
Henry Ross,US House,1,R,Alcorn,1405
Bill Marcy,US House,2,R,Alcorn,
Robert Allen,US House,3,R,Alcorn,
Gregg Harper,US House,3,R,Alcorn,
Cindy Burleson,US House,4,R,Alcorn,
Steven Palazzo,US House,4,R,Alcorn,
Ron Vincent,US House,4,R,Alcorn,
Michelle Bachmann,President,,R,Amite,5
Newt Gingrich,President,,R,Amite,476
Jon Huntsman,President,,R,Amite,3
Gary Johnson,President,,R,Amite,5
Ron Paul,President,,R,Amite,37
Rick Perry,President,,R,Amite,12
Mitt Romney,President,,R,Amite,602
Rick Santorum,President,,R,Amite,583
E. Allen Hathcock,U.S. Senate,,R,Amite,57
Robert Maloney,U.S. Senate,,R,Amite,130
Roger F. Wicker,U.S. Senate,,R,Amite,1474
Robert Estes,US House,1,R,Amite,
Allen Nunnelee,US House,1,R,Amite,
Henry Ross,US House,1,R,Amite,
Bill Marcy,US House,2,R,Amite,
Robert Allen,US House,3,R,Amite,134
Gregg Harper,US House,3,R,Amite,1522
Cindy Burleson,US House,4,R,Amite,
Steven Palazzo,US House,4,R,Amite,
Ron Vincent,US House,4,R,Amite,
Michelle Bachmann,President,,R,Attala,6
Newt Gingrich,President,,R,Attala,613
Jon Huntsman,President,,R,Attala,1
Gary Johnson,President,,R,Attala,4
Ron Paul,President,,R,Attala,90
Rick Perry,President,,R,Attala,14
Mitt Romney,President,,R,Attala,547
Rick Santorum,President,,R,Attala,710
E. Allen Hathcock,U.S. Senate,,R,Attala,80
Robert Maloney,U.S. Senate,,R,Attala,78
Roger F. Wicker,U.S. Senate,,R,Attala,1785
Robert Estes,US House,1,R,Attala,
Allen Nunnelee,US House,1,R,Attala,
Henry Ross,US House,1,R,Attala,
Bill Marcy,US House,2,R,Attala,1587
Robert Allen,US House,3,R,Attala,
Gregg Harper,US House,3,R,Attala,
Cindy Burleson,US House,4,R,Attala,
Steven Palazzo,US House,4,R,Attala,
Ron Vincent,US House,4,R,Attala,
Michelle Bachmann,President,,R,Benton,5
Newt Gingrich,President,,R,Benton,222
Jon Huntsman,President,,R,Benton,1
Gary Johnson,President,,R,Benton,5
Ron Paul,President,,R,Benton,31
Rick Perry,President,,R,Benton,3
Mitt Romney,President,,R,Benton,153
Rick Santorum,President,,R,Benton,285
E. Allen Hathcock,U.S. Senate,,R,Benton,33
Robert Maloney,U.S. Senate,,R,Benton,39
Roger F. Wicker,U.S. Senate,,R,Benton,613
Robert Estes,US House,1,R,Benton,147
Allen Nunnelee,US House,1,R,Benton,364
Henry Ross,US House,1,R,Benton,174
Bill Marcy,US House,2,R,Benton,
Robert Allen,US House,3,R,Benton,
Gregg Harper,US House,3,R,Benton,
Cindy Burleson,US House,4,R,Benton,
Steven Palazzo,US House,4,R,Benton,
Ron Vincent,US House,4,R,Benton,
Michelle Bachmann,President,,R,Bolivar,3
Newt Gingrich,President,,R,Bolivar,494
Jon Huntsman,President,,R,Bolivar,3
Gary Johnson,President,,R,Bolivar,0
Ron Paul,President,,R,Bolivar,59
Rick Perry,President,,R,Bolivar,8
Mitt Romney,President,,R,Bolivar,652
Rick Santorum,President,,R,Bolivar,385
E. Allen Hathcock,U.S. Senate,,R,Bolivar,57
Robert Maloney,U.S. Senate,,R,Bolivar,74
Roger F. Wicker,U.S. Senate,,R,Bolivar,1401
Robert Estes,US House,1,R,Bolivar,
Allen Nunnelee,US House,1,R,Bolivar,
Henry Ross,US House,1,R,Bolivar,
Bill Marcy,US House,2,R,Bolivar,1260
Robert Allen,US House,3,R,Bolivar,
Gregg Harper,US House,3,R,Bolivar,
Cindy Burleson,US House,4,R,Bolivar,
Steven Palazzo,US House,4,R,Bolivar,
Ron Vincent,US House,4,R,Bolivar,
Michelle Bachmann,President,,R,Calhoun,9
Newt Gingrich,President,,R,Calhoun,571
Jon Huntsman,President,,R,Calhoun,10
Gary Johnson,President,,R,Calhoun,2
Ron Paul,President,,R,Calhoun,64
Rick Perry,President,,R,Calhoun,13
Mitt Romney,President,,R,Calhoun,367
Rick Santorum,President,,R,Calhoun,589
E. Allen Hathcock,U.S. Senate,,R,Calhoun,65
Robert Maloney,U.S. Senate,,R,Calhoun,77
Roger F. Wicker,U.S. Senate,,R,Calhoun,1465
Robert Estes,US House,1,R,Calhoun,128
Allen Nunnelee,US House,1,R,Calhoun,900
Henry Ross,US House,1,R,Calhoun,570
Bill Marcy,US House,2,R,Calhoun,
Robert Allen,US House,3,R,Calhoun,
Gregg Harper,US House,3,R,Calhoun,
Cindy Burleson,US House,4,R,Calhoun,
Steven Palazzo,US House,4,R,Calhoun,
Ron Vincent,US House,4,R,Calhoun,
Michelle Bachmann,President,,R,Carroll,8
Newt Gingrich,President,,R,Carroll,489
Jon Huntsman,President,,R,Carroll,2
Gary Johnson,President,,R,Carroll,3
Ron Paul,President,,R,Carroll,47
Rick Perry,President,,R,Carroll,6
Mitt Romney,President,,R,Carroll,469
Rick Santorum,President,,R,Carroll,391
E. Allen Hathcock,U.S. Senate,,R,Carroll,58
Robert Maloney,U.S. Senate,,R,Carroll,66
Roger F. Wicker,U.S. Senate,,R,Carroll,1262
Robert Estes,US House,1,R,Carroll,
Allen Nunnelee,US House,1,R,Carroll,
Henry Ross,US House,1,R,Carroll,
Bill Marcy,US House,2,R,Carroll,1179
Robert Allen,US House,3,R,Carroll,
Gregg Harper,US House,3,R,Carroll,
Cindy Burleson,US House,4,R,Carroll,
Steven Palazzo,US House,4,R,Carroll,
Ron Vincent,US House,4,R,Carroll,
Michelle Bachmann,President,,R,Chickasaw,4
Newt Gingrich,President,,R,Chickasaw,529
Jon Huntsman,President,,R,Chickasaw,2
Gary Johnson,President,,R,Chickasaw,1
Ron Paul,President,,R,Chickasaw,40
Rick Perry,President,,R,Chickasaw,10
Mitt Romney,President,,R,Chickasaw,359
Rick Santorum,President,,R,Chickasaw,617
E. Allen Hathcock,U.S. Senate,,R,Chickasaw,78
Robert Maloney,U.S. Senate,,R,Chickasaw,62
Roger F. Wicker,U.S. Senate,,R,Chickasaw,1392
Robert Estes,US House,1,R,Chickasaw,100
Allen Nunnelee,US House,1,R,Chickasaw,894
Henry Ross,US House,1,R,Chickasaw,538
Bill Marcy,US House,2,R,Chickasaw,
Robert Allen,US House,3,R,Chickasaw,
Gregg Harper,US House,3,R,Chickasaw,
Cindy Burleson,US House,4,R,Chickasaw,
Steven Palazzo,US House,4,R,Chickasaw,
Ron Vincent,US House,4,R,Chickasaw,
Michelle Bachmann,President,,R,Choctaw,8
Newt Gingrich,President,,R,Choctaw,394
Jon Huntsman,President,,R,Choctaw,6
Gary Johnson,President,,R,Choctaw,1
Ron Paul,President,,R,Choctaw,38
Rick Perry,President,,R,Choctaw,13
Mitt Romney,President,,R,Choctaw,323
Rick Santorum,President,,R,Choctaw,466
E. Allen Hathcock,U.S. Senate,,R,Choctaw,51
Robert Maloney,U.S. Senate,,R,Choctaw,63
Roger F. Wicker,U.S. Senate,,R,Choctaw,1102
Robert Estes,US House,1,R,Choctaw,82
Allen Nunnelee,US House,1,R,Choctaw,746
Henry Ross,US House,1,R,Choctaw,397
Bill Marcy,US House,2,R,Choctaw,
Robert Allen,US House,3,R,Choctaw,
Gregg Harper,US House,3,R,Choctaw,
Cindy Burleson,US House,4,R,Choctaw,
Steven Palazzo,US House,4,R,Choctaw,
Ron Vincent,US House,4,R,Choctaw,
Michelle Bachmann,President,,R,Claiborne,0
Newt Gingrich,President,,R,Claiborne,61
Jon Huntsman,President,,R,Claiborne,0
Gary Johnson,President,,R,Claiborne,0
Ron Paul,President,,R,Claiborne,9
Rick Perry,President,,R,Claiborne,0
Mitt Romney,President,,R,Claiborne,70
Rick Santorum,President,,R,Claiborne,46
E. Allen Hathcock,U.S. Senate,,R,Claiborne,6
Robert Maloney,U.S. Senate,,R,Claiborne,8
Roger F. Wicker,U.S. Senate,,R,Claiborne,169
Robert Estes,US House,1,R,Claiborne,
Allen Nunnelee,US House,1,R,Claiborne,
Henry Ross,US House,1,R,Claiborne,
Bill Marcy,US House,2,R,Claiborne,143
Robert Allen,US House,3,R,Claiborne,
Gregg Harper,US House,3,R,Claiborne,
Cindy Burleson,US House,4,R,Claiborne,
Steven Palazzo,US House,4,R,Claiborne,
Ron Vincent,US House,4,R,Claiborne,
Michelle Bachmann,President,,R,Clarke,8
Newt Gingrich,President,,R,Clarke,784
Jon Huntsman,President,,R,Clarke,4
Gary Johnson,President,,R,Clarke,4
Ron Paul,President,,R,Clarke,71
Rick Perry,President,,R,Clarke,14
Mitt Romney,President,,R,Clarke,472
Rick Santorum,President,,R,Clarke,852
E. Allen Hathcock,U.S. Senate,,R,Clarke,62
Robert Maloney,U.S. Senate,,R,Clarke,108
Roger F. Wicker,U.S. Senate,,R,Clarke,2000
Robert Estes,US House,1,R,Clarke,
Allen Nunnelee,US House,1,R,Clarke,
Henry Ross,US House,1,R,Clarke,
Bill Marcy,US House,2,R,Clarke,
Robert Allen,US House,3,R,Clarke,119
Gregg Harper,US House,3,R,Clarke,1816
Cindy Burleson,US House,4,R,Clarke,11
Steven Palazzo,US House,4,R,Clarke,179
Ron Vincent,US House,4,R,Clarke,22
Michelle Bachmann,President,,R,Clay,8
Newt Gingrich,President,,R,Clay,582
Jon Huntsman,President,,R,Clay,2
Gary Johnson,President,,R,Clay,2
Ron Paul,President,,R,Clay,75
Rick Perry,President,,R,Clay,5
Mitt Romney,President,,R,Clay,534
Rick Santorum,President,,R,Clay,540
E. Allen Hathcock,U.S. Senate,,R,Clay,57
Robert Maloney,U.S. Senate,,R,Clay,48
Roger F. Wicker,U.S. Senate,,R,Clay,1611
Robert Estes,US House,1,R,Clay,109
Allen Nunnelee,US House,1,R,Clay,1154
Henry Ross,US House,1,R,Clay,463
Bill Marcy,US House,2,R,Clay,
Robert Allen,US House,3,R,Clay,
Gregg Harper,US House,3,R,Clay,
Cindy Burleson,US House,4,R,Clay,
Steven Palazzo,US House,4,R,Clay,
Ron Vincent,US House,4,R,Clay,
Michelle Bachmann,President,,R,Coahoma,5
Newt Gingrich,President,,R,Coahoma,173
Jon Huntsman,President,,R,Coahoma,2
Gary Johnson,President,,R,Coahoma,1
Ron Paul,President,,R,Coahoma,14
Rick Perry,President,,R,Coahoma,1
Mitt Romney,President,,R,Coahoma,179
Rick Santorum,President,,R,Coahoma,144
E. Allen Hathcock,U.S. Senate,,R,Coahoma,43
Robert Maloney,U.S. Senate,,R,Coahoma,36
Roger F. Wicker,U.S. Senate,,R,Coahoma,414
Robert Estes,US House,1,R,Coahoma,
Allen Nunnelee,US House,1,R,Coahoma,
Henry Ross,US House,1,R,Coahoma,
Bill Marcy,US House,2,R,Coahoma,398
Robert Allen,US House,3,R,Coahoma,
Gregg Harper,US House,3,R,Coahoma,
Cindy Burleson,US House,4,R,Coahoma,
Steven Palazzo,US House,4,R,Coahoma,
Ron Vincent,US House,4,R,Coahoma,
Michelle Bachmann,President,,R,Copiah,6
Newt Gingrich,President,,R,Copiah,809
Jon Huntsman,President,,R,Copiah,3
Gary Johnson,President,,R,Copiah,2
Ron Paul,President,,R,Copiah,79
Rick Perry,President,,R,Copiah,17
Mitt Romney,President,,R,Copiah,836
Rick Santorum,President,,R,Copiah,802
E. Allen Hathcock,U.S. Senate,,R,Copiah,65
Robert Maloney,U.S. Senate,,R,Copiah,141
Roger F. Wicker,U.S. Senate,,R,Copiah,2290
Robert Estes,US House,1,R,Copiah,
Allen Nunnelee,US House,1,R,Copiah,
Henry Ross,US House,1,R,Copiah,
Bill Marcy,US House,2,R,Copiah,2139
Robert Allen,US House,3,R,Copiah,
Gregg Harper,US House,3,R,Copiah,
Cindy Burleson,US House,4,R,Copiah,
Steven Palazzo,US House,4,R,Copiah,
Ron Vincent,US House,4,R,Copiah,
Michelle Bachmann,President,,R,Covington,6
Newt Gingrich,President,,R,Covington,781
Jon Huntsman,President,,R,Covington,7
Gary Johnson,President,,R,Covington,0
Ron Paul,President,,R,Covington,103
Rick Perry,President,,R,Covington,9
Mitt Romney,President,,R,Covington,529
Rick Santorum,President,,R,Covington,601
E. Allen Hathcock,U.S. Senate,,R,Covington,76
Robert Maloney,U.S. Senate,,R,Covington,136
Roger F. Wicker,U.S. Senate,,R,Covington,1770
Robert Estes,US House,1,R,Covington,
Allen Nunnelee,US House,1,R,Covington,
Henry Ross,US House,1,R,Covington,
Bill Marcy,US House,2,R,Covington,
Robert Allen,US House,3,R,Covington,263
Gregg Harper,US House,3,R,Covington,1674
Cindy Burleson,US House,4,R,Covington,
Steven Palazzo,US House,4,R,Covington,
Ron Vincent,US House,4,R,Covington,
Michelle Bachmann,President,,R,DeSoto,41
Newt Gingrich,President,,R,DeSoto,4634
Jon Huntsman,President,,R,DeSoto,11
Gary Johnson,President,,R,DeSoto,16
Ron Paul,President,,R,DeSoto,986
Rick Perry,President,,R,DeSoto,62
Mitt Romney,President,,R,DeSoto,4836
Rick Santorum,President,,R,DeSoto,6207
E. Allen Hathcock,U.S. Senate,,R,DeSoto,1028
Robert Maloney,U.S. Senate,,R,DeSoto,1428
Roger F. Wicker,U.S. Senate,,R,DeSoto,13661
Robert Estes,US House,1,R,DeSoto,3899
Allen Nunnelee,US House,1,R,DeSoto,8377
Henry Ross,US House,1,R,DeSoto,4161
Bill Marcy,US House,2,R,DeSoto,
Robert Allen,US House,3,R,DeSoto,
Gregg Harper,US House,3,R,DeSoto,
Cindy Burleson,US House,4,R,DeSoto,
Steven Palazzo,US House,4,R,DeSoto,
Ron Vincent,US House,4,R,DeSoto,
Michelle Bachmann,President,,R,Forrest,15
Newt Gingrich,President,,R,Forrest,2616
Jon Huntsman,President,,R,Forrest,15
Gary Johnson,President,,R,Forrest,11
Ron Paul,President,,R,Forrest,440
Rick Perry,President,,R,Forrest,25
