candidate,office,district,party,county,precinct,votes,
Lajena Williams,U.S. House,2,Reform,Madison,Canton Precinct 3,2,
Barack Obama,President,,Democrat,Madison,Camden,741,
Mitt Romney,President,,Republican,Madison,Camden,74,
Virgil Goode,President,,Constitution,Madison,Camden,2,
Gary Johnson,President,,Libertarian,Madison,Camden,1,
Jill Stein,President,,Green,Madison,Camden,0,
Barbara Dale Washer,President,,Reform,Madison,Camden,1,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Madison,Camden,634,
Roger F. Wicker,U.S. Senate,,Republican,Madison,Camden,90,
Thomas Cramer,U.S. Senate,,Constitution,Madison,Camden,4,
Shawn O'Hara,U.S. Senate,,Reform,Madison,Camden,11,
Bill Marcy,U.S. House,2,Republican,Madison,Camden,74,
Bennie G. Thompson,U.S. House,2,Democrat,Madison,Camden,698,
Cobby Mondale Williams,U.S. House,2,Independent,Madison,Camden,13,
Lajena Williams,U.S. House,2,Reform,Madison,Camden,6,
Barack Obama,President,,Democrat,Madison,Cameron,83,
Mitt Romney,President,,Republican,Madison,Cameron,84,
Virgil Goode,President,,Constitution,Madison,Cameron,2,
Gary Johnson,President,,Libertarian,Madison,Cameron,1,
Jill Stein,President,,Green,Madison,Cameron,0,
Barbara Dale Washer,President,,Reform,Madison,Cameron,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Madison,Cameron,63,
Roger F. Wicker,U.S. Senate,,Republican,Madison,Cameron,84,
Thomas Cramer,U.S. Senate,,Constitution,Madison,Cameron,2,
Shawn O'Hara,U.S. Senate,,Reform,Madison,Cameron,0,
Bill Marcy,U.S. House,2,Republican,Madison,Cameron,78,
Bennie G. Thompson,U.S. House,2,Democrat,Madison,Cameron,81,
Cobby Mondale Williams,U.S. House,2,Independent,Madison,Cameron,4,
Lajena Williams,U.S. House,2,Reform,Madison,Cameron,0,
Barack Obama,President,,Democrat,Madison,Couparle,34,
Mitt Romney,President,,Republican,Madison,Couparle,13,
Virgil Goode,President,,Constitution,Madison,Couparle,0,
Gary Johnson,President,,Libertarian,Madison,Couparle,0,
Jill Stein,President,,Green,Madison,Couparle,0,
Barbara Dale Washer,President,,Reform,Madison,Couparle,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Madison,Couparle,33,
Roger F. Wicker,U.S. Senate,,Republican,Madison,Couparle,14,
Thomas Cramer,U.S. Senate,,Constitution,Madison,Couparle,1,
Shawn O'Hara,U.S. Senate,,Reform,Madison,Couparle,0,
Bill Marcy,U.S. House,2,Republican,Madison,Couparle,8,
Bennie G. Thompson,U.S. House,2,Democrat,Madison,Couparle,40,
Cobby Mondale Williams,U.S. House,2,Independent,Madison,Couparle,0,
Lajena Williams,U.S. House,2,Reform,Madison,Couparle,0,
Barack Obama,President,,Democrat,Madison,Sharon,556,
Mitt Romney,President,,Republican,Madison,Sharon,63,
Virgil Goode,President,,Constitution,Madison,Sharon,1,
Gary Johnson,President,,Libertarian,Madison,Sharon,0,
Jill Stein,President,,Green,Madison,Sharon,0,
Barbara Dale Washer,President,,Reform,Madison,Sharon,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Madison,Sharon,463,
Roger F. Wicker,U.S. Senate,,Republican,Madison,Sharon,86,
Thomas Cramer,U.S. Senate,,Constitution,Madison,Sharon,7,
Shawn O'Hara,U.S. Senate,,Reform,Madison,Sharon,4,
Bill Marcy,U.S. House,2,Republican,Madison,Sharon,64,
Bennie G. Thompson,U.S. House,2,Democrat,Madison,Sharon,521,
Cobby Mondale Williams,U.S. House,2,Independent,Madison,Sharon,15,
Lajena Williams,U.S. House,2,Reform,Madison,Sharon,2,
Barack Obama,President,,Democrat,Madison,Canton Precinct 1,933,
Mitt Romney,President,,Republican,Madison,Canton Precinct 1,305,
Virgil Goode,President,,Constitution,Madison,Canton Precinct 1,5,
Gary Johnson,President,,Libertarian,Madison,Canton Precinct 1,3,
Jill Stein,President,,Green,Madison,Canton Precinct 1,1,
Barbara Dale Washer,President,,Reform,Madison,Canton Precinct 1,2,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Madison,Canton Precinct 1,793,
Roger F. Wicker,U.S. Senate,,Republican,Madison,Canton Precinct 1,327,
Thomas Cramer,U.S. Senate,,Constitution,Madison,Canton Precinct 1,16,
Shawn O'Hara,U.S. Senate,,Reform,Madison,Canton Precinct 1,15,
Bill Marcy,U.S. House,2,Republican,Madison,Canton Precinct 1,278,
Bennie G. Thompson,U.S. House,2,Democrat,Madison,Canton Precinct 1,869,
Cobby Mondale Williams,U.S. House,2,Independent,Madison,Canton Precinct 1,61,
Lajena Williams,U.S. House,2,Reform,Madison,Canton Precinct 1,4,
Barack Obama,President,,Democrat,Madison,Canton Precinct 4,1356,
Mitt Romney,President,,Republican,Madison,Canton Precinct 4,133,
Virgil Goode,President,,Constitution,Madison,Canton Precinct 4,0,
Gary Johnson,President,,Libertarian,Madison,Canton Precinct 4,4,
Jill Stein,President,,Green,Madison,Canton Precinct 4,1,
Barbara Dale Washer,President,,Reform,Madison,Canton Precinct 4,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Madison,Canton Precinct 4,1128,
Roger F. Wicker,U.S. Senate,,Republican,Madison,Canton Precinct 4,181,
Thomas Cramer,U.S. Senate,,Constitution,Madison,Canton Precinct 4,15,
Shawn O'Hara,U.S. Senate,,Reform,Madison,Canton Precinct 4,11,
Bill Marcy,U.S. House,2,Republican,Madison,Canton Precinct 4,120,
Bennie G. Thompson,U.S. House,2,Democrat,Madison,Canton Precinct 4,1232,
Cobby Mondale Williams,U.S. House,2,Independent,Madison,Canton Precinct 4,58,
Lajena Williams,U.S. House,2,Reform,Madison,Canton Precinct 4,7,
Barack Obama,President,,Democrat,Madison,Farmhaven,658,
Mitt Romney,President,,Republican,Madison,Farmhaven,109,
Virgil Goode,President,,Constitution,Madison,Farmhaven,0,
Gary Johnson,President,,Libertarian,Madison,Farmhaven,1,
Jill Stein,President,,Green,Madison,Farmhaven,0,
Barbara Dale Washer,President,,Reform,Madison,Farmhaven,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Madison,Farmhaven,561,
Roger F. Wicker,U.S. Senate,,Republican,Madison,Farmhaven,123,
Thomas Cramer,U.S. Senate,,Constitution,Madison,Farmhaven,5,
Shawn O'Hara,U.S. Senate,,Reform,Madison,Farmhaven,9,
Bill Marcy,U.S. House,2,Republican,Madison,Farmhaven,101,
Bennie G. Thompson,U.S. House,2,Democrat,Madison,Farmhaven,623,
Cobby Mondale Williams,U.S. House,2,Independent,Madison,Farmhaven,22,
Lajena Williams,U.S. House,2,Reform,Madison,Farmhaven,2,
Barack Obama,President,,Democrat,Madison,Bible Church,470,
Mitt Romney,President,,Republican,Madison,Bible Church,3,
Virgil Goode,President,,Constitution,Madison,Bible Church,0,
Gary Johnson,President,,Libertarian,Madison,Bible Church,1,
Jill Stein,President,,Green,Madison,Bible Church,1,
Barbara Dale Washer,President,,Reform,Madison,Bible Church,1,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Madison,Bible Church,401,
Roger F. Wicker,U.S. Senate,,Republican,Madison,Bible Church,21,
Thomas Cramer,U.S. Senate,,Constitution,Madison,Bible Church,4,
Shawn O'Hara,U.S. Senate,,Reform,Madison,Bible Church,10,
Bill Marcy,U.S. House,2,Republican,Madison,Bible Church,6,
Bennie G. Thompson,U.S. House,2,Democrat,Madison,Bible Church,423,
Cobby Mondale Williams,U.S. House,2,Independent,Madison,Bible Church,27,
Lajena Williams,U.S. House,2,Reform,Madison,Bible Church,1,
Barack Obama,President,,Democrat,Madison,Cedar Grove Baptist,12,
Mitt Romney,President,,Republican,Madison,Cedar Grove Baptist,116,
Virgil Goode,President,,Constitution,Madison,Cedar Grove Baptist,0,
Gary Johnson,President,,Libertarian,Madison,Cedar Grove Baptist,0,
Jill Stein,President,,Green,Madison,Cedar Grove Baptist,1,
Barbara Dale Washer,President,,Reform,Madison,Cedar Grove Baptist,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Madison,Cedar Grove Baptist,12,
Roger F. Wicker,U.S. Senate,,Republican,Madison,Cedar Grove Baptist,115,
Thomas Cramer,U.S. Senate,,Constitution,Madison,Cedar Grove Baptist,2,
Shawn O'Hara,U.S. Senate,,Reform,Madison,Cedar Grove Baptist,0,
Bill Marcy,U.S. House,2,Republican,Madison,Cedar Grove Baptist,106,
Bennie G. Thompson,U.S. House,2,Democrat,Madison,Cedar Grove Baptist,20,
Cobby Mondale Williams,U.S. House,2,Independent,Madison,Cedar Grove Baptist,1,
Lajena Williams,U.S. House,2,Reform,Madison,Cedar Grove Baptist,0,
Barack Obama,President,,Democrat,Madison,Pleasant Gift Baptist,425,
Mitt Romney,President,,Republican,Madison,Pleasant Gift Baptist,285,
Virgil Goode,President,,Constitution,Madison,Pleasant Gift Baptist,1,
Gary Johnson,President,,Libertarian,Madison,Pleasant Gift Baptist,2,
Jill Stein,President,,Green,Madison,Pleasant Gift Baptist,1,
Barbara Dale Washer,President,,Reform,Madison,Pleasant Gift Baptist,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Madison,Pleasant Gift Baptist,363,
Roger F. Wicker,U.S. Senate,,Republican,Madison,Pleasant Gift Baptist,296,
Thomas Cramer,U.S. Senate,,Constitution,Madison,Pleasant Gift Baptist,12,
Shawn O'Hara,U.S. Senate,,Reform,Madison,Pleasant Gift Baptist,8,
Bill Marcy,U.S. House,2,Republican,Madison,Pleasant Gift Baptist,262,
Bennie G. Thompson,U.S. House,2,Democrat,Madison,Pleasant Gift Baptist,410,
Cobby Mondale Williams,U.S. House,2,Independent,Madison,Pleasant Gift Baptist,25,
Lajena Williams,U.S. House,2,Reform,Madison,Pleasant Gift Baptist,0,
Barack Obama,President,,Democrat,Madison,Canton Precinct 2,867,
Mitt Romney,President,,Republican,Madison,Canton Precinct 2,608,
Virgil Goode,President,,Constitution,Madison,Canton Precinct 2,2,
Gary Johnson,President,,Libertarian,Madison,Canton Precinct 2,5,
Jill Stein,President,,Green,Madison,Canton Precinct 2,2,
Barbara Dale Washer,President,,Reform,Madison,Canton Precinct 2,1,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Madison,Canton Precinct 2,749,
Roger F. Wicker,U.S. Senate,,Republican,Madison,Canton Precinct 2,638,
Thomas Cramer,U.S. Senate,,Constitution,Madison,Canton Precinct 2,15,
Shawn O'Hara,U.S. Senate,,Reform,Madison,Canton Precinct 2,11,
Bill Marcy,U.S. House,2,Republican,Madison,Canton Precinct 2,543,
Bennie G. Thompson,U.S. House,2,Democrat,Madison,Canton Precinct 2,816,
Cobby Mondale Williams,U.S. House,2,Independent,Madison,Canton Precinct 2,74,
Lajena Williams,U.S. House,2,Reform,Madison,Canton Precinct 2,4,
Barack Obama,President,,Democrat,Madison,Northbay,148,
Mitt Romney,President,,Republican,Madison,Northbay,649,
Virgil Goode,President,,Constitution,Madison,Northbay,0,
Gary Johnson,President,,Libertarian,Madison,Northbay,5,
Jill Stein,President,,Green,Madison,Northbay,0,
Barbara Dale Washer,President,,Reform,Madison,Northbay,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Madison,Northbay,119,
Roger F. Wicker,U.S. Senate,,Republican,Madison,Northbay,656,
Thomas Cramer,U.S. Senate,,Constitution,Madison,Northbay,12,
Shawn O'Hara,U.S. Senate,,Reform,Madison,Northbay,3,
Gregg Harper,U.S. House,3,Republican,Madison,Northbay,697,
"John ""Luke"" Pannell",U.S. House,3,Reform,Madison,Northbay,69,
Barack Obama,President,,Democrat,Madison,,20722,
Mitt Romney,President,,Republican,Madison,,28507,TRUE
Virgil Goode,President,,Constitution,Madison,,64,
Gary Johnson,President,,Libertarian,Madison,,219,
Jill Stein,President,,Green,Madison,,45,
Barbara Dale Washer,President,,Reform,Madison,,14,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Madison,,17937,
Roger F. Wicker,U.S. Senate,,Republican,Madison,,29188,TRUE
Thomas Cramer,U.S. Senate,,Constitution,Madison,,423,
Shawn O'Hara,U.S. Senate,,Reform,Madison,,350,
Bill Marcy,U.S. House,2,Republican,Madison,,2233,
Bennie G. Thompson,U.S. House,2,Democrat,Madison,,10148,TRUE
Cobby Mondale Williams,U.S. House,2,Independent,Madison,,452,
Lajena Williams,U.S. House,2,Reform,Madison,,38,
Gregg Harper,U.S. House,3,Republican,Madison,,29043,TRUE
"John ""Luke"" Pannell",U.S. House,3,Reform,Madison,,4332,
