page,candidate,office,district,party,county,precinct,votes,
4,Mike Espy,US Senate Special,,,Lincoln,West Lincoln,30,
4,Cindy Hyde-Smith,US Senate Special,,,Lincoln,West Lincoln,447,
4,Chris McDaniel,US Senate Special,,,Lincoln,West Lincoln,66,
4,Michael Ted Evans,US House,3,Democrat ,Lincoln,West Lincoln,34,
4,Micheal Guest,US House,3,Republican ,Lincoln,West Lincoln,494,
4,Matthew Holland,US House,3,Reform,Lincoln,West Lincoln,8,
4,David Baria,US Senate ,,Democrat ,Lincoln,Zetus,54,
4,Roger F. Wicker,US Senate ,,Republican ,Lincoln,Zetus,377,
4,Danny Bedwell,US Senate ,,Libertarian,Lincoln,Zetus,3,
4,Shawn O'Hara,US Senate ,,Reform,Lincoln,Zetus,1,
4,Tobey Bernard Bartee,US Senate Special,,,Lincoln,Zetus,4,
4,Mike Espy,US Senate Special,,,Lincoln,Zetus,53,
4,Cindy Hyde-Smith,US Senate Special,,,Lincoln,Zetus,356,
4,Chris McDaniel,US Senate Special,,,Lincoln,Zetus,34,
4,Michael Ted Evans,US House,3,Democrat ,Lincoln,Zetus,62,
4,Micheal Guest,US House,3,Republican ,Lincoln,Zetus,374,
4,Matthew Holland,US House,3,Reform,Lincoln,Zetus,3,
4,David Baria,US Senate ,,Democrat ,Lincoln,TOTAL ,3453,
4,Roger F. Wicker,US Senate ,,Republican ,Lincoln,TOTAL ,8576,
4,Danny Bedwell,US Senate ,,Libertarian,Lincoln,TOTAL ,138,
4,Shawn O'Hara,US Senate ,,Reform,Lincoln,TOTAL ,56,
4,Tobey Bernard Bartee,US Senate Special,,,Lincoln,TOTAL ,87,
4,Mike Espy,US Senate Special,,,Lincoln,TOTAL ,3604,
4,Cindy Hyde-Smith,US Senate Special,,,Lincoln,TOTAL ,7870,
4,Chris McDaniel,US Senate Special,,,Lincoln,TOTAL ,1068,
4,Michael Ted Evans,US House,3,Democrat ,Lincoln,TOTAL ,3664,
4,Micheal Guest,US House,3,Republican ,Lincoln,TOTAL ,8705,
4,Matthew Holland,US House,3,Reform,Lincoln,TOTAL ,115,
