page,candidate,office,district,party,county,precinct,votes
5,Andy Gipson,Commissioner of Agriculture & Commerce,,R,Scott,Beat 2/Lake,111
8,Mike Marlow,State Senate,31,D,Scott,Beat 2/Lake,88
8,Tyler McCaughn,State Senate,31,R,Scott,Beat 2/Lake,108
8,Vance Cox,State House,75,R,Scott,Beat 2/Lake,x
8,Tom Miles,State House,75,D,Scott,Beat 2/Lake,x
8,Joe C Bradford,State House,78,D,Scott,Beat 2/Lake,107
8,Randal 'Randy' Rushing,State House,78,R,Scott,Beat 2/Lake,92
2,Jim Hood,Governor,,D,Scott,Beat 2/South Forest ,392
2,Tate Reeves,Governor,,R,Scott,Beat 2/South Forest ,185
2,Bob Hickingbottom,Governor,,C,Scott,Beat 2/South Forest ,1
2,David R Singletary,Governor,,IND,Scott,Beat 2/South Forest ,2
2,Delbert Hosemann,Lieutenant Governor,,R,Scott,Beat 2/South Forest ,231
2,Jay Hughes,Lieutenant Governor,,D,Scott,Beat 2/South Forest ,342
2,Johnny DuPree,Secretary of State,,D,Scott,Beat 2/South Forest ,349
2,Michael Watson,Secretary of State,,R,Scott,Beat 2/South Forest ,219
2,Jennifer Riley Collins,Attorney General,,D,Scott,Beat 2/South Forest ,364
2,Lynn Fitch,Attorney General,,R,Scott,Beat 2/South Forest ,216
2,Shad White,State Auditor,,R,Scott,Beat 2/South Forest ,400
5,Addie Lee Green,State Treasurer,,D,Scott,Beat 2/South Forest ,335
5,David McRae,State Treasurer,,R,Scott,Beat 2/South Forest ,239
5,Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Scott,Beat 2/South Forest ,338
5,Andy Gipson,Commissioner of Agriculture & Commerce,,R,Scott,Beat 2/South Forest ,232
8,Mike Marlow,State Senate,31,D,Scott,Beat 2/South Forest ,344
8,Tyler McCaughn,State Senate,31,R,Scott,Beat 2/South Forest ,227
8,Vance Cox,State House,75,R,Scott,Beat 2/South Forest ,150
8,Tom Miles,State House,75,D,Scott,Beat 2/South Forest ,425
8,Joe C Bradford,State House,78,D,Scott,Beat 2/South Forest ,x
8,Randal 'Randy' Rushing,State House,78,R,Scott,Beat 2/South Forest ,x
2,Jim Hood,Governor,,D,Scott,Beat 2/Usry,47
2,Tate Reeves,Governor,,R,Scott,Beat 2/Usry,151
2,Bob Hickingbottom,Governor,,C,Scott,Beat 2/Usry,0
2,David R Singletary,Governor,,IND,Scott,Beat 2/Usry,3
2,Delbert Hosemann,Lieutenant Governor,,R,Scott,Beat 2/Usry,166
2,Jay Hughes,Lieutenant Governor,,D,Scott,Beat 2/Usry,37
2,Johnny DuPree,Secretary of State,,D,Scott,Beat 2/Usry,34
2,Michael Watson,Secretary of State,,R,Scott,Beat 2/Usry,169
2,Jennifer Riley Collins,Attorney General,,D,Scott,Beat 2/Usry,29
2,Lynn Fitch,Attorney General,,R,Scott,Beat 2/Usry,173
2,Shad White,State Auditor,,R,Scott,Beat 2/Usry,174
5,Addie Lee Green,State Treasurer,,D,Scott,Beat 2/Usry,24
5,David McRae,State Treasurer,,R,Scott,Beat 2/Usry,176
5,Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Scott,Beat 2/Usry,28
5,Andy Gipson,Commissioner of Agriculture & Commerce,,R,Scott,Beat 2/Usry,172
8,Mike Marlow,State Senate,31,D,Scott,Beat 2/Usry,33
8,Tyler McCaughn,State Senate,31,R,Scott,Beat 2/Usry,170
8,Vance Cox,State House,75,R,Scott,Beat 2/Usry,x
8,Tom Miles,State House,75,D,Scott,Beat 2/Usry,x
8,Joe C Bradford,State House,78,D,Scott,Beat 2/Usry,76
8,Randal 'Randy' Rushing,State House,78,R,Scott,Beat 2/Usry,126
2,Jim Hood,Governor,,D,Scott,Beat 3/Cooperville/Spring,103
2,Tate Reeves,Governor,,R,Scott,Beat 3/Cooperville/Spring,364
2,Bob Hickingbottom,Governor,,C,Scott,Beat 3/Cooperville/Spring,0
2,David R Singletary,Governor,,IND,Scott,Beat 3/Cooperville/Spring,3
2,Delbert Hosemann,Lieutenant Governor,,R,Scott,Beat 3/Cooperville/Spring,396
2,Jay Hughes,Lieutenant Governor,,D,Scott,Beat 3/Cooperville/Spring,72
2,Johnny DuPree,Secretary of State,,D,Scott,Beat 3/Cooperville/Spring,58
2,Michael Watson,Secretary of State,,R,Scott,Beat 3/Cooperville/Spring,405
2,Jennifer Riley Collins,Attorney General,,D,Scott,Beat 3/Cooperville/Spring,53
2,Lynn Fitch,Attorney General,,R,Scott,Beat 3/Cooperville/Spring,414
2,Shad White,State Auditor,,R,Scott,Beat 3/Cooperville/Spring,436
5,Addie Lee Green,State Treasurer,,D,Scott,Beat 3/Cooperville/Spring,45
5,David McRae,State Treasurer,,R,Scott,Beat 3/Cooperville/Spring,421
5,Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Scott,Beat 3/Cooperville/Spring,46
