county,office,district,candidate,party,precinct,votes
Smith,State Treasurer,,Ardle Lee Green,Democrat,North Raleigh,182
Smith,State Treasurer,,David McRae,Republican,North Raleigh,351
Smith,Commissioner of Agriculture & Commerce,,Rickey L Cole,Democrat,North Raleigh,185
Smith,Commissioner of Agriculture & Commerce,,Andy Gipson,Republican,North Raleigh,347
Smith,Commissioner of Insurance,,Robert E. Amos,Democrat,North Raleigh,188
Smith,Commissioner of Insurance,,Mike Chaney,Republican,North Raleigh,348
Smith,Public Service Commission,Southern,Dane Maxwell,Republican,North Raleigh,313
Smith,Public Service Commission,Southern,Connie Moran,Democrat,North Raleigh,214
Smith,Transportation Commissioner,Southern,Tom King,Republican,North Raleigh,435
Smith,District Attorney,13,Matt Sullivan,Democrat,North Raleigh,477
Smith,State Senate,41,Joey Fillingane,Republican,North Raleigh,432
Smith,State House,79,Mark K Tullos,Republican,North Raleigh,468
Smith,Chancery Clerk,,Cindy Austin,Democrat,North Raleigh,490
Smith,Circuit Clerk,,Earnest W Burton,Republican,North Raleigh,177
Smith,Circuit Clerk,,Anthony Grayson,Democrat,North Raleigh,381
Smith,Coroner,,Billy Allen,Democrat,North Raleigh,272
Smith,Coroner,,Sammy Houston,Republican,North Raleigh,281
Smith,Sheriff,,Joel Houston,Republic.an,North Raleigh,249
Smith,Sheriff,,Marty Peterson,Democrat,North Raleigh,311
Smith,Surveyor,,Landry Adcock,Republican,North Raleigh,437
Smith,Tax Assessor,,Mary Lou Powell,Democrat,North Raleigh,343
Smith,Tax Assessor,,Samuel (Sam) Yeager,Republican,North Raleigh,218
Smith,Supervisor,1,Jerry Fields,Republican,North Raleigh,
Smith,Supervisor,1,Sammy Hancock,Democrat,North Raleigh,
Smith,Supervisor,1,Mike Bavido,Independent,North Raleigh,
Smith,Supervisor,1,Joseph (Jody) Blakeney,Independent,North Raleigh,
Smith,Supervisor,1,Donny Lowery,Independent,North Raleigh,
Smith,Supervisor,2,Eddie McMullan,Republican,North Raleigh,
Smith,Supervisor,2,Dwight D Norris,Democrat,North Raleigh,
Smith,Supervisor,2,Mike Ford,Independent,North Raleigh,
Smith,Supervisor,3,Benjie Ford,Independent,North Raleigh,
Smith,Supervisor,4,Danny Avender,Democrat,North Raleigh,
Smith,Supervisor,4,Bob J Miles,Republican,North Raleigh,
Smith,Supervisor,5,Robert Hallman,Republican,North Raleigh,218
Smith,Supervisor,5,Howard Hammons,Democrat,North Raleigh,344
Smith,Justice Court Judge,1,David 'Red' Easterling,Democrat,North Raleigh,446
Smith,Justice Court Judge,1,Charles 'Chuck' Jones Jr,Republican,North Raleigh,115
Smith,Justice Court Judge,2,Larry Allen,Republican,North Raleigh,
Smith,Justice Court Judge,2,Hulon West,Democrat,North Raleigh,
Smith,Constable,1,Joe Robert Blakeney,Republican,North Raleigh,218
Smith,Constable,1,Carlie (Bobo) Bowen,Democrat,North Raleigh,334
Smith,Constable,2,Brad Boykin,Democrat,North Raleigh,
Smith,Constable,2,Bobby Easterling,Republican,North Raleigh,X:
Smith,Constable,2,William Logan Pruitt,Independent,North Raleigh,
Smith,Governor,,Jim Hood,Democrat,Polkville,63
Smith,Governor,,Tate Reeves,Repubilcan,Polkville,319
Smith,Governor,,Bob Hickingbottom,Constitution,Polkville,0
Smith,Governor,,David R. Singletary,Independent,Polkville,1
Smith,Lieutenant Governor,,Delbert Hoseman,Republican,Polkville,344
Smith,Lieutenant Governor,,Jay Hugues,Democrat,Polkville,31
Smith,Secretary of State,,Johny DuPree,Republican,Polkville,42
Smith,Secretary of State,,Michael Watson,Democrat,Polkville,330
Smith,Attorney General,,Jennifer Riley Collins,Democrat,Polkville,28
Smith,Attorney General,,Lynn Fitch,Republican,Polkville,350
Smith,State Auditor,,Shad White,Republican,Polkville,350
Smith,State Treasurer,,Ardle Lee Green,Democrat,Polkville,25
Smith,State Treasurer,,David McRae,Republican,Polkville,350
Smith,Commissioner of Agriculture & Commerce,,Rickey L Cole,Democrat,Polkville,22
Smith,Commissioner of Agriculture & Commerce,,Andy Gipson,Republican,Polkville,357
Smith,Commissioner of Insurance,,Robert E. Amos,Democrat,Polkville,23
Smith,Commissioner of Insurance,,Mike Chaney,Republican,Polkville,352
Smith,Public Service Commission,Southern,Dane Maxwell,Republican,Polkville,334
Smith,Public Service Commission,Southern,Connie Moran,Democrat,Polkville,38
Smith,Transportation Commissioner,Southern,Tom King,Republican,Polkville,353
Smith,District Attorney,13,Matt Sullivan,Democrat,Polkville,294
Smith,State Senate,41,Joey Fillingane,Republican,Polkville,360
Smith,State House,79,Mark K Tullos,Republican,Polkville,370
Smith,Chancery Clerk,,Cindy Austin,Democrat,Polkville,309
Smith,Circuit Clerk,,Earnest W Burton,Republican,Polkville,200
Smith,Circuit Clerk,,Anthony Grayson,Democrat,Polkville,181
Smith,Coroner,,Billy Allen,Democrat,Polkville,181
Smith,Coroner,,Sammy Houston,Republican,Polkville,199
Smith,Sheriff,,Joel Houston,Republic.an,Polkville,290
Smith,Sheriff,,Marty Peterson,Democrat,Polkville,91
Smith,Surveyor,,Landry Adcock,Republican,Polkville,359
Smith,Tax Assessor,,Mary Lou Powell,Democrat,Polkville,192
Smith,Tax Assessor,,Samuel (Sam) Yeager,Republican,Polkville,189
Smith,Supervisor,1,Jerry Fields,Republican,Polkville,
Smith,Supervisor,1,Sammy Hancock,Democrat,Polkville,
Smith,Supervisor,1,Mike Bavido,Independent,Polkville,
Smith,Supervisor,1,Joseph (Jody) Blakeney,Independent,Polkville,
Smith,Supervisor,1,Donny Lowery,Independent,Polkville,
Smith,Supervisor,2,Eddie McMullan,Republican,Polkville,
Smith,Supervisor,2,Dwight D Norris,Democrat,Polkville,
Smith,Supervisor,2,Mike Ford,Independent,Polkville,
Smith,Supervisor,3,Benjie Ford,Independent,Polkville,
Smith,Supervisor,4,Danny Avender,Democrat,Polkville,157
Smith,Supervisor,4,Bob J Miles,Republican,Polkville,226
Smith,Supervisor,5,Robert Hallman,Republican,Polkville,
Smith,Supervisor,5,Howard Hammons,Democrat,Polkville,
Smith,Justice Court Judge,1,David 'Red' Easterling,Democrat,Polkville,174
Smith,Justice Court Judge,1,Charles 'Chuck' Jones Jr,Republican,Polkville,208
Smith,Justice Court Judge,2,Larry Allen,Republican,Polkville,
Smith,Justice Court Judge,2,Hulon West,Democrat,Polkville,
Smith,Constable,1,Joe Robert Blakeney,Republican,Polkville,267
Smith,Constable,1,Carlie (Bobo) Bowen,Democrat,Polkville,108
Smith,Constable,2,Brad Boykin,Democrat,Polkville,
Smith,Constable,2,Bobby Easterling,Republican,Polkville,
Smith,Constable,2,William Logan Pruitt,Independent,Polkville,
Smith,Governor,,Jim Hood,Democrat,Shady Grove,66
Smith,Governor,,Tate Reeves,Repubilcan,Shady Grove,225
Smith,Governor,,Bob Hickingbottom,Constitution,Shady Grove,3
Smith,Governor,,David R. Singletary,Independent,Shady Grove,6
Smith,Lieutenant Governor,,Delbert Hoseman,Republican,Shady Grove,279
Smith,Lieutenant Governor,,Jay Hugues,Democrat,Shady Grove,20
Smith,Secretary of State,,Johny DuPree,Republican,Shady Grove,19
Smith,Secretary of State,,Michael Watson,Democrat,Shady Grove,279
Smith,Attorney General,,Jennifer Riley Collins,Democrat,Shady Grove,15
Smith,Attorney General,,Lynn Fitch,Republican,Shady Grove,284
Smith,State Auditor,,Shad White,Republican,Shady Grove,290
Smith,State Treasurer,,Ardle Lee Green,Democrat,Shady Grove,10
Smith,State Treasurer,,David McRae,Republican,Shady Grove,288
Smith,Commissioner of Agriculture & Commerce,,Rickey L Cole,Democrat,Shady Grove,8
Smith,Commissioner of Agriculture & Commerce,,Andy Gipson,Republican,Shady Grove,293
Smith,Commissioner of Insurance,,Robert E. Amos,Democrat,Shady Grove,9
Smith,Commissioner of Insurance,,Mike Chaney,Republican,Shady Grove,289
Smith,Public Service Commission,Southern,Dane Maxwell,Republican,Shady Grove,271
Smith,Public Service Commission,Southern,Connie Moran,Democrat,Shady Grove,26
Smith,Transportation Commissioner,Southern,Tom King,Republican,Shady Grove,28
Smith,District Attorney,13,Matt Sullivan,Democrat,Shady Grove,257
Smith,State Senate,41,Joey Fillingane,Republican,Shady Grove,295
Smith,State House,79,Mark K Tullos,Republican,Shady Grove,290
Smith,Chancery Clerk,,Cindy Austin,Democrat,Shady Grove,252
Smith,Circuit Clerk,,Earnest W Burton,Republican,Shady Grove,187
Smith,Circuit Clerk,,Anthony Grayson,Democrat,Shady Grove,111
Smith,Coroner,,Billy Allen,Democrat,Shady Grove,70
Smith,Coroner,,Sammy Houston,Republican,Shady Grove,228
Smith,Sheriff,,Joel Houston,Republic.an,Shady Grove,224
Smith,Sheriff,,Marty Peterson,Democrat,Shady Grove,76
Smith,Surveyor,,Landry Adcock,Republican,Shady Grove,290
Smith,Tax Assessor,,Mary Lou Powell,Democrat,Shady Grove,105
Smith,Tax Assessor,,Samuel (Sam) Yeager,Republican,Shady Grove,192
Smith,Supervisor,1,Jerry Fields,Republican,Shady Grove,
Smith,Supervisor,1,Sammy Hancock,Democrat,Shady Grove,
Smith,Supervisor,1,Mike Bavido,Independent,Shady Grove,
Smith,Supervisor,1,Joseph (Jody) Blakeney,Independent,Shady Grove,
Smith,Supervisor,1,Donny Lowery,Independent,Shady Grove,
Smith,Supervisor,2,Eddie McMullan,Republican,Shady Grove,
Smith,Supervisor,2,Dwight D Norris,Democrat,Shady Grove,
Smith,Supervisor,2,Mike Ford,Independent,Shady Grove,
Smith,Supervisor,3,Benjie Ford,Independent,Shady Grove,
Smith,Supervisor,4,Danny Avender,Democrat,Shady Grove,144
Smith,Supervisor,4,Bob J Miles,Republican,Shady Grove,157
Smith,Supervisor,5,Robert Hallman,Republican,Shady Grove,
Smith,Supervisor,5,Howard Hammons,Democrat,Shady Grove,
Smith,Justice Court Judge,1,David 'Red' Easterling,Democrat,Shady Grove,
Smith,Justice Court Judge,1,Charles 'Chuck' Jones Jr,Republican,Shady Grove,
Smith,Justice Court Judge,2,Larry Allen,Republican,Shady Grove,200
Smith,Justice Court Judge,2,Hulon West,Democrat,Shady Grove,100
Smith,Constable,1,Joe Robert Blakeney,Republican,Shady Grove,
Smith,Constable,1,Carlie (Bobo) Bowen,Democrat,Shady Grove,
Smith,Constable,2,Brad Boykin,Democrat,Shady Grove,20
Smith,Constable,2,Bobby Easterling,Republican,Shady Grove,230
Smith,Constable,2,William Logan Pruitt,Independent,Shady Grove,52
Smith,Governor,,Jim Hood,Democrat,Summerland,360
Smith,Governor,,Tate Reeves,Repubilcan,Summerland,151
Smith,Governor,,Bob Hickingbottom,Constitution,Summerland,0
Smith,Governor,,David R. Singletary,Independent,Summerland,2
Smith,Lieutenant Governor,,Delbert Hoseman,Republican,Summerland,197
Smith,Lieutenant Governor,,Jay Hugues,Democrat,Summerland,308
Smith,Secretary of State,,Johny DuPree,Republican,Summerland,337
Smith,Secretary of State,,Michael Watson,Democrat,Summerland,170
Smith,Attorney General,,Jennifer Riley Collins,Democrat,Summerland,334
Smith,Attorney General,,Lynn Fitch,Republican,Summerland,177
Smith,State Auditor,,Shad White,Republican,Summerland,349
Smith,State Treasurer,,Ardle Lee Green,Democrat,Summerland,322
Smith,State Treasurer,,David McRae,Republican,Summerland,185
Smith,Commissioner of Agriculture & Commerce,,Rickey L Cole,Democrat,Summerland,327
Smith,Commissioner of Agriculture & Commerce,,Andy Gipson,Republican,Summerland,182
Smith,Commissioner of Insurance,,Robert E. Amos,Democrat,Summerland,313
Smith,Commissioner of Insurance,,Mike Chaney,Republican,Summerland,194
Smith,Public Service Commission,Southern,Dane Maxwell,Republican,Summerland,169
Smith,Public Service Commission,Southern,Connie Moran,Democrat,Summerland,337
Smith,Transportation Commissioner,Southern,Tom King,Republican,Summerland,340
Smith,District Attorney,13,Matt Sullivan,Democrat,Summerland,478
Smith,State Senate,41,Joey Fillingane,Republican,Summerland,341
Smith,State House,79,Mark K Tullos,Republican,Summerland,348
Smith,Chancery Clerk,,Cindy Austin,Democrat,Summerland,466
Smith,Circuit Clerk,,Earnest W Burton,Republican,Summerland,124
Smith,Circuit Clerk,,Anthony Grayson,Democrat,Summerland,387
Smith,Coroner,,Billy Allen,Democrat,Summerland,360
Smith,Coroner,,Sammy Houston,Republican,Summerland,147
Smith,Sheriff,,Joel Houston,Republic.an,Summerland,143
Smith,Sheriff,,Marty Peterson,Democrat,Summerland,365
Smith,Surveyor,,Landry Adcock,Republican,Summerland,334
Smith,Tax Assessor,,Mary Lou Powell,Democrat,Summerland,399
Smith,Tax Assessor,,Samuel (Sam) Yeager,Republican,Summerland,114
Smith,Supervisor,1,Jerry Fields,Republican,Summerland,
Smith,Supervisor,1,Sammy Hancock,Democrat,Summerland,
Smith,Supervisor,1,Mike Bavido,Independent,Summerland,
Smith,Supervisor,1,Joseph (Jody) Blakeney,Independent,Summerland,
Smith,Supervisor,1,Donny Lowery,Independent,Summerland,
Smith,Supervisor,2,Eddie McMullan,Republican,Summerland,35
Smith,Supervisor,2,Dwight D Norris,Democrat,Summerland,321
Smith,Supervisor,2,Mike Ford,Independent,Summerland,160
Smith,Supervisor,3,Benjie Ford,Independent,Summerland,
Smith,Supervisor,4,Danny Avender,Democrat,Summerland,
Smith,Supervisor,4,Bob J Miles,Republican,Summerland,
Smith,Supervisor,5,Robert Hallman,Republican,Summerland,
Smith,Supervisor,5,Howard Hammons,Democrat,Summerland,
Smith,Justice Court Judge,1,David 'Red' Easterling,Democrat,Summerland,
Smith,Justice Court Judge,1,Charles 'Chuck' Jones Jr,Republican,Summerland,
Smith,Justice Court Judge,2,Larry Allen,Republican,Summerland,70
Smith,Justice Court Judge,2,Hulon West,Democrat,Summerland,441
Smith,Constable,1,Joe Robert Blakeney,Republican,Summerland,
Smith,Constable,1,Carlie (Bobo) Bowen,Democrat,Summerland,
Smith,Constable,2,Brad Boykin,Democrat,Summerland,350
Smith,Constable,2,Bobby Easterling,Republican,Summerland,117
Smith,Constable,2,William Logan Pruitt,Independent,Summerland,43
Smith,Governor,,Jim Hood,Democrat,Sylvarena,36
Smith,Governor,,Tate Reeves,Repubilcan,Sylvarena,151
Smith,Governor,,Bob Hickingbottom,Constitution,Sylvarena,1
Smith,Governor,,David R. Singletary,Independent,Sylvarena,2
Smith,Lieutenant Governor,,Delbert Hoseman,Republican,Sylvarena,165
Smith,Lieutenant Governor,,Jay Hugues,Democrat,Sylvarena,24
Smith,Secretary of State,,Johny DuPree,Republican,Sylvarena,22
Smith,Secretary of State,,Michael Watson,Democrat,Sylvarena,166
Smith,Attorney General,,Jennifer Riley Collins,Democrat,Sylvarena,20
Smith,Attorney General,,Lynn Fitch,Republican,Sylvarena,170
Smith,State Auditor,,Shad White,Republican,Sylvarena,181
Smith,State Treasurer,,Ardle Lee Green,Democrat,Sylvarena,13
Smith,State Treasurer,,David McRae,Republican,Sylvarena,176
Smith,Commissioner of Agriculture & Commerce,,Rickey L Cole,Democrat,Sylvarena,16
Smith,Commissioner of Agriculture & Commerce,,Andy Gipson,Republican,Sylvarena,172
Smith,Commissioner of Insurance,,Robert E. Amos,Democrat,Sylvarena,13
Smith,Commissioner of Insurance,,Mike Chaney,Republican,Sylvarena,177
Smith,Public Service Commission,Southern,Dane Maxwell,Republican,Sylvarena,161
Smith,Public Service Commission,Southern,Connie Moran,Democrat,Sylvarena,28
Smith,Transportation Commissioner,Southern,Tom King,Republican,Sylvarena,180
Smith,District Attorney,13,Matt Sullivan,Democrat,Sylvarena,157
Smith,State Senate,41,Joey Fillingane,Republican,Sylvarena,179
Smith,State House,79,Mark K Tullos,Republican,Sylvarena,179
Smith,Chancery Clerk,,Cindy Austin,Democrat,Sylvarena,162
Smith,Circuit Clerk,,Earnest W Burton,Republican,Sylvarena,112
Smith,Circuit Clerk,,Anthony Grayson,Democrat,Sylvarena,79
Smith,Coroner,,Billy Allen,Democrat,Sylvarena,18
Smith,Coroner,,Sammy Houston,Republican,Sylvarena,174
Smith,Sheriff,,Joel Houston,Republic.an,Sylvarena,163
Smith,Sheriff,,Marty Peterson,Democrat,Sylvarena,24
Smith,Surveyor,,Landry Adcock,Republican,Sylvarena,181
Smith,Tax Assessor,,Mary Lou Powell,Democrat,Sylvarena,66
Smith,Tax Assessor,,Samuel (Sam) Yeager,Republican,Sylvarena,125
Smith,Supervisor,1,Jerry Fields,Republican,Sylvarena,139
Smith,Supervisor,1,Sammy Hancock,Democrat,Sylvarena,8
Smith,Supervisor,1,Mike Bavido,Independent,Sylvarena,11
Smith,Supervisor,1,Joseph (Jody) Blakeney,Independent,Sylvarena,20
Smith,Supervisor,1,Donny Lowery,Independent,Sylvarena,14
Smith,Supervisor,2,Eddie McMullan,Republican,Sylvarena,
Smith,Supervisor,2,Dwight D Norris,Democrat,Sylvarena,
Smith,Supervisor,2,Mike Ford,Independent,Sylvarena,
Smith,Supervisor,3,Benjie Ford,Independent,Sylvarena,
Smith,Supervisor,4,Danny Avender,Democrat,Sylvarena,
Smith,Supervisor,4,Bob J Miles,Republican,Sylvarena,
Smith,Supervisor,5,Robert Hallman,Republican,Sylvarena,
Smith,Supervisor,5,Howard Hammons,Democrat,Sylvarena,
Smith,Justice Court Judge,1,David 'Red' Easterling,Democrat,Sylvarena,101
Smith,Justice Court Judge,1,Charles 'Chuck' Jones Jr,Republican,Sylvarena,89
Smith,Justice Court Judge,2,Larry Allen,Republican,Sylvarena,
Smith,Justice Court Judge,2,Hulon West,Democrat,Sylvarena,
Smith,Constable,1,Joe Robert Blakeney,Republican,Sylvarena,119
Smith,Constable,1,Carlie (Bobo) Bowen,Democrat,Sylvarena,72
Smith,Constable,2,Brad Boykin,Democrat,Sylvarena,
Smith,Constable,2,Bobby Easterling,Republican,Sylvarena,
Smith,Constable,2,William Logan Pruitt,Independent,Sylvarena,
Smith,Governor,,Jim Hood,Democrat,Taylorsville,156
Smith,Governor,,Tate Reeves,Repubilcan,Taylorsville,473
Smith,Governor,,Bob Hickingbottom,Constitution,Taylorsville,2
Smith,Governor,,David R. Singletary,Independent,Taylorsville,3
Smith,Lieutenant Governor,,Delbert Hoseman,Republican,Taylorsville,523
Smith,Lieutenant Governor,,Jay Hugues,Democrat,Taylorsville,110
Smith,Secretary of State,,Johny DuPree,Republican,Taylorsville,94
Smith,Secretary of State,,Michael Watson,Democrat,Taylorsville,536
Smith,Attorney General,,Jennifer Riley Collins,Democrat,Taylorsville,84
Smith,Attorney General,,Lynn Fitch,Republican,Taylorsville,549
Smith,State Auditor,,Shad White,Republican,Taylorsville,581
Smith,State Treasurer,,Ardle Lee Green,Democrat,Taylorsville,67
Smith,State Treasurer,,David McRae,Republican,Taylorsville,566
Smith,Commissioner of Agriculture & Commerce,,Rickey L Cole,Democrat,Taylorsville,79
Smith,Commissioner of Agriculture & Commerce,,Andy Gipson,Republican,Taylorsville,552
Smith,Commissioner of Insurance,,Robert E. Amos,Democrat,Taylorsville,59
Smith,Commissioner of Insurance,,Mike Chaney,Republican,Taylorsville,577
Smith,Public Service Commission,Southern,Dane Maxwell,Republican,Taylorsville,520
Smith,Public Service Commission,Southern,Connie Moran,Democrat,Taylorsville,108
Smith,Transportation Commissioner,Southern,Tom King,Republican,Taylorsville,590
Smith,District Attorney,13,Matt Sullivan,Democrat,Taylorsville,555
Smith,State Senate,41,Joey Fillingane,Republican,Taylorsville,597
Smith,State House,79,Mark K Tullos,Republican,Taylorsville,581
Smith,Chancery Clerk,,Cindy Austin,Democrat,Taylorsville,553
Smith,Circuit Clerk,,Earnest W Burton,Republican,Taylorsville,373
Smith,Circuit Clerk,,Anthony Grayson,Democrat,Taylorsville,261
Smith,Coroner,,Billy Allen,Democrat,Taylorsville,144
Smith,Coroner,,Sammy Houston,Republican,Taylorsville,489
Smith,Sheriff,,Joel Houston,Republic.an,Taylorsville,436
Smith,Sheriff,,Marty Peterson,Democrat,Taylorsville,204
Smith,Surveyor,,Landry Adcock,Republican,Taylorsville,578
Smith,Tax Assessor,,Mary Lou Powell,Democrat,Taylorsville,266
Smith,Tax Assessor,,Samuel (Sam) Yeager,Republican,Taylorsville,372
Smith,Supervisor,1,Jerry Fields,Republican,Taylorsville,
Smith,Supervisor,1,Sammy Hancock,Democrat,Taylorsville,
Smith,Supervisor,1,Mike Bavido,Independent,Taylorsville,
Smith,Supervisor,1,Joseph (Jody) Blakeney,Independent,Taylorsville,
Smith,Supervisor,1,Donny Lowery,Independent,Taylorsville,
Smith,Supervisor,2,Eddie McMullan,Republican,Taylorsville,
Smith,Supervisor,2,Dwight D Norris,Democrat,Taylorsville,
Smith,Supervisor,2,Mike Ford,Independent,Taylorsville,
Smith,Supervisor,3,Benjie Ford,Independent,Taylorsville,591
Smith,Supervisor,4,Danny Avender,Democrat,Taylorsville,
Smith,Supervisor,4,Bob J Miles,Republican,Taylorsville,
Smith,Supervisor,5,Robert Hallman,Republican,Taylorsville,
Smith,Supervisor,5,Howard Hammons,Democrat,Taylorsville,
Smith,Justice Court Judge,1,David 'Red' Easterling,Democrat,Taylorsville,
Smith,Justice Court Judge,1,Charles 'Chuck' Jones Jr,Republican,Taylorsville,
Smith,Justice Court Judge,2,Larry Allen,Republican,Taylorsville,212
Smith,Justice Court Judge,2,Hulon West,Democrat,Taylorsville,430
Smith,Constable,1,Joe Robert Blakeney,Republican,Taylorsville,
Smith,Constable,1,Carlie (Bobo) Bowen,Democrat,Taylorsville,
Smith,Constable,2,Brad Boykin,Democrat,Taylorsville,175
Smith,Constable,2,Bobby Easterling,Republican,Taylorsville,352
Smith,Constable,2,William Logan Pruitt,Independent,Taylorsville,116
Smith,Governor,,Jim Hood,Democrat,Union-New Home,136
Smith,Governor,,Tate Reeves,Repubilcan,Union-New Home,226
Smith,Governor,,Bob Hickingbottom,Constitution,Union-New Home,3
Smith,Governor,,David R. Singletary,Independent,Union-New Home,6
Smith,Lieutenant Governor,,Delbert Hoseman,Republican,Union-New Home,246
Smith,Lieutenant Governor,,Jay Hugues,Democrat,Union-New Home,121
Smith,Secretary of State,,Johny DuPree,Republican,Union-New Home,117
Smith,Secretary of State,,Michael Watson,Democrat,Union-New Home,246
Smith,Attorney General,,Jennifer Riley Collins,Democrat,Union-New Home,113
Smith,Attorney General,,Lynn Fitch,Republican,Union-New Home,255
Smith,State Auditor,,Shad White,Republican,Union-New Home,303
Smith,State Treasurer,,Ardle Lee Green,Democrat,Union-New Home,103
Smith,State Treasurer,,David McRae,Republican,Union-New Home,265
Smith,Commissioner of Agriculture & Commerce,,Rickey L Cole,Democrat,Union-New Home,112
Smith,Commissioner of Agriculture & Commerce,,Andy Gipson,Republican,Union-New Home,254
Smith,Commissioner of Insurance,,Robert E. Amos,Democrat,Union-New Home,102
Smith,Commissioner of Insurance,,Mike Chaney,Republican,Union-New Home,264
Smith,Public Service Commission,Southern,Dane Maxwell,Republican,Union-New Home,232
Smith,Public Service Commission,Southern,Connie Moran,Democrat,Union-New Home,133
Smith,Transportation Commissioner,Southern,Tom King,Republican,Union-New Home,312
Smith,District Attorney,13,Matt Sullivan,Democrat,Union-New Home,315
Smith,State Senate,41,Joey Fillingane,Republican,Union-New Home,307
Smith,State House,79,Mark K Tullos,Republican,Union-New Home,310
Smith,Chancery Clerk,,Cindy Austin,Democrat,Union-New Home,316
Smith,Circuit Clerk,,Earnest W Burton,Republican,Union-New Home,159
Smith,Circuit Clerk,,Anthony Grayson,Democrat,Union-New Home,211
Smith,Coroner,,Billy Allen,Democrat,Union-New Home,120
Smith,Coroner,,Sammy Houston,Republican,Union-New Home,247
Smith,Sheriff,,Joel Houston,Republic.an,Union-New Home,235
Smith,Sheriff,,Marty Peterson,Democrat,Union-New Home,134
Smith,Surveyor,,Landry Adcock,Republican,Union-New Home,303
Smith,Tax Assessor,,Mary Lou Powell,Democrat,Union-New Home,160
Smith,Tax Assessor,,Samuel (Sam) Yeager,Republican,Union-New Home,210
Smith,Supervisor,1,Jerry Fields,Republican,Union-New Home,
Smith,Supervisor,1,Sammy Hancock,Democrat,Union-New Home,
Smith,Supervisor,1,Mike Bavido,Independent,Union-New Home,
Smith,Supervisor,1,Joseph (Jody) Blakeney,Independent,Union-New Home,
Smith,Supervisor,1,Donny Lowery,Independent,Union-New Home,
Smith,Supervisor,2,Eddie McMullan,Republican,Union-New Home,126
Smith,Supervisor,2,Dwight D Norris,Democrat,Union-New Home,102
Smith,Supervisor,2,Mike Ford,Independent,Union-New Home,142
Smith,Supervisor,3,Benjie Ford,Independent,Union-New Home,
Smith,Supervisor,4,Danny Avender,Democrat,Union-New Home,
Smith,Supervisor,4,Bob J Miles,Republican,Union-New Home,
Smith,Supervisor,5,Robert Hallman,Republican,Union-New Home,
Smith,Supervisor,5,Howard Hammons,Democrat,Union-New Home,
Smith,Justice Court Judge,1,David 'Red' Easterling,Democrat,Union-New Home,
Smith,Justice Court Judge,1,Charles 'Chuck' Jones Jr,Republican,Union-New Home,
Smith,Justice Court Judge,2,Larry Allen,Republican,Union-New Home,177
Smith,Justice Court Judge,2,Hulon West,Democrat,Union-New Home,191
Smith,Constable,1,Joe Robert Blakeney,Republican,Union-New Home,
Smith,Constable,1,Carlie (Bobo) Bowen,Democrat,Union-New Home,
Smith,Constable,2,Brad Boykin,Democrat,Union-New Home,114
Smith,Constable,2,Bobby Easterling,Republican,Union-New Home,225
Smith,Constable,2,William Logan Pruitt,Independent,Union-New Home,23
Smith,Governor,,Jim Hood,Democrat,Warren Hill,259
Smith,Governor,,Tate Reeves,Repubilcan,Warren Hill,37
Smith,Governor,,Bob Hickingbottom,Constitution,Warren Hill,1
Smith,Governor,,David R. Singletary,Independent,Warren Hill,0
Smith,Lieutenant Governor,,Delbert Hoseman,Republican,Warren Hill,57
Smith,Lieutenant Governor,,Jay Hugues,Democrat,Warren Hill,234
Smith,Secretary of State,,Johny DuPree,Republican,Warren Hill,256
Smith,Secretary of State,,Michael Watson,Democrat,Warren Hill,38
Smith,Attorney General,,Jennifer Riley Collins,Democrat,Warren Hill,256
Smith,Attorney General,,Lynn Fitch,Republican,Warren Hill,40
Smith,State Auditor,,Shad White,Republican,Warren Hill,187
Smith,State Treasurer,,Ardle Lee Green,Democrat,Warren Hill,249
Smith,State Treasurer,,David McRae,Republican,Warren Hill,43
Smith,Commissioner of Agriculture & Commerce,,Rickey L Cole,Democrat,Warren Hill,251
Smith,Commissioner of Agriculture & Commerce,,Andy Gipson,Republican,Warren Hill,43
Smith,Commissioner of Insurance,,Robert E. Amos,Democrat,Warren Hill,249
Smith,Commissioner of Insurance,,Mike Chaney,Republican,Warren Hill,45
Smith,Public Service Commission,Southern,Dane Maxwell,Republican,Warren Hill,44
Smith,Public Service Commission,Southern,Connie Moran,Democrat,Warren Hill,247
Smith,Transportation Commissioner,Southern,Tom King,Republican,Warren Hill,180
Smith,District Attorney,13,Matt Sullivan,Democrat,Warren Hill,282
Smith,State Senate,41,Joey Fillingane,Republican,Warren Hill,185
Smith,State House,79,Mark K Tullos,Republican,Warren Hill,198
Smith,Chancery Clerk,,Cindy Austin,Democrat,Warren Hill,283
Smith,Circuit Clerk,,Earnest W Burton,Republican,Warren Hill,35
Smith,Circuit Clerk,,Anthony Grayson,Democrat,Warren Hill,259
Smith,Coroner,,Billy Allen,Democrat,Warren Hill,245
Smith,Coroner,,Sammy Houston,Republican,Warren Hill,46
Smith,Sheriff,,Joel Houston,Republic.an,Warren Hill,65
Smith,Sheriff,,Marty Peterson,Democrat,Warren Hill,227
Smith,Surveyor,,Landry Adcock,Republican,Warren Hill,184
Smith,Tax Assessor,,Mary Lou Powell,Democrat,Warren Hill,256
Smith,Tax Assessor,,Samuel (Sam) Yeager,Republican,Warren Hill,40
Smith,Supervisor,1,Jerry Fields,Republican,Warren Hill,
Smith,Supervisor,1,Sammy Hancock,Democrat,Warren Hill,
