candidate,office,district,party,county,precinct,votes
Addie Lee Green,State Treasurer,,D,Clarke,Stonewall Dist. 3,59
David McRae,State Treasurer,,R,Clarke,Stonewall Dist. 3,272
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Clarke,Stonewall Dist. 3,68
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Clarke,Stonewall Dist. 3,263
Jelf Tate,State Senate,33,R,Clarke,Stonewall Dist. 3,301
Omeria Scott,State House,80,D,Clarke,Stonewall Dist. 3,X
Stephen A 'Steve' Horne,State House,81,R,Clarke,Stonewall Dist. 3,X
Troy Smith,State House,84,R,Clarke,Stonewall Dist. 3,282
Roy May,State House,84,IND,Clarke,Stonewall Dist. 3,52
Jim Hood,Governor,,D,Clarke,Stonewall Dist. 1,167
Tate Reeves,Governor,,R,Clarke,Stonewall Dist. 1,78
Bob Hickingbottom,Governor,,C,Clarke,Stonewall Dist. 1,2
David R Singletary,Governor,,IND,Clarke,Stonewall Dist. 1,4
Delbert Hosemann,Lieutenant Governor,,R,Clarke,Stonewall Dist. 1,88
Jay Hughes,Lieutenant Governor,,D,Clarke,Stonewall Dist. 1,153
Johnny DuPree,Secretary of State,,D,Clarke,Stonewall Dist. 1,166
Michael Watson,Secretary of State,,R,Clarke,Stonewall Dist. 1,82
Jennifer Riley Collins,Attorney General,,D,Clarke,Stonewall Dist. 1,170
Lynn Fitch,Attorney General,,R,Clarke,Stonewall Dist. 1,77
Shad White,State Auditor,,R,Clarke,Stonewall Dist. 1,153
Addie Lee Green,State Treasurer,,D,Clarke,Stonewall Dist. 1,161
David McRae,State Treasurer,,R,Clarke,Stonewall Dist. 1,83
