candidate,office,district,party,county,precinct,votes
Robert Shuler Smith,Governor,,D,Wilkinson,Woodville 5th 5010,11
Gregory Wash,Governor,,D,Wilkinson,Woodville 5th 5010,7
Velesha P Williams,Governor,,D,Wilkinson,Woodville 5th 5010,26
Albert Wilson,Governor,,D,Wilkinson,Woodville 5th 5010,8
Jay Hughes,Lieutenant Governor,,D,Wilkinson,Woodville 5th 5010,269
Johnny DuPree,Secretary of State,,D,Wilkinson,Woodville 5th 5010,181
Maryra Hodges Hunt,Secretary of State,,D,Wilkinson,Woodville 5th 5010,105
Jennifer Riley Collins,Attorney General,,D,Wilkinson,Woodville 5th 5010,270
Addie Lee Green,State Treasurer,,D,Wilkinson,Woodville 5th 5010,268
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Wilkinson,Woodville 5th 5010,277
Robert E. Amos,Commissioner of Insurance,,D,Wilkinson,Woodville 5th 5010,260
Kelvin E Butler,State Senate,38,D,Wilkinson,Woodville 5th 5010,161
Tammy Witherspoon,State Senate,38,D,Wilkinson,Woodville 5th 5010,177
Aisha A Sanders,State House,96,D,Wilkinson,Woodville 5th 5010,266
Robert Foster,Governor,,R,Wilkinson,Woodville 4th 4010,0
Tate Reeves,Governor,,R,Wilkinson,Woodville 4th 4010,6
Bill Waller Jr.,Governor,,R,Wilkinson,Woodville 4th 4010,0
Delbert Hosemann,Lieutenant Governor,,R,Wilkinson,Woodville 4th 4010,5
Shane Quick,Lieutenant Governor,,R,Wilkinson,Woodville 4th 4010,0
Sam Britton,Secretary of State,,R,Wilkinson,Woodville 4th 4010,3
Michael Watson,Secretary of State,,R,Wilkinson,Woodville 4th 4010,2
Mark Baker,Attorney General,,R,Wilkinson,Woodville 4th 4010,2
Lynn Fitch,Attorney General,,R,Wilkinson,Woodville 4th 4010,3
Andy Taggart,Attorney General,,R,Wilkinson,Woodville 4th 4010,1
Shad White,State Auditor,,R,Wilkinson,Woodville 4th 4010,4
Eugene S. 'Buck' Clarke,State Treasurer,,R,Wilkinson,Woodville 4th 4010,4
David McRae,State Treasurer,,R,Wilkinson,Woodville 4th 4010,2
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Wilkinson,Woodville 4th 4010,4
Mike Chaney,Commissioner of Insurance,,R,Wilkinson,Woodville 4th 4010,6
Michael Brown,Governor,,D,Wilkinson,Woodville 4th 4010,192
William Bond Compton Jr.,Governor,,D,Wilkinson,Woodville 4th 4010,14
Jim Hood,Governor,,D,Wilkinson,Woodville 4th 4010,158
Robert J. Ray,Governor,,D,Wilkinson,Woodville 4th 4010,12
Robert Shuler Smith,Governor,,D,Wilkinson,Woodville 4th 4010,27
Gregory Wash,Governor,,D,Wilkinson,Woodville 4th 4010,4
Velesha P Williams,Governor,,D,Wilkinson,Woodville 4th 4010,51
Albert Wilson,Governor,,D,Wilkinson,Woodville 4th 4010,14
Jay Hughes,Lieutenant Governor,,D,Wilkinson,Woodville 4th 4010,370
Johnny DuPree,Secretary of State,,D,Wilkinson,Woodville 4th 4010,273
Maryra Hodges Hunt,Secretary of State,,D,Wilkinson,Woodville 4th 4010,142
Jennifer Riley Collins,Attorney General,,D,Wilkinson,Woodville 4th 4010,389
Addie Lee Green,State Treasurer,,D,Wilkinson,Woodville 4th 4010,376
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Wilkinson,Woodville 4th 4010,374
Robert E. Amos,Commissioner of Insurance,,D,Wilkinson,Woodville 4th 4010,373
Kelvin E Butler,State Senate,38,D,Wilkinson,Woodville 4th 4010,158
Tammy Witherspoon,State Senate,38,D,Wilkinson,Woodville 4th 4010,300
Aisha A Sanders,State House,96,D,Wilkinson,Woodville 4th 4010,389
Robert Foster,Governor,,R,Wilkinson,Woodville 1010,2
Tate Reeves,Governor,,R,Wilkinson,Woodville 1010,2
Bill Waller Jr.,Governor,,R,Wilkinson,Woodville 1010,1
Delbert Hosemann,Lieutenant Governor,,R,Wilkinson,Woodville 1010,3
Shane Quick,Lieutenant Governor,,R,Wilkinson,Woodville 1010,0
Sam Britton,Secretary of State,,R,Wilkinson,Woodville 1010,2
Michael Watson,Secretary of State,,R,Wilkinson,Woodville 1010,2
Mark Baker,Attorney General,,R,Wilkinson,Woodville 1010,2
Lynn Fitch,Attorney General,,R,Wilkinson,Woodville 1010,2
Andy Taggart,Attorney General,,R,Wilkinson,Woodville 1010,0
Shad White,State Auditor,,R,Wilkinson,Woodville 1010,4
Eugene S. 'Buck' Clarke,State Treasurer,,R,Wilkinson,Woodville 1010,0
David McRae,State Treasurer,,R,Wilkinson,Woodville 1010,4
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Wilkinson,Woodville 1010,4
Mike Chaney,Commissioner of Insurance,,R,Wilkinson,Woodville 1010,4
Michael Brown,Governor,,D,Wilkinson,Woodville 1010,94
William Bond Compton Jr.,Governor,,D,Wilkinson,Woodville 1010,8
Jim Hood,Governor,,D,Wilkinson,Woodville 1010,103
Robert J. Ray,Governor,,D,Wilkinson,Woodville 1010,6
Robert Shuler Smith,Governor,,D,Wilkinson,Woodville 1010,11
Gregory Wash,Governor,,D,Wilkinson,Woodville 1010,9
Velesha P Williams,Governor,,D,Wilkinson,Woodville 1010,16
Albert Wilson,Governor,,D,Wilkinson,Woodville 1010,5
Jay Hughes,Lieutenant Governor,,D,Wilkinson,Woodville 1010,202
Johnny DuPree,Secretary of State,,D,Wilkinson,Woodville 1010,131
Maryra Hodges Hunt,Secretary of State,,D,Wilkinson,Woodville 1010,86
Jennifer Riley Collins,Attorney General,,D,Wilkinson,Woodville 1010,201
Addie Lee Green,State Treasurer,,D,Wilkinson,Woodville 1010,194
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Wilkinson,Woodville 1010,202
Robert E. Amos,Commissioner of Insurance,,D,Wilkinson,Woodville 1010,195
Kelvin E Butler,State Senate,38,D,Wilkinson,Woodville 1010,115
Tammy Witherspoon,State Senate,38,D,Wilkinson,Woodville 1010,143
Aisha A Sanders,State House,96,D,Wilkinson,Woodville 1010,209
