candidate,office,district,party,county,precinct,votes
Jennifer Riley Collins,Attorney General,,D,Yazoo,Little Yazoo,84
Lynn Fitch,Attorney General,,R,Yazoo,Little Yazoo,438
Shad White,State Auditor,,R,Yazoo,Little Yazoo,452
Addie Lee Green,State Treasurer,,D,Yazoo,Little Yazoo,69
David McRae,State Treasurer,,R,Yazoo,Little Yazoo,450
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Yazoo,Little Yazoo,84
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Yazoo,Little Yazoo,430
Barbara Blackmon,State Senate,21,D,Yazoo,Little Yazoo,
Hayes Dent,State Senate,22,R,Yazoo,Little Yazoo,
Joseph C Thomas Sr.,State Senate,22,D,Yazoo,Little Yazoo,
Briggs Hopson,State Senate,23,R,Yazoo,Little Yazoo,455
Kenneth Walker,State House,27,D,Yazoo,Little Yazoo,
Bryant Clark,State House,47,D,Yazoo,Little Yazoo,
Rufus E Straughter,State House,51,D,Yazoo,Little Yazoo,
Kevin Ford,State House,54,R,Yazoo,Little Yazoo,449
Stephanie McKenzie Foster,State House,63,D,Yazoo,Little Yazoo,
Jim Hood,Governor,,D,Yazoo,Lake City,38
Tate Reeves,Governor,,R,Yazoo,Lake City,100
Bob Hickingbottom,Governor,,C,Yazoo,Lake City,0
David R Singletary,Governor,,IND,Yazoo,Lake City,1
Delbert Hosemann,Lieutenant Governor,,R,Yazoo,Lake City,108
Jay Hughes,Lieutenant Governor,,D,Yazoo,Lake City,26
Johnny DuPree,Secretary of State,,D,Yazoo,Lake City,27
Michael Watson,Secretary of State,,R,Yazoo,Lake City,107
Jennifer Riley Collins,Attorney General,,D,Yazoo,Lake City,28
Lynn Fitch,Attorney General,,R,Yazoo,Lake City,106
Shad White,State Auditor,,R,Yazoo,Lake City,118
Addie Lee Green,State Treasurer,,D,Yazoo,Lake City,23
David McRae,State Treasurer,,R,Yazoo,Lake City,110
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Yazoo,Lake City,26
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Yazoo,Lake City,109
Barbara Blackmon,State Senate,21,D,Yazoo,Lake City,
Hayes Dent,State Senate,22,R,Yazoo,Lake City,109
Joseph C Thomas Sr.,State Senate,22,D,Yazoo,Lake City,29
Briggs Hopson,State Senate,23,R,Yazoo,Lake City,
Kenneth Walker,State House,27,D,Yazoo,Lake City,
Bryant Clark,State House,47,D,Yazoo,Lake City,
Rufus E Straughter,State House,51,D,Yazoo,Lake City,88
Kevin Ford,State House,54,R,Yazoo,Lake City,
Stephanie McKenzie Foster,State House,63,D,Yazoo,Lake City,
Jim Hood,Governor,,D,Yazoo,Mechanicsburg,70
Tate Reeves,Governor,,R,Yazoo,Mechanicsburg,334
Bob Hickingbottom,Governor,,C,Yazoo,Mechanicsburg,2
David R Singletary,Governor,,IND,Yazoo,Mechanicsburg,3
Delbert Hosemann,Lieutenant Governor,,R,Yazoo,Mechanicsburg,375
Jay Hughes,Lieutenant Governor,,D,Yazoo,Mechanicsburg,30
Johnny DuPree,Secretary of State,,D,Yazoo,Mechanicsburg,38
Michael Watson,Secretary of State,,R,Yazoo,Mechanicsburg,360
Jennifer Riley Collins,Attorney General,,D,Yazoo,Mechanicsburg,49
Lynn Fitch,Attorney General,,R,Yazoo,Mechanicsburg,355
Shad White,State Auditor,,R,Yazoo,Mechanicsburg,361
Addie Lee Green,State Treasurer,,D,Yazoo,Mechanicsburg,30
David McRae,State Treasurer,,R,Yazoo,Mechanicsburg,369
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Yazoo,Mechanicsburg,40
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Yazoo,Mechanicsburg,359
Barbara Blackmon,State Senate,21,D,Yazoo,Mechanicsburg,
Hayes Dent,State Senate,22,R,Yazoo,Mechanicsburg,
Joseph C Thomas Sr.,State Senate,22,D,Yazoo,Mechanicsburg,
Briggs Hopson,State Senate,23,R,Yazoo,Mechanicsburg,370
Kenneth Walker,State House,27,D,Yazoo,Mechanicsburg,
Bryant Clark,State House,47,D,Yazoo,Mechanicsburg,
Rufus E Straughter,State House,51,D,Yazoo,Mechanicsburg,
Kevin Ford,State House,54,R,Yazoo,Mechanicsburg,92
Stephanie McKenzie Foster,State House,63,D,Yazoo,Mechanicsburg,164
Jim Hood,Governor,,D,Yazoo,Midway,186
Tate Reeves,Governor,,R,Yazoo,Midway,178
Bob Hickingbottom,Governor,,C,Yazoo,Midway,1
David R Singletary,Governor,,IND,Yazoo,Midway,1
Delbert Hosemann,Lieutenant Governor,,R,Yazoo,Midway,202
Jay Hughes,Lieutenant Governor,,D,Yazoo,Midway,155
Johnny DuPree,Secretary of State,,D,Yazoo,Midway,163
Michael Watson,Secretary of State,,R,Yazoo,Midway,187
